date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:36:44:046 +0200,-1.0633887,2.787803,6.825806,17.185003,-11.418638,-43.176937,0.2696825,0.23352711,-1.1350876,beingusedinhand,walking
10 May 2022 22:36:44:086 +0200,-1.0011182,3.0871804,6.5168486,17.185003,-11.418638,-43.176937,0.2696825,0.23352711,-1.1350876,beingusedinhand,walking
10 May 2022 22:36:44:088 +0200,-1.0011182,3.0871804,6.5168486,19.523262,-11.404575,-41.643677,0.06941277,-0.12493437,-0.08313895,beingusedinhand,walking
10 May 2022 22:36:44:128 +0200,-1.2382251,3.3458424,6.9024467,19.523262,-11.404575,-41.643677,0.06941277,-0.12493437,-0.08313895,beingusedinhand,walking
10 May 2022 22:36:44:170 +0200,-1.7699195,4.1242237,7.5012016,19.523262,-11.404575,-41.643677,0.06941277,-0.12493437,-0.08313895,beingusedinhand,walking
10 May 2022 22:36:44:210 +0200,-1.5399976,4.6918435,8.138277,19.523262,-11.404575,-41.643677,0.06941277,-0.12493437,-0.08313895,beingusedinhand,walking
10 May 2022 22:36:44:249 +0200,-1.2669654,4.5409575,9.826766,20.023357,-10.720145,-41.487434,-0.4222068,0.3736094,0.88571906,beingusedinhand,walking
10 May 2022 22:36:44:289 +0200,-0.87178713,3.8056862,11.991863,20.023357,-10.720145,-41.487434,-0.4222068,0.3736094,0.88571906,beingusedinhand,walking
10 May 2022 22:36:44:330 +0200,-0.36883304,4.30385,10.727293,20.023357,-10.720145,-41.487434,-0.4222068,0.3736094,0.88571906,beingusedinhand,walking
10 May 2022 22:36:44:370 +0200,-1.101709,5.0630717,10.518927,20.023357,-10.720145,-41.487434,-0.4222068,0.3736094,0.88571906,beingusedinhand,walking
10 May 2022 22:36:44:410 +0200,-2.3614893,2.6321266,13.42169,19.902975,-10.216469,-41.353508,-0.85097575,1.7073205,1.4689513,beingusedinhand,walking
10 May 2022 22:36:44:450 +0200,-1.7148341,0.98195803,11.838582,19.902975,-10.216469,-41.353508,-0.85097575,1.7073205,1.4689513,beingusedinhand,walking
10 May 2022 22:36:44:488 +0200,0.24908204,1.8010547,7.695198,19.902975,-10.216469,-41.353508,-0.85097575,1.7073205,1.4689513,beingusedinhand,walking
10 May 2022 22:36:44:528 +0200,0.8095166,3.2548318,6.5000834,19.902975,-10.216469,-41.353508,-0.85097575,1.7073205,1.4689513,beingusedinhand,walking
10 May 2022 22:36:44:567 +0200,0.37122804,3.3458424,8.018526,19.902975,-10.216469,-41.353508,-0.85097575,1.7073205,1.4689513,beingusedinhand,walking
10 May 2022 22:36:44:568 +0200,0.37122804,3.3458424,8.018526,22.618677,-9.684116,-39.95534,-0.17400017,-0.15050071,1.0332582,beingusedinhand,walking
10 May 2022 22:36:44:607 +0200,1.5663428,2.0453467,9.951306,22.618677,-9.684116,-39.95534,-0.17400017,-0.15050071,1.0332582,beingusedinhand,walking
10 May 2022 22:36:44:650 +0200,2.9650342,2.3638844,9.10347,22.618677,-9.684116,-39.95534,-0.17400017,-0.15050071,1.0332582,beingusedinhand,walking
10 May 2022 22:36:44:690 +0200,3.1973512,3.1470559,8.356223,22.618677,-9.684116,-39.95534,-0.17400017,-0.15050071,1.0332582,beingusedinhand,walking
10 May 2022 22:36:44:730 +0200,2.9482691,3.1374757,8.523875,18.024551,-13.288282,-42.114212,0.25583404,0.22873342,0.099553905,beingusedinhand,walking
10 May 2022 22:36:44:769 +0200,1.951941,3.6164796,9.453142,18.024551,-13.288282,-42.114212,0.25583404,0.22873342,0.099553905,beingusedinhand,walking
10 May 2022 22:36:44:810 +0200,1.4058765,4.3086405,9.304651,18.024551,-13.288282,-42.114212,0.25583404,0.22873342,0.099553905,beingusedinhand,walking
10 May 2022 22:36:44:850 +0200,1.949546,4.526587,9.683064,18.024551,-13.288282,-42.114212,0.25583404,0.22873342,0.099553905,beingusedinhand,walking
10 May 2022 22:36:44:890 +0200,1.5160475,4.272715,11.436219,18.024551,-13.288282,-42.114212,-0.5527017,-0.23625451,-0.5268216,beingusedinhand,walking
10 May 2022 22:36:44:891 +0200,1.5160475,4.272715,11.436219,16.264257,-16.53596,-42.43581,-0.5527017,-0.23625451,-0.5268216,beingusedinhand,walking
10 May 2022 22:36:44:927 +0200,1.7507594,3.5637891,12.245735,16.264257,-16.53596,-42.43581,-0.5527017,-0.23625451,-0.5268216,beingusedinhand,walking
10 May 2022 22:36:44:967 +0200,0.51013917,1.5016773,13.598922,16.264257,-16.53596,-42.43581,-0.5527017,-0.23625451,-0.5268216,beingusedinhand,walking
10 May 2022 22:36:45:007 +0200,0.3281177,-0.31135255,12.324771,16.264257,-16.53596,-42.43581,-0.5527017,-0.23625451,-0.5268216,beingusedinhand,walking
10 May 2022 22:36:45:049 +0200,2.078877,0.86220706,8.981323,14.832052,-12.2948065,-43.980385,0.6824724,-1.641871,-1.088216,beingusedinhand,walking
10 May 2022 22:36:45:090 +0200,1.705254,2.42855,7.237749,14.832052,-12.2948065,-43.980385,0.6824724,-1.641871,-1.088216,beingusedinhand,walking
10 May 2022 22:36:45:129 +0200,0.42152345,3.0991554,7.6592727,14.832052,-12.2948065,-43.980385,0.6824724,-1.641871,-1.088216,beingusedinhand,walking
10 May 2022 22:36:45:170 +0200,0.4143384,2.6896071,7.8436894,14.832052,-12.2948065,-43.980385,0.6824724,-1.641871,-1.088216,beingusedinhand,walking
10 May 2022 22:36:45:209 +0200,0.44307864,2.4165747,7.92033,14.832052,-12.2948065,-43.980385,-0.04137474,0.7288751,-0.3617056,beingusedinhand,walking
10 May 2022 22:36:45:211 +0200,0.44307864,2.4165747,7.92033,14.714399,-10.787822,-43.13649,-0.04137474,0.7288751,-0.3617056,beingusedinhand,walking
10 May 2022 22:36:45:249 +0200,-0.13651612,2.543511,8.514295,14.714399,-10.787822,-43.13649,-0.04137474,0.7288751,-0.3617056,beingusedinhand,walking
10 May 2022 22:36:45:288 +0200,-0.22752686,2.6369166,8.250843,14.714399,-10.787822,-43.13649,-0.04137474,0.7288751,-0.3617056,beingusedinhand,walking
10 May 2022 22:36:45:329 +0200,0.28740236,3.391348,7.3455253,14.714399,-10.787822,-43.13649,-0.04137474,0.7288751,-0.3617056,beingusedinhand,walking
10 May 2022 22:36:45:369 +0200,0.35925296,4.0811133,8.090376,14.714399,-10.787822,-43.13649,-0.04137474,0.7288751,-0.3617056,beingusedinhand,walking
10 May 2022 22:36:45:371 +0200,0.35925296,4.0811133,8.090376,18.289762,-11.251655,-41.982048,-0.36628038,-0.42533892,0.044692785,beingusedinhand,walking
10 May 2022 22:36:45:410 +0200,0.364043,3.899092,9.304651,18.289762,-11.251655,-41.982048,-0.36628038,-0.42533892,0.044692785,beingusedinhand,walking
10 May 2022 22:36:45:447 +0200,0.613125,4.021238,9.881851,18.289762,-11.251655,-41.982048,-0.36628038,-0.42533892,0.044692785,beingusedinhand,walking
10 May 2022 22:36:45:487 +0200,-0.4167334,3.4991236,11.60387,18.289762,-11.251655,-41.982048,-0.36628038,-0.42533892,0.044692785,beingusedinhand,walking
10 May 2022 22:36:45:531 +0200,-0.1460962,3.5877395,12.006233,18.278217,-12.772226,-42.25413,-0.3321919,-0.29164824,0.47399434,beingusedinhand,walking
10 May 2022 22:36:45:570 +0200,1.0322535,4.2343946,11.716436,18.278217,-12.772226,-42.25413,-0.3321919,-0.29164824,0.47399434,beingusedinhand,walking
10 May 2022 22:36:45:610 +0200,0.5029541,3.9924977,12.387041,18.278217,-12.772226,-42.25413,-0.3321919,-0.29164824,0.47399434,beingusedinhand,walking
10 May 2022 22:36:45:649 +0200,0.43110353,2.687212,11.153606,18.278217,-12.772226,-42.25413,-0.3321919,-0.29164824,0.47399434,beingusedinhand,walking
10 May 2022 22:36:45:688 +0200,0.47181886,1.9064356,9.457932,18.278217,-12.772226,-42.25413,0.36715418,0.28785563,0.51553965,beingusedinhand,walking
10 May 2022 22:36:45:689 +0200,0.47181886,1.9064356,9.457932,19.04215,-11.05164,-42.819855,0.36715418,0.28785563,0.51553965,beingusedinhand,walking
10 May 2022 22:36:45:727 +0200,0.9699829,2.5842261,7.690408,19.04215,-11.05164,-42.819855,0.36715418,0.28785563,0.51553965,beingusedinhand,walking
10 May 2022 22:36:45:767 +0200,1.4394068,3.2236965,6.8521514,19.04215,-11.05164,-42.819855,0.36715418,0.28785563,0.51553965,beingusedinhand,walking
10 May 2022 22:36:45:809 +0200,0.6442603,2.7255323,8.734636,19.04215,-11.05164,-42.819855,0.36715418,0.28785563,0.51553965,beingusedinhand,walking
10 May 2022 22:36:45:850 +0200,0.38320315,1.8010547,10.262659,18.02999,-12.279298,-41.692554,-0.28478765,0.54298645,0.41274163,beingusedinhand,walking
10 May 2022 22:36:45:891 +0200,1.0801538,2.3806496,8.684341,18.02999,-12.279298,-41.692554,-0.28478765,0.54298645,0.41274163,beingusedinhand,walking
10 May 2022 22:36:45:930 +0200,1.5304176,2.8572583,8.061636,18.02999,-12.279298,-41.692554,-0.28478765,0.54298645,0.41274163,beingusedinhand,walking
10 May 2022 22:36:45:971 +0200,1.1448194,3.1087356,8.260423,18.02999,-12.279298,-41.692554,-0.28478765,0.54298645,0.41274163,beingusedinhand,walking
10 May 2022 22:36:46:012 +0200,0.7496411,3.3626075,9.328602,18.02999,-12.279298,-41.692554,-0.28478765,0.54298645,0.41274163,beingusedinhand,walking
10 May 2022 22:36:46:013 +0200,0.7496411,3.3626075,9.328602,18.008713,-14.984114,-42.096176,-0.09783375,-0.18885024,-0.062366292,beingusedinhand,walking
10 May 2022 22:36:46:049 +0200,1.4226416,3.2548318,9.889036,18.008713,-14.984114,-42.096176,-0.09783375,-0.18885024,-0.062366292,beingusedinhand,walking
10 May 2022 22:36:46:090 +0200,1.5304176,3.5039136,10.044712,18.008713,-14.984114,-42.096176,-0.09783375,-0.18885024,-0.062366292,beingusedinhand,walking
10 May 2022 22:36:46:131 +0200,0.97956306,3.8272414,10.437495,18.008713,-14.984114,-42.096176,-0.09783375,-0.18885024,-0.062366292,beingusedinhand,walking
10 May 2022 22:36:46:171 +0200,0.61552006,4.0859036,10.384805,18.008713,-14.984114,-42.096176,0.21801715,0.037518464,-0.34253085,beingusedinhand,walking
10 May 2022 22:36:46:172 +0200,0.61552006,4.0859036,10.384805,16.293665,-13.814115,-42.897144,0.21801715,0.037518464,-0.34253085,beingusedinhand,walking
10 May 2022 22:36:46:211 +0200,1.3172607,4.014053,10.243499,16.293665,-13.814115,-42.897144,0.21801715,0.037518464,-0.34253085,beingusedinhand,walking
10 May 2022 22:36:46:250 +0200,1.346001,3.0177248,10.825489,16.293665,-13.814115,-42.897144,0.21801715,0.037518464,-0.34253085,beingusedinhand,walking
10 May 2022 22:36:46:291 +0200,1.0011182,1.3124708,10.502161,16.293665,-13.814115,-42.897144,0.21801715,0.037518464,-0.34253085,beingusedinhand,walking
10 May 2022 22:36:46:331 +0200,0.9963282,1.0202783,9.956097,15.311121,-13.150816,-43.087116,-0.16867384,0.52967066,-0.49007,beingusedinhand,walking
10 May 2022 22:36:46:370 +0200,0.852627,2.6369166,9.273516,15.311121,-13.150816,-43.087116,-0.16867384,0.52967066,-0.49007,beingusedinhand,walking
10 May 2022 22:36:46:411 +0200,0.51492923,3.4584084,8.837623,15.311121,-13.150816,-43.087116,-0.16867384,0.52967066,-0.49007,beingusedinhand,walking
10 May 2022 22:36:46:450 +0200,0.3903882,3.0201197,9.354947,15.311121,-13.150816,-43.087116,-0.16867384,0.52967066,-0.49007,beingusedinhand,walking
10 May 2022 22:36:46:489 +0200,0.086220704,2.42376,10.432706,15.311121,-13.150816,-43.087116,0.3229457,1.0894672,-0.0048420117,beingusedinhand,walking
10 May 2022 22:36:46:490 +0200,0.086220704,2.42376,10.432706,18.049892,-10.574952,-42.14307,0.3229457,1.0894672,-0.0048420117,beingusedinhand,walking
10 May 2022 22:36:46:530 +0200,-0.5939649,2.4980054,9.730965,18.049892,-10.574952,-42.14307,0.3229457,1.0894672,-0.0048420117,beingusedinhand,walking
10 May 2022 22:36:46:569 +0200,0.39996827,2.9458742,8.1143265,18.049892,-10.574952,-42.14307,0.3229457,1.0894672,-0.0048420117,beingusedinhand,walking
10 May 2022 22:36:46:608 +0200,0.9436377,3.5134938,7.5395217,18.049892,-10.574952,-42.14307,0.3229457,1.0894672,-0.0048420117,beingusedinhand,walking
10 May 2022 22:36:46:650 +0200,1.22625,3.8823268,7.541917,18.049892,-10.574952,-42.14307,0.3229457,1.0894672,-0.0048420117,beingusedinhand,walking
10 May 2022 22:36:46:652 +0200,1.22625,3.8823268,7.541917,19.135433,-11.61208,-40.0706,0.09764227,-0.13505438,0.0010169423,beingusedinhand,walking
10 May 2022 22:36:46:693 +0200,1.092129,3.9853127,8.377779,19.135433,-11.61208,-40.0706,0.09764227,-0.13505438,0.0010169423,beingusedinhand,walking
10 May 2022 22:36:46:730 +0200,0.39757326,4.277505,9.19448,19.135433,-11.61208,-40.0706,0.09764227,-0.13505438,0.0010169423,beingusedinhand,walking
10 May 2022 22:36:46:770 +0200,0.26584718,4.670288,9.489068,19.135433,-11.61208,-40.0706,0.09764227,-0.13505438,0.0010169423,beingusedinhand,walking
10 May 2022 22:36:46:811 +0200,0.1820215,4.366121,10.224339,19.135433,-11.61208,-40.0706,0.0060295286,0.74804986,0.15601292,beingusedinhand,walking
10 May 2022 22:36:46:813 +0200,0.1820215,4.366121,10.224339,17.65369,-11.963861,-40.845684,0.0060295286,0.74804986,0.15601292,beingusedinhand,walking
10 May 2022 22:36:46:850 +0200,-0.3281177,4.047583,10.4566555,17.65369,-11.963861,-40.845684,0.0060295286,0.74804986,0.15601292,beingusedinhand,walking
10 May 2022 22:36:46:892 +0200,-0.31853762,3.8607717,9.922566,17.65369,-11.963861,-40.845684,0.0060295286,0.74804986,0.15601292,beingusedinhand,walking
10 May 2022 22:36:46:932 +0200,-0.26105714,4.143384,9.299861,17.65369,-11.963861,-40.845684,0.0060295286,0.74804986,0.15601292,beingusedinhand,walking
10 May 2022 22:36:46:972 +0200,-0.43589357,4.4595265,8.653206,21.107983,-12.424253,-39.984383,0.06355381,-0.062083766,0.07292229,beingusedinhand,walking
10 May 2022 22:36:47:012 +0200,-0.7089258,4.061953,8.983719,21.107983,-12.424253,-39.984383,0.06355381,-0.062083766,0.07292229,beingusedinhand,walking
10 May 2022 22:36:47:051 +0200,-1.4106666,3.0871804,10.703342,21.107983,-12.424253,-39.984383,0.06355381,-0.062083766,0.07292229,beingusedinhand,walking
10 May 2022 22:36:47:091 +0200,-0.34967285,2.184258,10.509346,21.107983,-12.424253,-39.984383,0.06355381,-0.062083766,0.07292229,beingusedinhand,walking
10 May 2022 22:36:47:133 +0200,0.8143067,2.6033864,8.399334,23.0541,-13.7905855,-37.586216,-0.07972426,-1.3366727,0.43191642,beingusedinhand,walking
10 May 2022 22:36:47:172 +0200,0.59156984,2.7854078,8.071217,23.0541,-13.7905855,-37.586216,-0.07972426,-1.3366727,0.43191642,beingusedinhand,walking
10 May 2022 22:36:47:209 +0200,-0.10538086,2.059717,9.831555,23.0541,-13.7905855,-37.586216,-0.07972426,-1.3366727,0.43191642,beingusedinhand,walking
10 May 2022 22:36:47:248 +0200,-0.37362307,2.2704787,9.304651,23.0541,-13.7905855,-37.586216,-0.07972426,-1.3366727,0.43191642,beingusedinhand,walking
10 May 2022 22:36:47:288 +0200,-0.11496094,3.3051271,7.158714,23.0541,-13.7905855,-37.586216,-0.07972426,-1.3366727,0.43191642,beingusedinhand,walking
10 May 2022 22:36:47:289 +0200,-0.11496094,3.3051271,7.158714,19.247898,-12.963673,-40.195503,0.28885725,0.12806594,0.12565288,beingusedinhand,walking
10 May 2022 22:36:47:329 +0200,0.48618898,3.3626075,7.8532696,19.247898,-12.963673,-40.195503,0.28885725,0.12806594,0.12565288,beingusedinhand,walking
10 May 2022 22:36:47:370 +0200,-0.07903565,3.1326857,9.285491,19.247898,-12.963673,-40.195503,0.28885725,0.12806594,0.12565288,beingusedinhand,walking
10 May 2022 22:36:47:412 +0200,-0.74006104,3.5542092,9.992022,19.247898,-12.963673,-40.195503,0.28885725,0.12806594,0.12565288,beingusedinhand,walking
10 May 2022 22:36:47:450 +0200,-0.6227051,3.8296363,10.614727,18.764994,-11.949432,-40.513943,-0.3678783,-0.28632194,-0.216297,beingusedinhand,walking
10 May 2022 22:36:47:489 +0200,-0.5125342,3.9877076,10.035132,18.764994,-11.949432,-40.513943,-0.3678783,-0.28632194,-0.216297,beingusedinhand,walking
10 May 2022 22:36:47:529 +0200,-0.57001466,3.903882,9.948912,18.764994,-11.949432,-40.513943,-0.3678783,-0.28632194,-0.216297,beingusedinhand,walking
10 May 2022 22:36:47:570 +0200,0.028740235,3.515889,9.85311,18.764994,-11.949432,-40.513943,-0.3678783,-0.28632194,-0.216297,beingusedinhand,walking
10 May 2022 22:36:47:613 +0200,0.35685793,3.7985013,9.860296,19.499083,-12.286549,-39.90475,0.020943232,-0.28578928,-0.050648384,beingusedinhand,walking
10 May 2022 22:36:47:651 +0200,-0.117355965,4.038003,10.777588,19.499083,-12.286549,-39.90475,0.020943232,-0.28578928,-0.050648384,beingusedinhand,walking
10 May 2022 22:36:47:692 +0200,-0.86220706,3.767366,11.874507,19.499083,-12.286549,-39.90475,0.020943232,-0.28578928,-0.050648384,beingusedinhand,walking
10 May 2022 22:36:47:731 +0200,-1.2046949,2.8476784,12.111614,19.499083,-12.286549,-39.90475,0.020943232,-0.28578928,-0.050648384,beingusedinhand,walking
10 May 2022 22:36:47:773 +0200,-0.84065187,1.8968556,10.631493,18.657263,-11.086722,-41.39274,0.58020705,0.7421909,0.026050657,beingusedinhand,walking
10 May 2022 22:36:47:811 +0200,0.1460962,2.0070264,8.004155,18.657263,-11.086722,-41.39274,0.58020705,0.7421909,0.026050657,beingusedinhand,walking
10 May 2022 22:36:47:852 +0200,1.5519727,2.9027638,6.9383717,18.657263,-11.086722,-41.39274,0.58020705,0.7421909,0.026050657,beingusedinhand,walking
10 May 2022 22:36:47:891 +0200,1.4394068,3.0009596,8.420889,18.657263,-11.086722,-41.39274,0.58020705,0.7421909,0.026050657,beingusedinhand,walking
10 May 2022 22:36:47:933 +0200,0.8167017,2.2632935,10.480606,21.091019,-13.956178,-39.679832,-0.05362528,0.6793403,0.11127181,beingusedinhand,walking
10 May 2022 22:36:47:972 +0200,0.15567628,1.7986598,11.860137,21.091019,-13.956178,-39.679832,-0.05362528,0.6793403,0.11127181,beingusedinhand,walking
10 May 2022 22:36:48:013 +0200,0.35925296,1.9399658,9.553733,21.091019,-13.956178,-39.679832,-0.05362528,0.6793403,0.11127181,beingusedinhand,walking
10 May 2022 22:36:48:051 +0200,1.3100758,3.05844,6.933582,21.091019,-13.956178,-39.679832,-0.05362528,0.6793403,0.11127181,beingusedinhand,walking
10 May 2022 22:36:48:092 +0200,0.55324954,4.2200246,6.8665214,21.091019,-13.956178,-39.679832,0.5679565,0.3784031,-0.46503627,beingusedinhand,walking
10 May 2022 22:36:48:093 +0200,0.55324954,4.2200246,6.8665214,22.205948,-13.269093,-39.06699,0.5679565,0.3784031,-0.46503627,beingusedinhand,walking
10 May 2022 22:36:48:133 +0200,-0.14130616,4.7325587,6.7755103,22.205948,-13.269093,-39.06699,0.5679565,0.3784031,-0.46503627,beingusedinhand,walking
10 May 2022 22:36:48:172 +0200,-0.09101075,4.9073954,7.838899,22.205948,-13.269093,-39.06699,0.5679565,0.3784031,-0.46503627,beingusedinhand,walking
10 May 2022 22:36:48:212 +0200,-0.52690434,4.5864625,10.41594,22.205948,-13.269093,-39.06699,0.5679565,0.3784031,-0.46503627,beingusedinhand,walking
10 May 2022 22:36:48:252 +0200,-1.4705421,4.387676,11.8002615,22.205948,-13.269093,-39.06699,-0.74338406,0.09877117,-0.29672447,beingusedinhand,walking
10 May 2022 22:36:48:253 +0200,-1.4705421,4.387676,11.8002615,22.668968,-14.9900465,-37.299747,-0.74338406,0.09877117,-0.29672447,beingusedinhand,walking
