date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:00:18:165 +0200,-8.442213,-4.3863115,1.9034485,32.46,11.4,23.939999,0.5747179,0.20371379,-0.171308,holdinginhand,standing
10 May 2022 15:00:18:187 +0200,-8.442213,-4.4413795,1.1564348,32.46,11.4,23.939999,0.5747179,0.20371379,-0.171308,holdinginhand,standing
10 May 2022 15:00:18:192 +0200,-9.567522,-4.2115293,1.515576,32.46,11.4,23.939999,0.5747179,0.20371379,-0.171308,holdinginhand,standing
10 May 2022 15:00:18:205 +0200,-9.567522,-4.2115293,1.515576,32.46,11.4,23.939999,0.02677178,-0.06689952,-0.40649113,holdinginhand,standing
10 May 2022 15:00:18:366 +0200,-9.567522,-4.2115293,1.515576,32.579998,12.24,23.64,0.02677178,-0.06689952,-0.40649113,holdinginhand,standing
10 May 2022 15:00:18:369 +0200,-8.801354,-4.6640472,1.4581133,32.579998,12.24,23.64,0.02677178,-0.06689952,-0.40649113,holdinginhand,standing
10 May 2022 15:00:18:382 +0200,-8.801354,-4.6640472,1.4581133,32.579998,12.24,23.64,0.04876293,0.027784595,-0.030198123,holdinginhand,standing
10 May 2022 15:00:18:547 +0200,-8.8085375,-4.573065,1.4748733,32.579998,12.24,23.64,0.04876293,0.027784595,-0.030198123,holdinginhand,standing
10 May 2022 15:00:18:580 +0200,-8.8085375,-4.573065,1.4748733,31.98,12.96,22.199999,0.46964908,0.3179456,-0.041804563,holdinginhand,standing
10 May 2022 15:00:18:727 +0200,-8.897125,-4.4844766,0.9337672,31.98,12.96,22.199999,0.46964908,0.3179456,-0.041804563,holdinginhand,standing
10 May 2022 15:00:18:732 +0200,-8.71516,-4.513208,1.1253091,31.98,12.96,22.199999,0.46964908,0.3179456,-0.041804563,holdinginhand,standing
10 May 2022 15:00:18:745 +0200,-8.71516,-4.513208,1.1253091,31.98,12.96,22.199999,0.75064707,0.533581,0.08342281,holdinginhand,standing
10 May 2022 15:00:18:769 +0200,-8.71516,-4.513208,1.1253091,31.5,14.759999,22.439999,0.75064707,0.533581,0.08342281,holdinginhand,standing
10 May 2022 15:00:18:910 +0200,-8.379962,-4.9202347,1.1947432,31.5,14.759999,22.439999,0.75064707,0.533581,0.08342281,holdinginhand,standing
10 May 2022 15:00:18:926 +0200,-8.379962,-4.9202347,1.1947432,31.5,14.759999,22.439999,0.12512109,0.19943772,0.36442083,holdinginhand,standing
10 May 2022 15:00:18:968 +0200,-8.379962,-4.9202347,1.1947432,30.96,16.26,23.1,0.12512109,0.19943772,0.36442083,holdinginhand,standing
10 May 2022 15:00:19:085 +0200,-8.315316,-4.7693954,1.063058,30.96,16.26,23.1,0.12512109,0.19943772,0.36442083,holdinginhand,standing
10 May 2022 15:00:19:088 +0200,-8.296163,-4.7765784,1.0151725,30.96,16.26,23.1,0.12512109,0.19943772,0.36442083,holdinginhand,standing
10 May 2022 15:00:19:104 +0200,-8.296163,-4.7765784,1.0151725,30.96,16.26,23.1,-0.30065197,-0.178077,0.13229203,holdinginhand,standing
10 May 2022 15:00:19:166 +0200,-8.296163,-4.7765784,1.0151725,30.359999,16.68,23.64,-0.30065197,-0.178077,0.13229203,holdinginhand,standing
10 May 2022 15:00:19:266 +0200,-8.46855,-4.786155,1.0989721,30.359999,16.68,23.64,-0.30065197,-0.178077,0.13229203,holdinginhand,standing
10 May 2022 15:00:19:268 +0200,-8.751075,-4.6137676,1.1109436,30.359999,16.68,23.64,-0.30065197,-0.178077,0.13229203,holdinginhand,standing
10 May 2022 15:00:19:284 +0200,-8.751075,-4.6137676,1.1109436,30.359999,16.68,23.64,-0.47291598,-0.31063476,-0.25316393,holdinginhand,standing
10 May 2022 15:00:19:368 +0200,-8.751075,-4.6137676,1.1109436,30.06,16.8,24.18,-0.47291598,-0.31063476,-0.25316393,holdinginhand,standing
10 May 2022 15:00:19:447 +0200,-8.751075,-4.5347567,1.2857256,30.06,16.8,24.18,-0.47291598,-0.31063476,-0.25316393,holdinginhand,standing
10 May 2022 15:00:19:449 +0200,-8.746285,-4.348003,1.3096683,30.06,16.8,24.18,-0.47291598,-0.31063476,-0.25316393,holdinginhand,standing
10 May 2022 15:00:19:470 +0200,-8.746285,-4.348003,1.3096683,30.06,16.8,24.18,-0.6830537,-0.42975348,-0.28676152,holdinginhand,standing
10 May 2022 15:00:19:568 +0200,-8.746285,-4.348003,1.3096683,29.88,16.14,24.06,-0.6830537,-0.42975348,-0.28676152,holdinginhand,standing
10 May 2022 15:00:19:629 +0200,-9.064724,-4.182798,1.462902,29.88,16.14,24.06,-0.6830537,-0.42975348,-0.28676152,holdinginhand,standing
10 May 2022 15:00:19:646 +0200,-9.064724,-4.182798,1.462902,29.88,16.14,24.06,-0.37212324,-0.25626773,-0.22811846,holdinginhand,standing
10 May 2022 15:00:19:769 +0200,-9.064724,-4.182798,1.462902,30.119999,15.42,24.18,-0.37212324,-0.25626773,-0.22811846,holdinginhand,standing
10 May 2022 15:00:19:810 +0200,-8.79896,-4.6329217,1.3288225,30.119999,15.42,24.18,-0.37212324,-0.25626773,-0.22811846,holdinginhand,standing
10 May 2022 15:00:19:827 +0200,-8.79896,-4.6329217,1.3288225,30.119999,15.42,24.18,0.12695368,0.04244536,0.043105707,holdinginhand,standing
10 May 2022 15:00:19:971 +0200,-8.79896,-4.6329217,1.3288225,30.9,15.0,23.279999,0.12695368,0.04244536,0.043105707,holdinginhand,standing
10 May 2022 15:00:19:991 +0200,-9.07909,-4.3958883,1.2569942,30.9,15.0,23.279999,0.12695368,0.04244536,0.043105707,holdinginhand,standing
10 May 2022 15:00:19:994 +0200,-8.152506,-4.826858,1.6544439,30.9,15.0,23.279999,0.12695368,0.04244536,0.043105707,holdinginhand,standing
10 May 2022 15:00:20:009 +0200,-8.152506,-4.826858,1.6544439,30.9,15.0,23.279999,-0.35746247,-0.4523555,0.5562325,holdinginhand,standing
10 May 2022 15:00:20:174 +0200,-8.152506,-4.826858,1.6544439,31.619999,13.74,22.38,-0.35746247,-0.4523555,0.5562325,holdinginhand,standing
10 May 2022 15:00:20:176 +0200,-8.351231,-4.802915,1.4557191,31.619999,13.74,22.38,-0.35746247,-0.4523555,0.5562325,holdinginhand,standing
