date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:58:32:231 +0200,-7.23071,0.9217958,4.070267,67.439995,58.92,21.9,-0.92312366,1.6007626,0.07181638,holdinginhand,sitting
10 May 2022 14:58:32:234 +0200,-8.348836,2.1979442,8.554744,67.439995,58.92,21.9,-0.92312366,1.6007626,0.07181638,holdinginhand,sitting
10 May 2022 14:58:32:248 +0200,-8.348836,2.1979442,8.554744,67.439995,58.92,21.9,-0.38372967,0.2629677,-0.02164601,holdinginhand,sitting
10 May 2022 14:58:32:370 +0200,-8.348836,2.1979442,8.554744,69.54,60.719997,31.74,-0.38372967,0.2629677,-0.02164601,holdinginhand,sitting
10 May 2022 14:58:32:413 +0200,-5.748654,-0.90024734,-1.7286664,69.54,60.719997,31.74,-0.38372967,0.2629677,-0.02164601,holdinginhand,sitting
10 May 2022 14:58:32:418 +0200,-9.90272,1.0462981,6.012024,69.54,60.719997,31.74,-0.38372967,0.2629677,-0.02164601,holdinginhand,sitting
10 May 2022 14:58:32:431 +0200,-9.90272,1.0462981,6.012024,69.54,60.719997,31.74,0.19781406,0.13651861,-0.4486408,holdinginhand,sitting
10 May 2022 14:58:32:572 +0200,-9.90272,1.0462981,6.012024,70.619995,64.5,40.68,0.19781406,0.13651861,-0.4486408,holdinginhand,sitting
10 May 2022 14:58:32:592 +0200,-7.5419655,0.30886146,6.9721284,70.619995,64.5,40.68,0.19781406,0.13651861,-0.4486408,holdinginhand,sitting
10 May 2022 14:58:32:597 +0200,-9.778218,0.52674043,6.035967,70.619995,64.5,40.68,0.19781406,0.13651861,-0.4486408,holdinginhand,sitting
10 May 2022 14:58:32:609 +0200,-9.778218,0.52674043,6.035967,70.619995,64.5,40.68,-1.0184187,0.5506852,-0.41137803,holdinginhand,sitting
