date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:23:16:790 +0200,-7.8820095,-5.5780005,1.0202783,28.445423,17.988598,-17.905483,-0.10676107,-0.07205469,0.047995485,holdinginhand,standing
10 May 2022 22:23:16:797 +0200,-7.822134,-5.6498513,1.0849439,28.445423,17.988598,-17.905483,-0.10676107,-0.07205469,0.047995485,holdinginhand,standing
10 May 2022 22:23:16:802 +0200,-7.7430983,-5.6761966,1.1472144,28.445423,17.988598,-17.905483,-0.10676107,-0.07205469,0.047995485,holdinginhand,standing
10 May 2022 22:23:16:809 +0200,-7.692803,-5.7001467,1.2525953,28.445423,17.988598,-17.905483,-0.10676107,-0.07205469,0.047995485,holdinginhand,standing
10 May 2022 22:23:16:818 +0200,-7.6329274,-5.7073317,1.346001,28.445423,17.988598,-17.905483,-0.10676107,-0.07205469,0.047995485,holdinginhand,standing
10 May 2022 22:23:16:828 +0200,-7.6329274,-5.7073317,1.346001,27.828533,16.485237,-19.643282,-0.10676107,-0.07205469,0.047995485,holdinginhand,standing
10 May 2022 22:23:16:830 +0200,-7.6113725,-5.6570363,1.3819263,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:838 +0200,-7.6089773,-5.6426663,1.3675562,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:848 +0200,-7.6520877,-5.6354814,1.3555812,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:858 +0200,-7.692803,-5.589976,1.2909156,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:871 +0200,-7.7407036,-5.5564456,1.1711646,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:879 +0200,-7.776629,-5.5301003,1.0609937,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:889 +0200,-7.788604,-5.49178,0.95561284,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:908 +0200,-7.831714,-5.4510646,0.8047266,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:914 +0200,-7.8748245,-5.4055595,0.732876,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:924 +0200,-7.91075,-5.3552637,0.6825806,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:931 +0200,-7.9155397,-5.345684,0.62749517,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:942 +0200,-7.941885,-5.3217335,0.6227051,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:950 +0200,-7.975415,-5.3049684,0.62031007,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:964 +0200,-8.004155,-5.3097587,0.6394702,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:969 +0200,-8.035291,-5.3169436,0.62510014,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:980 +0200,-8.013736,-5.3217335,0.6466553,27.828533,16.485237,-19.643282,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:991 +0200,-8.013736,-5.3217335,0.6466553,29.060009,16.826878,-18.589529,-0.13019688,-0.11786106,0.11617241,holdinginhand,standing
10 May 2022 22:23:16:995 +0200,-8.013736,-5.362449,0.6514453,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:000 +0200,-8.018526,-5.372029,0.6586304,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:015 +0200,-8.032896,-5.4247193,0.6658155,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:023 +0200,-8.049661,-5.4127445,0.6706055,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:031 +0200,-8.052056,-5.364844,0.6993457,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:041 +0200,-8.068821,-5.345684,0.72569096,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:049 +0200,-8.059241,-5.343289,0.7927515,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:063 +0200,-8.023315,-5.352869,0.89573735,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
10 May 2022 22:23:17:069 +0200,-8.004155,-5.3384986,0.99393314,29.060009,16.826878,-18.589529,0.08125812,0.0067748763,-0.06279202,holdinginhand,standing
