date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:14:56:199 +0200,7.4988065,1.3148658,6.6821046,-69.06386,-20.311644,44.808987,0.022541128,-0.035984784,0.0042127357,holdinginhand,sitting
10 May 2022 22:14:56:220 +0200,7.551497,1.3579761,6.607859,-69.06386,-20.311644,44.808987,0.022541128,-0.035984784,0.0042127357,holdinginhand,sitting
10 May 2022 22:14:56:223 +0200,7.551497,1.3579761,6.607859,-70.93227,-19.039574,47.317047,0.035856932,-0.048235323,-0.0016462188,holdinginhand,sitting
10 May 2022 22:14:56:261 +0200,7.6137676,1.3939015,6.615044,-70.93227,-19.039574,47.317047,0.035856932,-0.048235323,-0.0016462188,holdinginhand,sitting
10 May 2022 22:14:56:304 +0200,7.541917,1.3388159,6.6653395,-70.93227,-19.039574,47.317047,0.035856932,-0.048235323,-0.0016462188,holdinginhand,sitting
10 May 2022 22:14:56:347 +0200,7.5467067,1.3507911,6.6821046,-70.93227,-19.039574,47.317047,0.035856932,-0.048235323,-0.0016462188,holdinginhand,sitting
10 May 2022 22:14:56:384 +0200,7.5706573,1.4226416,6.6198344,-70.191864,-19.695988,46.920727,0.04970537,-0.047702692,-0.011233598,holdinginhand,sitting
10 May 2022 22:14:56:424 +0200,7.6089773,1.468147,6.5264287,-70.191864,-19.695988,46.920727,0.04970537,-0.047702692,-0.011233598,holdinginhand,sitting
10 May 2022 22:14:56:464 +0200,7.6281376,1.4585669,6.5551686,-70.191864,-19.695988,46.920727,0.04970537,-0.047702692,-0.011233598,holdinginhand,sitting
10 May 2022 22:14:56:502 +0200,7.606582,1.4370118,6.586304,-70.191864,-19.695988,46.920727,0.04970537,-0.047702692,-0.011233598,holdinginhand,sitting
10 May 2022 22:14:56:546 +0200,7.565867,1.3867164,6.550379,-70.43444,-19.024961,47.048027,0.0076274257,-0.018940555,-0.008037806,holdinginhand,sitting
10 May 2022 22:14:56:584 +0200,7.6401124,1.3939015,6.567144,-70.43444,-19.024961,47.048027,0.0076274257,-0.018940555,-0.008037806,holdinginhand,sitting
10 May 2022 22:14:56:625 +0200,7.6281376,1.3939015,6.5791187,-70.43444,-19.024961,47.048027,0.0076274257,-0.018940555,-0.008037806,holdinginhand,sitting
10 May 2022 22:14:56:664 +0200,7.6305327,1.4489869,6.5288234,-70.43444,-19.024961,47.048027,0.0076274257,-0.018940555,-0.008037806,holdinginhand,sitting
10 May 2022 22:14:56:704 +0200,7.606582,1.4513819,6.5384035,-70.56908,-20.047533,47.198185,0.017214807,-0.04237637,-0.009635702,holdinginhand,sitting
10 May 2022 22:14:56:742 +0200,7.671248,1.5184424,6.5264287,-70.56908,-20.047533,47.198185,0.017214807,-0.04237637,-0.009635702,holdinginhand,sitting
10 May 2022 22:14:56:781 +0200,7.6017923,1.4920973,6.5144534,-70.56908,-20.047533,47.198185,0.017214807,-0.04237637,-0.009635702,holdinginhand,sitting
10 May 2022 22:14:56:825 +0200,7.6137676,1.4370118,6.5288234,-70.56908,-20.047533,47.198185,0.017214807,-0.04237637,-0.009635702,holdinginhand,sitting
10 May 2022 22:14:56:866 +0200,7.7430983,1.465752,6.473738,-71.180954,-18.880135,47.593906,0.014551644,-0.020538451,0.010604322,holdinginhand,sitting
10 May 2022 22:14:56:904 +0200,7.6329274,1.4322218,6.476133,-71.180954,-18.880135,47.593906,0.014551644,-0.020538451,0.010604322,holdinginhand,sitting
10 May 2022 22:14:56:945 +0200,7.656878,1.456172,6.5240335,-71.180954,-18.880135,47.593906,0.014551644,-0.020538451,0.010604322,holdinginhand,sitting
10 May 2022 22:14:56:984 +0200,7.7215433,1.4801221,6.4833183,-71.180954,-18.880135,47.593906,0.014551644,-0.020538451,0.010604322,holdinginhand,sitting
