date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:00:18:411 +0200,9.402852,-2.5697496,0.21020325,-41.53125,-17.456251,-10.05,-0.5791039,-0.029561063,0.2362222,holdinginhand,standing
10 May 2022 15:00:18:451 +0200,9.402852,-2.5697496,0.21020325,-44.5125,-16.181252,-12.243751,-0.5791039,-0.029561063,0.2362222,holdinginhand,standing
10 May 2022 15:00:18:594 +0200,9.789124,-2.6739528,0.57251936,-44.5125,-16.181252,-12.243751,-0.3615238,-0.009587372,0.1181111,holdinginhand,standing
10 May 2022 15:00:18:651 +0200,9.789124,-2.6739528,0.57251936,-44.737503,-15.31875,-11.08125,-0.3615238,-0.009587372,0.1181111,holdinginhand,standing
10 May 2022 15:00:18:834 +0200,9.35135,-2.7032976,-0.21259873,-44.737503,-15.31875,-11.08125,-0.6749776,0.31225538,-0.32024485,holdinginhand,standing
10 May 2022 15:00:18:845 +0200,9.35135,-2.7032976,-0.21259873,-42.112503,-14.531251,-15.843751,-0.6749776,0.31225538,-0.32024485,holdinginhand,standing
10 May 2022 15:00:19:016 +0200,9.407643,-2.6679642,0.47430477,-42.112503,-14.531251,-15.843751,0.08056056,-0.12144004,0.12516846,holdinginhand,standing
10 May 2022 15:00:19:047 +0200,9.407643,-2.6679642,0.47430477,-43.3875,-14.85,-14.38125,0.08056056,-0.12144004,0.12516846,holdinginhand,standing
10 May 2022 15:00:19:194 +0200,9.606468,-2.3906877,0.46232736,-43.3875,-14.85,-14.38125,0.315318,-0.09693898,0.23209429,holdinginhand,standing
10 May 2022 15:00:19:243 +0200,9.606468,-2.3906877,0.46232736,-43.4625,-13.762501,-12.900001,0.315318,-0.09693898,0.23209429,holdinginhand,standing
10 May 2022 15:00:19:443 +0200,9.606468,-2.3906877,0.46232736,-43.3875,-14.925,-10.200001,0.315318,-0.09693898,0.23209429,holdinginhand,standing
10 May 2022 15:00:19:452 +0200,9.713067,-2.4224277,0.13055357,-43.3875,-14.925,-10.200001,0.60320544,-0.15286532,0.0031957906,holdinginhand,standing
10 May 2022 15:00:19:632 +0200,9.6507845,-2.688326,0.12755923,-43.3875,-14.925,-10.200001,0.5246423,-0.22517008,-0.2780338,holdinginhand,standing
10 May 2022 15:00:19:642 +0200,9.6507845,-2.688326,0.12755923,-41.9625,-17.00625,-9.13125,0.5246423,-0.22517008,-0.2780338,holdinginhand,standing
10 May 2022 15:00:19:788 +0200,9.379497,-2.9434443,-0.052101657,-41.9625,-17.00625,-9.13125,0.15459637,-0.09547424,-0.43129858,holdinginhand,standing
10 May 2022 15:00:19:841 +0200,9.379497,-2.9434443,-0.052101657,-40.256252,-17.98125,-7.5750003,0.15459637,-0.09547424,-0.43129858,holdinginhand,standing
10 May 2022 15:00:20:039 +0200,9.379497,-2.9434443,-0.052101657,-40.6875,-17.98125,-6.7125,0.15459637,-0.09547424,-0.43129858,holdinginhand,standing
10 May 2022 15:00:20:048 +0200,8.989632,-2.93506,0.08923157,-40.6875,-17.98125,-6.7125,-0.1535311,-0.014381058,0.02463422,holdinginhand,standing
10 May 2022 15:00:20:230 +0200,9.459744,-2.6344275,0.022158176,-40.6875,-17.98125,-6.7125,-0.34141695,0.13062795,0.4925512,holdinginhand,standing
10 May 2022 15:00:20:239 +0200,9.459744,-2.6344275,0.022158176,-42.393753,-15.993751,-8.962501,-0.34141695,0.13062795,0.4925512,holdinginhand,standing
10 May 2022 15:00:20:409 +0200,9.909496,-2.2918742,0.019163828,-42.393753,-15.993751,-8.962501,-0.29561064,0.094275825,0.2592585,holdinginhand,standing
10 May 2022 15:00:20:433 +0200,9.909496,-2.2918742,0.019163828,-43.74375,-14.606251,-10.9875,-0.29561064,0.094275825,0.2592585,holdinginhand,standing
10 May 2022 15:00:20:590 +0200,9.639405,-2.4607553,0.11737845,-43.74375,-14.606251,-10.9875,-0.2627206,0.09414266,-0.14287847,holdinginhand,standing
10 May 2022 15:00:20:636 +0200,9.639405,-2.4607553,0.11737845,-44.381252,-15.01875,-11.45625,-0.2627206,0.09414266,-0.14287847,holdinginhand,standing
10 May 2022 15:00:20:827 +0200,9.299847,-2.7991166,0.061084703,-44.381252,-15.01875,-11.45625,-0.052863702,0.068176866,-0.1902827,holdinginhand,standing
10 May 2022 15:00:20:836 +0200,9.299847,-2.7991166,0.061084703,-43.21875,-16.85625,-12.7875,-0.052863702,0.068176866,-0.1902827,holdinginhand,standing
10 May 2022 15:00:21:005 +0200,9.434592,-2.6625743,0.023355916,-43.21875,-16.85625,-12.7875,0.22357218,-0.0661795,0.111586355,holdinginhand,standing
10 May 2022 15:00:21:030 +0200,9.434592,-2.6625743,0.023355916,-43.237503,-15.76875,-11.2875,0.22357218,-0.0661795,0.111586355,holdinginhand,standing
10 May 2022 15:00:21:186 +0200,9.620841,-2.6020885,0.15031628,-43.237503,-15.76875,-11.2875,0.1047953,-0.05060002,-0.047936857,holdinginhand,standing
10 May 2022 15:00:21:230 +0200,9.620841,-2.6020885,0.15031628,-43.4625,-15.618751,-10.9125,0.1047953,-0.05060002,-0.047936857,holdinginhand,standing
10 May 2022 15:00:21:426 +0200,9.620841,-2.6020885,0.15031628,-43.0125,-16.931252,-10.14375,0.1047953,-0.05060002,-0.047936857,holdinginhand,standing
