date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:02:09:672 +0200,9.64779,-3.3524723,1.4780103,-45.393753,-2.11875,12.20625,-0.20919113,-0.15992269,0.7315697,holdinginhand,walking
10 May 2022 15:02:09:695 +0200,9.64779,-3.3524723,1.4780103,-45.393753,-2.11875,12.20625,-0.36525223,0.45633227,1.0313083,holdinginhand,walking
10 May 2022 15:02:09:766 +0200,9.64779,-3.3524723,1.4780103,-45.91875,1.125,8.6625,-0.36525223,0.45633227,1.0313083,holdinginhand,walking
10 May 2022 15:02:09:852 +0200,8.353034,-3.2117379,0.5803047,-45.91875,1.125,8.6625,-0.36525223,0.45633227,1.0313083,holdinginhand,walking
10 May 2022 15:02:09:930 +0200,8.353034,-3.2117379,0.5803047,-45.91875,1.125,8.6625,-0.32623696,0.5053344,-0.008255793,holdinginhand,walking
10 May 2022 15:02:09:963 +0200,8.353034,-3.2117379,0.5803047,-44.625,0.28125,6.95625,-0.32623696,0.5053344,-0.008255793,holdinginhand,walking
10 May 2022 15:02:10:112 +0200,10.434705,-3.6117828,0.9713665,-44.625,0.28125,6.95625,0.16085479,0.0070573706,-0.23262691,holdinginhand,walking
10 May 2022 15:02:10:161 +0200,10.434705,-3.6117828,0.9713665,-44.662502,-2.5687501,7.6312504,0.16085479,0.0070573706,-0.23262691,holdinginhand,walking
10 May 2022 15:02:10:292 +0200,10.331699,-4.2190366,1.9361455,-44.662502,-2.5687501,7.6312504,1.0239846,-0.770585,-0.5350286,holdinginhand,walking
10 May 2022 15:02:10:360 +0200,10.331699,-4.2190366,1.9361455,-44.23125,-5.5125003,15.900001,1.0239846,-0.770585,-0.5350286,holdinginhand,walking
10 May 2022 15:02:10:450 +0200,7.469102,-3.931579,1.3007449,-44.23125,-5.5125003,15.900001,1.0239846,-0.770585,-0.5350286,holdinginhand,walking
10 May 2022 15:02:10:549 +0200,7.469102,-3.931579,1.3007449,-44.23125,-5.5125003,15.900001,0.54621387,-0.50959545,-0.4812328,holdinginhand,walking
10 May 2022 15:02:10:557 +0200,7.469102,-3.931579,1.3007449,-43.987503,-9.975,21.900002,0.54621387,-0.50959545,-0.4812328,holdinginhand,walking
10 May 2022 15:02:10:709 +0200,9.0830555,-4.964629,1.3115245,-43.987503,-9.975,21.900002,-0.524376,-0.04154528,0.6174534,holdinginhand,walking
10 May 2022 15:02:10:756 +0200,9.0830555,-4.964629,1.3115245,-46.537502,-9.450001,21.88125,-0.524376,-0.04154528,0.6174534,holdinginhand,walking
10 May 2022 15:02:10:889 +0200,8.657858,-3.2135344,1.1462365,-46.537502,-9.450001,21.88125,-0.69002444,0.7173218,0.59561545,holdinginhand,walking
10 May 2022 15:02:10:956 +0200,8.657858,-3.2135344,1.1462365,-50.1375,-9.65625,15.3,-0.69002444,0.7173218,0.59561545,holdinginhand,walking
10 May 2022 15:02:11:075 +0200,8.811768,-2.8697834,0.45274544,-50.1375,-9.65625,15.3,-0.69002444,0.7173218,0.59561545,holdinginhand,walking
10 May 2022 15:02:11:150 +0200,8.811768,-2.8697834,0.45274544,-50.1375,-9.65625,15.3,0.19893797,0.33449274,0.21438429,holdinginhand,walking
10 May 2022 15:02:11:160 +0200,8.811768,-2.8697834,0.45274544,-54.825,-9.225,19.143751,0.19893797,0.33449274,0.21438429,holdinginhand,walking
10 May 2022 15:02:11:251 +0200,10.950332,-3.7770708,0.7521803,-54.825,-9.225,19.143751,0.19893797,0.33449274,0.21438429,holdinginhand,walking
10 May 2022 15:02:11:332 +0200,10.950332,-3.7770708,0.7521803,-54.825,-9.225,19.143751,0.08269108,0.11025477,-0.3099917,holdinginhand,walking
10 May 2022 15:02:11:351 +0200,10.950332,-3.7770708,0.7521803,-56.831253,-16.81875,30.337502,0.08269108,0.11025477,-0.3099917,holdinginhand,walking
10 May 2022 15:02:11:508 +0200,10.158626,-4.010031,1.584609,-56.831253,-16.81875,30.337502,0.40733013,-0.38615802,-0.8693882,holdinginhand,walking
10 May 2022 15:02:11:554 +0200,10.158626,-4.010031,1.584609,-46.6875,-14.55,61.143753,0.40733013,-0.38615802,-0.8693882,holdinginhand,walking
10 May 2022 15:02:11:670 +0200,7.1451135,-3.8525283,1.6486881,-46.6875,-14.55,61.143753,0.40733013,-0.38615802,-0.8693882,holdinginhand,walking
