date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:20:57:241 +0200,-6.7456675,-1.851106,7.0163565,22.9125,20.90625,-16.050001,0.23182797,-0.27750114,-1.2685957,insidethebag,walking
10 May 2022 15:20:57:289 +0200,-6.7456675,-1.851106,7.0163565,17.681252,21.825,-19.893751,0.23182797,-0.27750114,-1.2685957,insidethebag,walking
10 May 2022 15:20:57:405 +0200,-5.8515553,-1.1426432,7.524198,17.681252,21.825,-19.893751,0.5115928,0.06258423,-0.6159886,insidethebag,walking
10 May 2022 15:20:57:489 +0200,-5.8515553,-1.1426432,7.524198,15.825001,20.268751,-20.71875,0.5115928,0.06258423,-0.6159886,insidethebag,walking
10 May 2022 15:20:57:580 +0200,-5.8515553,-1.1426432,7.524198,15.825001,20.268751,-20.71875,0.02969422,0.014514215,0.5191828,insidethebag,walking
10 May 2022 15:20:57:601 +0200,-3.5752518,-3.2440767,9.10761,15.825001,20.268751,-20.71875,0.02969422,0.014514215,0.5191828,insidethebag,walking
10 May 2022 15:20:57:690 +0200,-3.5752518,-3.2440767,9.10761,17.925001,19.275002,-20.212502,0.02969422,0.014514215,0.5191828,insidethebag,walking
10 May 2022 15:20:57:755 +0200,-3.5752518,-3.2440767,9.10761,17.925001,19.275002,-20.212502,-0.5894902,0.009454214,1.110404,insidethebag,walking
10 May 2022 15:20:57:834 +0200,-7.7326045,-0.4102257,7.9416103,17.925001,19.275002,-20.212502,-0.5894902,0.009454214,1.110404,insidethebag,walking
10 May 2022 15:20:57:889 +0200,-7.7326045,-0.4102257,7.9416103,25.800001,18.337502,-17.53125,-0.5894902,0.009454214,1.110404,insidethebag,walking
10 May 2022 15:20:57:944 +0200,-7.7326045,-0.4102257,7.9416103,25.800001,18.337502,-17.53125,-1.1456909,-0.00905474,1.9105501,insidethebag,walking
10 May 2022 15:20:58:010 +0200,-4.0663247,-1.0534117,7.829622,25.800001,18.337502,-17.53125,-1.1456909,-0.00905474,1.9105501,insidethebag,walking
10 May 2022 15:20:58:083 +0200,-4.0663247,-1.0534117,7.829622,31.25625,16.48125,-12.431251,-1.1456909,-0.00905474,1.9105501,insidethebag,walking
10 May 2022 15:20:58:191 +0200,-3.0512407,-0.043118615,10.037654,31.25625,16.48125,-12.431251,-0.7460839,0.16085479,0.8352998,insidethebag,walking
10 May 2022 15:20:58:280 +0200,-3.0512407,-0.043118615,10.037654,32.5875,16.650002,-10.200001,-0.7460839,0.16085479,0.8352998,insidethebag,walking
10 May 2022 15:20:58:357 +0200,-3.0512407,-0.043118615,10.037654,32.5875,16.650002,-10.200001,0.26538378,-0.27110958,-1.367532,insidethebag,walking
10 May 2022 15:20:58:441 +0200,-6.185126,-1.93375,7.6918817,32.5875,16.650002,-10.200001,0.26538378,-0.27110958,-1.367532,insidethebag,walking
10 May 2022 15:20:58:479 +0200,-6.185126,-1.93375,7.6918817,28.25625,21.337502,-15.3,0.26538378,-0.27110958,-1.367532,insidethebag,walking
10 May 2022 15:20:58:552 +0200,-6.185126,-1.93375,7.6918817,28.25625,21.337502,-15.3,0.55713284,0.315318,-0.81758976,insidethebag,walking
10 May 2022 15:20:58:618 +0200,-6.760639,-0.85638356,6.841487,28.25625,21.337502,-15.3,0.55713284,0.315318,-0.81758976,insidethebag,walking
10 May 2022 15:20:58:677 +0200,-6.760639,-0.85638356,6.841487,25.837502,20.60625,-15.4875,0.55713284,0.315318,-0.81758976,insidethebag,walking
