date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:17:23:903 +0200,5.669643,-1.2402344,-7.623371,-10.26,-17.58,33.059998,0.16495317,-0.16795923,-0.37610176,insidethebag,standing
10 May 2022 15:17:23:943 +0200,4.8340406,-1.0678465,-8.308133,-10.26,-17.58,33.059998,0.16495317,-0.16795923,-0.37610176,insidethebag,standing
10 May 2022 15:17:23:964 +0200,4.8340406,-1.0678465,-8.308133,-10.26,-17.58,33.059998,0.7440534,-0.17773308,-0.9906322,insidethebag,standing
10 May 2022 15:17:24:106 +0200,4.8340406,-1.0678465,-8.308133,-7.2,-17.4,35.579998,0.7440534,-0.17773308,-0.9906322,insidethebag,standing
10 May 2022 15:17:24:130 +0200,5.1429024,-0.8643332,-8.48531,-7.2,-17.4,35.579998,0.7440534,-0.17773308,-0.9906322,insidethebag,standing
10 May 2022 15:17:24:146 +0200,5.1429024,-0.8643332,-8.48531,-7.2,-17.4,35.579998,0.35493225,-0.014632056,-0.6784801,insidethebag,standing
10 May 2022 15:17:24:313 +0200,5.3727527,-1.3000913,-7.7742105,-3.84,-16.5,37.86,0.35493225,-0.014632056,-0.6784801,insidethebag,standing
10 May 2022 15:17:24:339 +0200,5.3727527,-1.3000913,-7.7742105,-3.84,-16.5,37.86,0.09836885,0.04889793,-0.041347638,insidethebag,standing
10 May 2022 15:17:24:487 +0200,5.751048,-0.8284191,-7.822096,-3.84,-16.5,37.86,0.09836885,0.04889793,-0.041347638,insidethebag,standing
10 May 2022 15:17:24:507 +0200,5.751048,-0.8284191,-7.822096,-1.0799999,-14.4,40.26,0.09836885,0.04889793,-0.041347638,insidethebag,standing
10 May 2022 15:17:24:509 +0200,5.751048,-0.8284191,-7.822096,-1.0799999,-14.4,40.26,-0.10871446,0.074554265,0.38320372,insidethebag,standing
10 May 2022 15:17:24:670 +0200,6.1054006,-0.5698374,-8.0926485,-1.0799999,-14.4,40.26,-0.10871446,0.074554265,0.38320372,insidethebag,standing
10 May 2022 15:17:24:675 +0200,5.1716337,-2.248224,-8.628966,-1.0799999,-14.4,40.26,-0.10871446,0.074554265,0.38320372,insidethebag,standing
