date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:09:10:271 +0200,0.1939966,-8.619676,-4.5481424,-8.8906,36.937477,8.826923,0.0029611737,-0.002812503,-0.00153931,insidethebag,sitting
10 May 2022 22:09:10:431 +0200,0.19639161,-8.624466,-4.536167,-9.13476,37.438923,8.956028,0.0034938063,-0.002279872,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:10:590 +0200,0.19160157,-8.624466,-4.5409575,-7.7734165,37.29675,8.866741,0.0029611737,-0.0033451356,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:10:743 +0200,0.19878663,-8.612491,-4.543352,-7.7734165,37.29675,8.866741,0.0029611737,-0.0033451356,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:10:749 +0200,0.19878663,-8.612491,-4.543352,-8.901686,35.750397,8.83955,0.0029611737,-0.002279872,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:10:906 +0200,0.20118165,-8.619676,-4.550537,-7.791279,36.095474,9.6001625,0.004026438,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:11:066 +0200,0.19160157,-8.62207,-4.5385623,-9.527798,36.38918,10.249798,0.0029611737,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:11:222 +0200,0.19639161,-8.624466,-4.5385623,-9.527798,36.38918,10.249798,0.0029611737,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:11:228 +0200,0.19639161,-8.624466,-4.5385623,-8.010345,38.145874,8.559757,0.0034938063,-0.002812503,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:11:391 +0200,0.1939966,-8.62207,-4.5409575,-9.390696,36.253048,8.670685,0.004026438,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:11:541 +0200,0.19878663,-8.62207,-4.533772,-9.390696,36.253048,8.670685,0.004026438,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:11:549 +0200,0.19878663,-8.62207,-4.533772,-10.019535,35.88852,9.370964,0.004026438,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:11:694 +0200,0.19160157,-8.624466,-4.5313773,-10.019535,35.88852,9.370964,0.004026438,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:11:700 +0200,0.19160157,-8.624466,-4.5313773,-9.259911,36.43622,8.097065,0.0034938063,-0.002279872,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:11:864 +0200,0.1939966,-8.624466,-4.5481424,-9.393406,36.24737,8.959,0.0034938063,-0.002812503,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:12:020 +0200,0.19878663,-8.617281,-4.533772,-8.629929,37.634468,8.108566,0.0034938063,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:178 +0200,0.19639161,-8.62207,-4.5385623,-8.629929,37.634468,8.108566,0.0034938063,-0.0033451356,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:187 +0200,0.19639161,-8.62207,-4.5385623,-9.393406,36.24737,8.959,0.0034938063,-0.0033451356,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:340 +0200,0.19160157,-8.62207,-4.543352,-9.393406,36.24737,8.959,0.0034938063,-0.0033451356,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:347 +0200,0.19160157,-8.62207,-4.543352,-7.900133,37.122097,9.007881,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:501 +0200,0.1939966,-8.62207,-4.5313773,-9.27142,36.910908,9.821564,0.0029611737,-0.002812503,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:12:654 +0200,0.19160157,-8.614885,-4.533772,-8.013954,38.470848,9.276947,0.004026438,-0.002279872,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:805 +0200,0.19639161,-8.619676,-4.533772,-8.013954,38.470848,9.276947,0.004026438,-0.002279872,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:811 +0200,0.19639161,-8.619676,-4.533772,-7.880707,37.49532,7.274372,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:971 +0200,0.1939966,-8.624466,-4.5409575,-7.880707,37.49532,7.274372,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:12:980 +0200,0.1939966,-8.624466,-4.5409575,-8.395481,36.94641,8.846226,0.002428541,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:13:126 +0200,0.18920656,-8.62207,-4.5385623,-8.017807,37.631447,8.853485,0.004026438,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:13:292 +0200,0.19639161,-8.617281,-4.5385623,-8.739243,38.327595,7.231579,0.0034938063,-0.002279872,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:13:451 +0200,0.1939966,-8.617281,-4.533772,-7.8942566,37.466938,8.715961,0.0034938063,-0.002812503,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:13:607 +0200,0.19878663,-8.624466,-4.5457473,-8.011032,37.645638,8.13269,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:13:758 +0200,0.19639161,-8.619676,-4.5313773,-8.011032,37.645638,8.13269,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:13:764 +0200,0.19639161,-8.619676,-4.5313773,-9.38188,36.77031,8.232796,0.0029611737,-0.0033451356,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:13:929 +0200,0.18920656,-8.62207,-4.533772,-8.647102,36.93343,9.269054,0.0034938063,-0.002812503,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:14:080 +0200,0.1939966,-8.619676,-4.5409575,-8.892641,36.434406,8.544018,0.004026438,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:14:242 +0200,0.1939966,-8.617281,-4.543352,-9.39543,36.74193,9.674385,0.0034938063,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:14:395 +0200,0.20118165,-8.62207,-4.533772,-8.752792,38.299213,8.673168,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:14:559 +0200,0.19160157,-8.610096,-4.5409575,-8.752792,38.299213,8.673168,0.0029611737,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:14:567 +0200,0.19160157,-8.610096,-4.5409575,-9.629877,37.429985,8.936729,0.002428541,-0.002812503,-0.00153931,insidethebag,sitting
10 May 2022 22:09:14:716 +0200,0.19639161,-8.612491,-4.5457473,-9.629877,37.429985,8.936729,0.002428541,-0.002812503,-0.00153931,insidethebag,sitting
10 May 2022 22:09:14:723 +0200,0.19639161,-8.612491,-4.5457473,-9.870888,37.272964,8.063923,0.0029611737,-0.0033451356,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:14:868 +0200,0.19878663,-8.62207,-4.5481424,-9.870888,37.272964,8.063923,0.0029611737,-0.0033451356,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:14:873 +0200,0.19878663,-8.62207,-4.5481424,-8.399546,36.937897,9.278706,0.004026438,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:15:031 +0200,0.18920656,-8.619676,-4.536167,-8.399546,36.937897,9.278706,0.004026438,-0.002812503,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:15:038 +0200,0.18920656,-8.619676,-4.536167,-9.138386,36.766266,8.674927,0.0034938063,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:15:190 +0200,0.1939966,-8.619676,-4.5457473,-9.138386,36.766266,8.674927,0.0034938063,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:15:198 +0200,0.1939966,-8.619676,-4.5457473,-7.907366,36.774414,9.44397,0.0029611737,-0.002279872,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:15:348 +0200,0.19160157,-8.617281,-4.536167,-7.907366,36.774414,9.44397,0.0029611737,-0.002279872,-0.0026045744,insidethebag,sitting
10 May 2022 22:09:15:356 +0200,0.19160157,-8.617281,-4.536167,-8.5242405,36.26869,8.70446,0.0034938063,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:15:509 +0200,0.19639161,-8.626861,-4.543352,-8.5242405,36.26869,8.70446,0.0034938063,-0.002279872,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:15:516 +0200,0.19639161,-8.626861,-4.543352,-7.549597,35.7551,9.901737,0.0034938063,-0.002812503,-0.0020719422,insidethebag,sitting
10 May 2022 22:09:15:665 +0200,0.18681154,-8.619676,-4.5409575,-8.778574,36.250027,9.415604,0.0029611737,-0.0033451356,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:15:821 +0200,0.19160157,-8.624466,-4.5457473,-8.778574,36.250027,9.415604,0.0029611737,-0.0033451356,-0.0031372067,insidethebag,sitting
10 May 2022 22:09:15:827 +0200,0.19160157,-8.624466,-4.5457473,-8.6534195,37.25273,10.274555,0.0034938063,-0.002812503,-0.0031372067,insidethebag,sitting
