date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:12:44:870 +0200,-5.547535,-0.4764607,-7.9968777,-33.12,15.599999,47.579998,0.002624277,-0.0011459832,0.0031557297,insidethebag,sitting
10 May 2022 15:12:44:892 +0200,-5.5355635,-0.4860378,-8.008849,-33.12,15.599999,47.579998,0.002624277,-0.0011459832,0.0031557297,insidethebag,sitting
10 May 2022 15:12:44:909 +0200,-5.5355635,-0.4860378,-8.008849,-33.12,15.599999,47.579998,0.002624277,-0.0011459832,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:075 +0200,-5.521198,-0.4644893,-8.006455,-32.88,15.54,47.039997,0.002624277,-0.0011459832,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:080 +0200,-5.5188036,-0.4836435,-8.001666,-32.88,15.54,47.039997,0.002624277,-0.0011459832,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:254 +0200,-5.542746,-0.47167215,-8.004061,-32.88,15.54,47.039997,0.002624277,-0.0011459832,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:259 +0200,-5.5547175,-0.48843205,-8.013638,-32.88,15.54,47.039997,0.002624277,-0.0011459832,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:274 +0200,-5.5547175,-0.48843205,-8.013638,-32.88,15.839999,46.32,0.002624277,-0.0011459832,0.0031557297,insidethebag,sitting
10 May 2022 15:12:45:434 +0200,-5.540352,-0.505192,-8.013638,-32.88,15.839999,46.32,0.002624277,-0.0011459832,0.0031557297,insidethebag,sitting
10 May 2022 15:12:45:439 +0200,-5.5547175,-0.4956149,-8.020821,-32.88,15.839999,46.32,0.002624277,-0.0011459832,0.0031557297,insidethebag,sitting
10 May 2022 15:12:45:452 +0200,-5.5547175,-0.4956149,-8.020821,-32.88,15.839999,46.32,0.002624277,-5.35118E-4,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:473 +0200,-5.5547175,-0.4956149,-8.020821,-33.18,16.5,46.079998,0.002624277,-5.35118E-4,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:617 +0200,-5.5331693,-0.47885495,-8.006455,-33.18,16.5,46.079998,0.002624277,-5.35118E-4,0.0037665952,insidethebag,sitting
10 May 2022 15:12:45:631 +0200,-5.5331693,-0.47885495,-8.006455,-33.18,16.5,46.079998,0.002624277,-0.0011459832,0.0031557297,insidethebag,sitting
