date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:32:42:439 +0200,13.186978,2.4141798,4.375701,-75.73623,-18.563536,18.28744,-0.45949104,-0.03491952,0.20608036,insidethebag,walking
10 May 2022 22:32:42:472 +0200,15.761624,-0.33530274,3.8200562,-75.73623,-18.563536,18.28744,-0.45949104,-0.03491952,0.20608036,insidethebag,walking
10 May 2022 22:32:42:513 +0200,15.761624,-0.33530274,3.8200562,-76.57894,-17.033058,17.22832,-0.45949104,-0.03491952,0.20608036,insidethebag,walking
10 May 2022 22:32:42:518 +0200,12.662469,-2.078877,1.2094849,-76.57894,-17.033058,17.22832,-0.65443444,0.27826825,-0.09752002,insidethebag,walking
10 May 2022 22:32:42:557 +0200,7.472461,-0.8765772,-1.7507594,-76.57894,-17.033058,17.22832,-0.65443444,0.27826825,-0.09752002,insidethebag,walking
10 May 2022 22:32:42:598 +0200,6.310877,0.9364527,-4.655918,-76.57894,-17.033058,17.22832,-0.65443444,0.27826825,-0.09752002,insidethebag,walking
10 May 2022 22:32:42:637 +0200,8.794512,0.6849756,-2.7255323,-76.57894,-17.033058,17.22832,-0.65443444,0.27826825,-0.09752002,insidethebag,walking
10 May 2022 22:32:42:678 +0200,12.054133,-1.7723145,2.9746144,-76.414474,-14.950416,14.904961,-0.65443444,0.27826825,-0.09752002,insidethebag,walking
10 May 2022 22:32:42:681 +0200,12.054133,-1.7723145,2.9746144,-76.414474,-14.950416,14.904961,-1.4182291,0.109423816,0.25188673,insidethebag,walking
10 May 2022 22:32:42:716 +0200,10.425521,-1.1543995,4.2296047,-76.414474,-14.950416,14.904961,-1.4182291,0.109423816,0.25188673,insidethebag,walking
10 May 2022 22:32:42:757 +0200,8.262817,1.6142433,2.4644752,-76.414474,-14.950416,14.904961,-1.4182291,0.109423816,0.25188673,insidethebag,walking
10 May 2022 22:32:42:798 +0200,7.3311553,2.3447242,2.5243506,-76.414474,-14.950416,14.904961,-1.4182291,0.109423816,0.25188673,insidethebag,walking
