date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:11:03:214 +0200,-8.066312,-3.3160706,3.6656346,32.16,1.56,-14.94,0.013238061,-0.3751696,-0.29881147,insidethebag,standing
10 May 2022 22:11:03:258 +0200,-7.9968777,-4.8148866,3.615355,32.16,1.56,-14.94,-0.25676438,-0.3825,0.31449726,insidethebag,standing
10 May 2022 22:11:03:414 +0200,-7.9968777,-4.8148866,3.615355,31.439999,2.28,-15.78,-0.25676438,-0.3825,0.31449726,insidethebag,standing
10 May 2022 22:11:03:435 +0200,-7.9968777,-4.8148866,3.615355,31.439999,2.28,-15.78,-0.7515652,-0.26704645,0.5429609,insidethebag,standing
10 May 2022 22:11:03:438 +0200,-8.549955,-3.4740927,3.1341057,31.439999,2.28,-15.78,-0.7515652,-0.26704645,0.5429609,insidethebag,standing
10 May 2022 22:11:03:616 +0200,-8.846846,-2.803696,2.9138324,31.32,2.1599998,-16.44,-1.0423371,-0.25849435,0.83128923,insidethebag,standing
10 May 2022 22:11:03:793 +0200,-8.004061,-2.4780743,5.29853,31.32,2.1599998,-16.44,-1.0423371,-0.25849435,0.83128923,insidethebag,standing
10 May 2022 22:11:03:796 +0200,-8.004061,-2.4780743,5.29853,31.32,2.1599998,-16.44,-1.2365923,-0.08134343,0.8282349,insidethebag,standing
10 May 2022 22:11:03:813 +0200,-8.004061,-2.4780743,5.29853,32.7,0.24,-15.12,-1.2365923,-0.08134343,0.8282349,insidethebag,standing
10 May 2022 22:11:03:973 +0200,-7.7670274,-2.3990633,5.305713,32.7,0.24,-15.12,-1.1987187,-0.25360742,0.5893866,insidethebag,standing
10 May 2022 22:11:04:013 +0200,-7.7670274,-2.3990633,5.305713,35.46,-3.54,-12.36,-1.1987187,-0.25360742,0.5893866,insidethebag,standing
10 May 2022 22:11:04:154 +0200,-9.596253,-1.5826156,2.8084843,35.46,-3.54,-12.36,-0.3813809,-0.10028025,-0.19191003,insidethebag,standing
10 May 2022 22:11:04:215 +0200,-9.596253,-1.5826156,2.8084843,37.98,-7.3199997,-10.74,-0.3813809,-0.10028025,-0.19191003,insidethebag,standing
10 May 2022 22:11:04:334 +0200,-9.012051,-2.6097596,3.5483153,37.98,-7.3199997,-10.74,-0.3813809,-0.10028025,-0.19191003,insidethebag,standing
10 May 2022 22:11:04:337 +0200,-9.012051,-2.6097596,3.5483153,37.98,-7.3199997,-10.74,-0.26042956,-0.42526057,0.067707695,insidethebag,standing
10 May 2022 22:11:04:413 +0200,-9.012051,-2.6097596,3.5483153,40.2,-10.62,-9.179999,-0.26042956,-0.42526057,0.067707695,insidethebag,standing
10 May 2022 22:11:04:514 +0200,-7.326481,-2.2601955,3.5363438,40.2,-10.62,-9.179999,-0.7381262,-0.27193338,0.28395396,insidethebag,standing
10 May 2022 22:11:04:613 +0200,-7.326481,-2.2601955,3.5363438,41.52,-12.54,-9.12,-0.7381262,-0.27193338,0.28395396,insidethebag,standing
10 May 2022 22:11:04:693 +0200,-7.326481,-2.2601955,3.5363438,41.52,-12.54,-9.12,-1.1186951,-0.5266642,0.36703166,insidethebag,standing
10 May 2022 22:11:04:696 +0200,-13.32414,0.6201172,4.7286925,41.52,-12.54,-9.12,-1.1186951,-0.5266642,0.36703166,insidethebag,standing
10 May 2022 22:11:04:815 +0200,-13.32414,0.6201172,4.7286925,42.239998,-14.099999,-10.559999,-1.1186951,-0.5266642,0.36703166,insidethebag,standing
10 May 2022 22:11:04:874 +0200,-7.56112,-3.5483153,5.071074,42.239998,-14.099999,-10.559999,0.8391279,0.102527015,-0.4032694,insidethebag,standing
10 May 2022 22:11:05:013 +0200,-7.56112,-3.5483153,5.071074,42.3,-14.639999,-11.759999,0.8391279,0.102527015,-0.4032694,insidethebag,standing
10 May 2022 22:11:05:054 +0200,-9.198804,-3.2274826,3.7733772,42.3,-14.639999,-11.759999,1.6185919,0.46660268,-0.43564525,insidethebag,standing
10 May 2022 22:11:05:213 +0200,-9.198804,-3.2274826,3.7733772,42.66,-14.94,-12.24,1.6185919,0.46660268,-0.43564525,insidethebag,standing
10 May 2022 22:11:05:233 +0200,-8.906702,-1.7430321,4.9609375,42.66,-14.94,-12.24,1.6185919,0.46660268,-0.43564525,insidethebag,standing
10 May 2022 22:11:05:236 +0200,-8.906702,-1.7430321,4.9609375,42.66,-14.94,-12.24,1.269177,0.20698497,-0.30369836,insidethebag,standing
10 May 2022 22:11:05:415 +0200,-8.396722,-2.238647,6.055121,42.12,-15.66,-13.0199995,1.269177,0.20698497,-0.30369836,insidethebag,standing
10 May 2022 22:11:05:418 +0200,-8.396722,-2.238647,6.055121,42.12,-15.66,-13.0199995,0.7792631,-0.19924042,0.55212384,insidethebag,standing
10 May 2022 22:11:05:593 +0200,-10.151725,0.82602483,5.3488097,42.12,-15.66,-13.0199995,0.5312518,0.51608276,-0.7215302,insidethebag,standing
10 May 2022 22:11:05:612 +0200,-10.151725,0.82602483,5.3488097,42.0,-16.92,-13.259999,0.5312518,0.51608276,-0.7215302,insidethebag,standing
10 May 2022 22:11:05:774 +0200,-9.229929,-2.5618742,4.642499,42.0,-16.92,-13.259999,-0.50477564,0.20881757,-0.15892331,insidethebag,standing
10 May 2022 22:11:05:812 +0200,-9.229929,-2.5618742,4.642499,42.3,-16.92,-12.059999,-0.50477564,0.20881757,-0.15892331,insidethebag,standing
10 May 2022 22:11:05:953 +0200,-9.229929,-2.5618742,4.642499,42.3,-16.92,-12.059999,-0.76072824,0.054879524,0.36336648,insidethebag,standing
10 May 2022 22:11:05:956 +0200,-11.248303,4.625739,1.359948,42.3,-16.92,-12.059999,-0.76072824,0.054879524,0.36336648,insidethebag,standing
10 May 2022 22:11:06:014 +0200,-11.248303,4.625739,1.359948,42.239998,-17.64,-11.34,-0.76072824,0.054879524,0.36336648,insidethebag,standing
10 May 2022 22:11:06:136 +0200,-11.248303,4.625739,1.359948,42.239998,-17.64,-11.34,0.3253902,0.25829765,0.14834191,insidethebag,standing
10 May 2022 22:11:06:140 +0200,-9.859624,-1.6712039,2.1572416,42.239998,-17.64,-11.34,0.3253902,0.25829765,0.14834191,insidethebag,standing
10 May 2022 22:11:06:215 +0200,-9.859624,-1.6712039,2.1572416,43.079998,-19.08,-9.42,0.3253902,0.25829765,0.14834191,insidethebag,standing
10 May 2022 22:11:06:316 +0200,-9.859624,-1.6712039,2.1572416,43.079998,-19.08,-9.42,0.07921151,0.18560469,-0.068515256,insidethebag,standing
10 May 2022 22:11:06:321 +0200,-8.995291,1.0678465,3.213117,43.079998,-19.08,-9.42,0.07921151,0.18560469,-0.068515256,insidethebag,standing
10 May 2022 22:11:06:417 +0200,-8.995291,1.0678465,3.213117,43.32,-18.72,-7.3199997,0.07921151,0.18560469,-0.068515256,insidethebag,standing
10 May 2022 22:11:06:497 +0200,-8.995291,1.0678465,3.213117,43.32,-18.72,-7.3199997,-0.039296348,0.27112582,0.25707594,insidethebag,standing
