date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:19:17:714 +0200,5.1137476,-6.53786,5.089793,-1051.1438,-179.79376,-748.1813,0.11717899,0.01877527,0.029561063,insidethebag,standing
10 May 2022 15:19:17:737 +0200,5.061047,-6.5210915,5.32455,-1051.1438,-179.79376,-748.1813,0.11717899,0.01877527,0.029561063,insidethebag,standing
10 May 2022 15:19:17:822 +0200,5.061047,-6.5210915,5.32455,-1051.1438,-179.79376,-748.1813,0.22783324,-0.14634058,0.21318586,insidethebag,standing
10 May 2022 15:19:17:912 +0200,4.6687875,-6.5773854,5.515589,-1050.8063,-180.84375,-749.28754,0.22783324,-0.14634058,0.21318586,insidethebag,standing
10 May 2022 15:19:17:994 +0200,4.6687875,-6.5773854,5.515589,-1050.8063,-180.84375,-749.28754,0.24647535,-0.34501222,0.312788,insidethebag,standing
10 May 2022 15:19:18:107 +0200,4.6472282,-6.6612267,5.677883,-1050.8063,-180.84375,-749.28754,0.24647535,-0.34501222,0.312788,insidethebag,standing
10 May 2022 15:19:18:115 +0200,4.6472282,-6.6612267,5.677883,-1050.6562,-181.74376,-751.05005,0.24647535,-0.34501222,0.312788,insidethebag,standing
10 May 2022 15:19:18:174 +0200,4.6472282,-6.6612267,5.677883,-1050.6562,-181.74376,-751.05005,0.2555301,-0.4058654,0.3771033,insidethebag,standing
10 May 2022 15:19:18:312 +0200,4.6472282,-6.6612267,5.677883,-1050.2438,-183.69376,-751.4625,0.2555301,-0.4058654,0.3771033,insidethebag,standing
10 May 2022 15:19:18:347 +0200,4.019613,-6.8738256,5.6072164,-1050.2438,-183.69376,-751.4625,0.2555301,-0.4058654,0.3771033,insidethebag,standing
10 May 2022 15:19:18:364 +0200,4.019613,-6.8738256,5.6072164,-1050.2438,-183.69376,-751.4625,0.057257913,-0.21837902,0.1567269,insidethebag,standing
10 May 2022 15:19:18:506 +0200,4.019613,-6.8738256,5.6072164,-1050.0751,-183.0,-751.7063,0.057257913,-0.21837902,0.1567269,insidethebag,standing
10 May 2022 15:19:18:518 +0200,4.052551,-7.1085825,5.564697,-1050.0751,-183.0,-751.7063,0.057257913,-0.21837902,0.1567269,insidethebag,standing
10 May 2022 15:19:18:604 +0200,4.052551,-7.1085825,5.564697,-1050.0751,-183.0,-751.7063,-0.13542162,0.12956268,-0.12769847,insidethebag,standing
10 May 2022 15:19:18:704 +0200,4.052551,-7.1085825,5.564697,-1050.8625,-182.4375,-751.53754,-0.13542162,0.12956268,-0.12769847,insidethebag,standing
10 May 2022 15:19:18:712 +0200,4.607703,-6.867238,5.4503126,-1050.8625,-182.4375,-751.53754,-0.13542162,0.12956268,-0.12769847,insidethebag,standing
10 May 2022 15:19:18:782 +0200,4.607703,-6.867238,5.4503126,-1050.8625,-182.4375,-751.53754,-0.13036162,0.16498269,-0.17403743,insidethebag,standing
10 May 2022 15:19:18:903 +0200,4.607703,-6.867238,5.4503126,-1051.3688,-181.85626,-750.84375,-0.13036162,0.16498269,-0.17403743,insidethebag,standing
10 May 2022 15:19:18:951 +0200,4.469364,-6.8103456,5.214358,-1051.3688,-181.85626,-750.84375,-0.13036162,0.16498269,-0.17403743,insidethebag,standing
10 May 2022 15:19:18:973 +0200,4.469364,-6.8103456,5.214358,-1051.3688,-181.85626,-750.84375,-0.17496954,0.21797955,-0.17137428,insidethebag,standing
10 May 2022 15:19:19:105 +0200,4.469364,-6.8103456,5.214358,-1050.8063,-181.03125,-749.90625,-0.17496954,0.21797955,-0.17137428,insidethebag,standing
10 May 2022 15:19:19:128 +0200,4.7610135,-6.821125,5.1748323,-1050.8063,-181.03125,-749.90625,-0.17496954,0.21797955,-0.17137428,insidethebag,standing
10 May 2022 15:19:19:210 +0200,4.7610135,-6.821125,5.1748323,-1050.8063,-181.03125,-749.90625,-0.13768531,0.10905635,-0.124502674,insidethebag,standing
10 May 2022 15:19:19:301 +0200,5.026313,-6.7235093,4.9807987,-1051.6125,-180.4125,-749.6813,-0.13768531,0.10905635,-0.124502674,insidethebag,standing
10 May 2022 15:19:19:385 +0200,5.026313,-6.7235093,4.9807987,-1051.6125,-180.4125,-749.6813,-0.05938844,-0.06831002,0.022237375,insidethebag,standing
10 May 2022 15:19:19:502 +0200,5.026313,-6.7235093,4.9807987,-1051.2563,-179.79376,-748.7438,-0.05938844,-0.06831002,0.022237375,insidethebag,standing
10 May 2022 15:19:19:557 +0200,4.851443,-6.8145375,4.955047,-1051.2563,-179.79376,-748.7438,-0.05938844,-0.06831002,0.022237375,insidethebag,standing
10 May 2022 15:19:19:578 +0200,4.851443,-6.8145375,4.955047,-1051.2563,-179.79376,-748.7438,0.07084002,-0.17390427,0.16578163,insidethebag,standing
10 May 2022 15:19:19:701 +0200,4.851443,-6.8145375,4.955047,-1051.3313,-180.63751,-749.66254,0.07084002,-0.17390427,0.16578163,insidethebag,standing
10 May 2022 15:19:19:734 +0200,4.6196804,-7.151701,5.2251377,-1051.3313,-180.63751,-749.66254,0.07084002,-0.17390427,0.16578163,insidethebag,standing
10 May 2022 15:19:19:819 +0200,4.6196804,-7.151701,5.2251377,-1051.3313,-180.63751,-749.66254,0.06684528,-0.08242477,0.0503337,insidethebag,standing
10 May 2022 15:19:19:901 +0200,4.6196804,-7.151701,5.2251377,-1049.9062,-179.925,-748.4438,0.06684528,-0.08242477,0.0503337,insidethebag,standing
10 May 2022 15:19:19:910 +0200,4.039376,-7.3936443,5.1580644,-1049.9062,-179.925,-748.4438,0.06684528,-0.08242477,0.0503337,insidethebag,standing
10 May 2022 15:19:19:989 +0200,4.039376,-7.3936443,5.1580644,-1049.9062,-179.925,-748.4438,-0.20386481,0.3884217,-0.3688475,insidethebag,standing
10 May 2022 15:19:20:091 +0200,4.039376,-7.3936443,5.1580644,-1050.8063,-178.5,-747.03754,-0.20386481,0.3884217,-0.3688475,insidethebag,standing
10 May 2022 15:19:20:100 +0200,3.8800764,-7.0463,5.6389565,-1050.8063,-178.5,-747.03754,-0.20386481,0.3884217,-0.3688475,insidethebag,standing
10 May 2022 15:19:20:254 +0200,3.8800764,-7.0463,5.6389565,-1050.8063,-178.5,-747.03754,-0.60227334,0.98190665,-0.5279712,insidethebag,standing
10 May 2022 15:19:20:287 +0200,3.8800764,-7.0463,5.6389565,-1048.8,-174.69376,-745.2563,-0.60227334,0.98190665,-0.5279712,insidethebag,standing
10 May 2022 15:19:20:351 +0200,5.6862674,-6.090504,5.526968,-1048.8,-174.69376,-745.2563,-0.60227334,0.98190665,-0.5279712,insidethebag,standing
10 May 2022 15:19:20:435 +0200,5.6862674,-6.090504,5.526968,-1048.8,-174.69376,-745.2563,-0.33649012,0.55620074,-0.19014955,insidethebag,standing
10 May 2022 15:19:20:489 +0200,5.6862674,-6.090504,5.526968,-1047.4126,-174.28125,-744.15,-0.33649012,0.55620074,-0.19014955,insidethebag,standing
10 May 2022 15:19:20:516 +0200,5.0502677,-6.2947187,5.1389003,-1047.4126,-174.28125,-744.15,-0.33649012,0.55620074,-0.19014955,insidethebag,standing
