date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:17:24:888 +0200,-9.082457,-1.6852192,3.651308,158.58751,33.84375,7.8,0.21678112,0.05366265,-0.09347688,insidethebag,standing
10 May 2022 15:17:24:912 +0200,-9.082457,-1.6852192,3.651308,158.49376,33.3375,9.09375,0.21678112,0.05366265,-0.09347688,insidethebag,standing
10 May 2022 15:17:24:976 +0200,-9.082457,-1.6852192,3.651308,158.49376,33.3375,9.09375,0.7663239,0.14367741,-0.429967,insidethebag,standing
10 May 2022 15:17:25:063 +0200,-9.203428,-2.043942,2.7506082,158.49376,33.3375,9.09375,0.7663239,0.14367741,-0.429967,insidethebag,standing
10 May 2022 15:17:25:113 +0200,-9.203428,-2.043942,2.7506082,159.05626,32.643753,11.625,0.7663239,0.14367741,-0.429967,insidethebag,standing
10 May 2022 15:17:25:173 +0200,-9.203428,-2.043942,2.7506082,159.05626,32.643753,11.625,0.12716584,0.1868206,-0.15499584,insidethebag,standing
10 May 2022 15:17:25:259 +0200,-9.021971,-2.2403712,3.0350714,159.05626,32.643753,11.625,0.12716584,0.1868206,-0.15499584,insidethebag,standing
10 May 2022 15:17:25:313 +0200,-9.021971,-2.2403712,3.0350714,159.5625,33.581253,13.275001,0.12716584,0.1868206,-0.15499584,insidethebag,standing
10 May 2022 15:17:25:411 +0200,-9.021971,-2.2403712,3.0350714,159.5625,33.581253,13.275001,0.5005407,0.16564848,-0.305198,insidethebag,standing
10 May 2022 15:17:25:496 +0200,-8.835723,-2.6583824,3.38541,159.5625,33.581253,13.275001,0.5005407,0.16564848,-0.305198,insidethebag,standing
10 May 2022 15:17:25:506 +0200,-8.835723,-2.6583824,3.38541,160.44376,33.112503,15.20625,0.5005407,0.16564848,-0.305198,insidethebag,standing
10 May 2022 15:17:25:584 +0200,-8.835723,-2.6583824,3.38541,160.44376,33.112503,15.20625,0.44408172,0.12104057,-0.22716744,insidethebag,standing
10 May 2022 15:17:25:673 +0200,-8.890819,-3.4956021,2.4242244,160.44376,33.112503,15.20625,0.44408172,0.12104057,-0.22716744,insidethebag,standing
10 May 2022 15:17:25:708 +0200,-8.890819,-3.4956021,2.4242244,161.19376,33.1875,16.0125,0.44408172,0.12104057,-0.22716744,insidethebag,standing
10 May 2022 15:17:25:758 +0200,-8.890819,-3.4956021,2.4242244,161.19376,33.1875,16.0125,-0.28256115,-0.08721845,0.087351605,insidethebag,standing
10 May 2022 15:17:25:865 +0200,-8.983644,-3.004529,2.6889246,161.19376,33.1875,16.0125,-0.28256115,-0.08721845,0.087351605,insidethebag,standing
10 May 2022 15:17:25:904 +0200,-8.983644,-3.004529,2.6889246,160.46251,33.91875,14.512501,-0.28256115,-0.08721845,0.087351605,insidethebag,standing
10 May 2022 15:17:25:957 +0200,-8.983644,-3.004529,2.6889246,160.46251,33.91875,14.512501,-0.7282408,-0.19228007,0.31172273,insidethebag,standing
10 May 2022 15:17:26:103 +0200,-9.109406,-2.3918853,3.0722013,159.65625,35.006252,12.225,-0.7282408,-0.19228007,0.31172273,insidethebag,standing
10 May 2022 15:17:26:189 +0200,-9.109406,-2.3918853,3.0722013,159.65625,35.006252,12.225,-0.79069185,-0.20000322,0.4403533,insidethebag,standing
10 May 2022 15:17:26:283 +0200,-8.898604,-1.763671,3.2117379,159.65625,35.006252,12.225,-0.79069185,-0.20000322,0.4403533,insidethebag,standing
10 May 2022 15:17:26:304 +0200,-8.898604,-1.763671,3.2117379,158.85,35.8875,9.975,-0.79069185,-0.20000322,0.4403533,insidethebag,standing
10 May 2022 15:17:26:362 +0200,-8.898604,-1.763671,3.2117379,158.85,35.8875,9.975,-0.51332384,-0.10120004,0.21238692,insidethebag,standing
10 May 2022 15:17:26:451 +0200,-9.126174,-1.1827675,3.3728337,158.85,35.8875,9.975,-0.51332384,-0.10120004,0.21238692,insidethebag,standing
10 May 2022 15:17:26:499 +0200,-9.126174,-1.1827675,3.3728337,158.32501,37.125,9.01875,-0.51332384,-0.10120004,0.21238692,insidethebag,standing
10 May 2022 15:17:26:558 +0200,-9.126174,-1.1827675,3.3728337,158.32501,37.125,9.01875,0.11917636,0.015579479,-0.08029424,insidethebag,standing
10 May 2022 15:17:26:648 +0200,-9.087248,-1.5289142,3.1572406,158.32501,37.125,9.01875,0.11917636,0.015579479,-0.08029424,insidethebag,standing
10 May 2022 15:17:26:699 +0200,-9.087248,-1.5289142,3.1572406,158.30626,36.600002,9.46875,0.11917636,0.015579479,-0.08029424,insidethebag,standing
10 May 2022 15:17:26:800 +0200,-9.087248,-1.5289142,3.1572406,158.30626,36.600002,9.46875,0.590156,0.07949529,-0.28642273,insidethebag,standing
10 May 2022 15:17:26:889 +0200,-9.05431,-2.2535465,3.0111165,158.30626,36.600002,9.46875,0.590156,0.07949529,-0.28642273,insidethebag,standing
10 May 2022 15:17:26:898 +0200,-9.05431,-2.2535465,3.0111165,158.98126,35.362503,11.15625,0.590156,0.07949529,-0.28642273,insidethebag,standing
10 May 2022 15:17:26:971 +0200,-9.05431,-2.2535465,3.0111165,158.98126,35.362503,11.15625,0.631435,0.13715267,-0.31997854,insidethebag,standing
10 May 2022 15:17:27:059 +0200,-9.059101,-2.7631845,2.742224,158.98126,35.362503,11.15625,0.631435,0.13715267,-0.31997854,insidethebag,standing
10 May 2022 15:17:27:094 +0200,-9.059101,-2.7631845,2.742224,159.4875,34.3875,13.012501,0.631435,0.13715267,-0.31997854,insidethebag,standing
10 May 2022 15:17:27:165 +0200,-9.059101,-2.7631845,2.742224,159.4875,34.3875,13.012501,0.24194798,0.08588687,-0.09574056,insidethebag,standing
10 May 2022 15:17:27:252 +0200,-8.923158,-2.7548003,3.018303,159.4875,34.3875,13.012501,0.24194798,0.08588687,-0.09574056,insidethebag,standing
10 May 2022 15:17:27:295 +0200,-8.923158,-2.7548003,3.018303,159.75,34.068752,13.44375,0.24194798,0.08588687,-0.09574056,insidethebag,standing
10 May 2022 15:17:27:408 +0200,-8.923158,-2.7548003,3.018303,159.75,34.068752,13.44375,-0.044341594,0.00905474,0.038615804,insidethebag,standing
10 May 2022 15:17:27:489 +0200,-9.020773,-2.4104502,3.0973537,159.63751,33.956253,13.2375,-0.044341594,0.00905474,0.038615804,insidethebag,standing
10 May 2022 15:17:27:576 +0200,-9.020773,-2.4104502,3.0973537,159.63751,33.956253,13.2375,-0.101998985,0.013448952,0.0712395,insidethebag,standing
10 May 2022 15:17:27:664 +0200,-9.171688,-2.3960774,2.7392297,159.63751,33.956253,13.2375,-0.101998985,0.013448952,0.0712395,insidethebag,standing
10 May 2022 15:17:27:690 +0200,-9.171688,-2.3960774,2.7392297,159.69376,34.18125,13.312501,-0.101998985,0.013448952,0.0712395,insidethebag,standing
10 May 2022 15:17:27:797 +0200,-9.171688,-2.3960774,2.7392297,160.9125,34.3125,12.8625,-0.101998985,0.013448952,0.0712395,insidethebag,standing
10 May 2022 15:17:27:845 +0200,-9.20223,-2.1750946,2.8075008,160.9125,34.3125,12.8625,-0.101998985,0.013448952,0.0712395,insidethebag,standing
10 May 2022 15:17:27:926 +0200,-9.20223,-2.1750946,2.8075008,160.9125,34.3125,12.8625,-0.14634058,0.096539505,0.06191844,insidethebag,standing
10 May 2022 15:17:27:998 +0200,-9.20223,-2.1750946,2.8075008,159.99376,34.93125,14.175,-0.14634058,0.096539505,0.06191844,insidethebag,standing
10 May 2022 15:17:28:102 +0200,-9.066886,-2.5601678,2.5475914,159.99376,34.93125,14.175,-0.1912148,0.0620516,0.023835272,insidethebag,standing
10 May 2022 15:17:28:192 +0200,-9.066886,-2.5601678,2.5475914,160.33125,36.018753,13.650001,-0.1912148,0.0620516,0.023835272,insidethebag,standing
10 May 2022 15:17:28:282 +0200,-8.866265,-2.5565746,2.2852864,160.33125,36.018753,13.650001,-0.26351956,-0.0661795,0.03235738,insidethebag,standing
10 May 2022 15:17:28:393 +0200,-8.866265,-2.5565746,2.2852864,160.55626,36.0,12.637501,-0.26351956,-0.0661795,0.03235738,insidethebag,standing
10 May 2022 15:17:28:441 +0200,-9.437587,-2.4433882,2.2798967,160.55626,36.0,12.637501,-0.26351956,-0.0661795,0.03235738,insidethebag,standing
10 May 2022 15:17:28:541 +0200,-9.437587,-2.4433882,2.2798967,160.55626,36.0,12.637501,-0.18375796,-0.09534109,0.041678436,insidethebag,standing
10 May 2022 15:17:28:589 +0200,-9.437587,-2.4433882,2.2798967,161.30626,37.40625,11.512501,-0.18375796,-0.09534109,0.041678436,insidethebag,standing
10 May 2022 15:17:28:702 +0200,-8.958491,-1.8307445,2.6745517,161.30626,37.40625,11.512501,0.034621064,-0.02143843,-0.006524739,insidethebag,standing
10 May 2022 15:17:28:792 +0200,-8.958491,-1.8307445,2.6745517,160.83751,35.775,12.58125,0.034621064,-0.02143843,-0.006524739,insidethebag,standing
10 May 2022 15:17:28:880 +0200,-9.269903,-2.1116142,2.6104727,160.83751,35.775,12.58125,0.41412118,0.031957906,-0.15686005,insidethebag,standing
10 May 2022 15:17:28:985 +0200,-9.269903,-2.1116142,2.6104727,162.15001,33.393753,13.012501,0.41412118,0.031957906,-0.15686005,insidethebag,standing
10 May 2022 15:17:29:059 +0200,-9.205225,-2.1523376,2.7320433,162.15001,33.393753,13.012501,0.41412118,0.031957906,-0.15686005,insidethebag,standing
10 May 2022 15:17:29:139 +0200,-9.205225,-2.1523376,2.7320433,162.15001,33.393753,13.012501,0.26578325,0.023568956,-0.034754224,insidethebag,standing
10 May 2022 15:17:29:189 +0200,-9.205225,-2.1523376,2.7320433,161.86876,32.30625,12.543751,0.26578325,0.023568956,-0.034754224,insidethebag,standing
10 May 2022 15:17:29:238 +0200,-9.006999,-1.9319534,3.1865854,161.86876,32.30625,12.543751,0.26578325,0.023568956,-0.034754224,insidethebag,standing
10 May 2022 15:17:29:321 +0200,-9.006999,-1.9319534,3.1865854,161.86876,32.30625,12.543751,0.57497597,0.07323687,-0.09081372,insidethebag,standing
10 May 2022 15:17:29:388 +0200,-9.006999,-1.9319534,3.1865854,161.8125,30.618752,15.543751,0.57497597,0.07323687,-0.09081372,insidethebag,standing
10 May 2022 15:17:29:502 +0200,-9.238163,-2.5889134,2.6404161,161.8125,30.618752,15.543751,0.35273537,0.0997353,-0.065247394,insidethebag,standing
10 May 2022 15:17:29:581 +0200,-9.238163,-2.5889134,2.6404161,162.65625,30.075,17.025002,0.35273537,0.0997353,-0.065247394,insidethebag,standing
