date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:11:08:977 +0200,-8.404124,-4.402046,1.4394068,1.1744752,18.254425,38.629826,0.03212851,0.04550795,-0.10817266,insidethebag,standing
10 May 2022 22:11:08:978 +0200,-8.404124,-4.402046,1.4394068,1.1812501,18.268616,37.90903,0.03212851,0.04550795,-0.10817266,insidethebag,standing
10 May 2022 22:11:09:016 +0200,-7.781419,-3.7434156,1.219065,1.1812501,18.268616,37.90903,0.03212851,0.04550795,-0.10817266,insidethebag,standing
10 May 2022 22:11:09:056 +0200,-7.551497,-3.671565,1.7268091,1.1812501,18.268616,37.90903,0.03212851,0.04550795,-0.10817266,insidethebag,standing
10 May 2022 22:11:09:096 +0200,-7.9394903,-4.140989,1.7866846,1.1812501,18.268616,37.90903,0.03212851,0.04550795,-0.10817266,insidethebag,standing
10 May 2022 22:11:09:137 +0200,-8.617281,-4.8187795,1.5304176,1.1812501,18.268616,37.90903,0.057694856,-0.11321646,-0.123619,insidethebag,standing
10 May 2022 22:11:09:138 +0200,-8.617281,-4.8187795,1.5304176,1.4263276,18.434155,38.349358,0.057694856,-0.11321646,-0.123619,insidethebag,standing
10 May 2022 22:11:09:176 +0200,-8.533455,-5.1397123,1.2022998,1.4263276,18.434155,38.349358,0.057694856,-0.11321646,-0.123619,insidethebag,standing
10 May 2022 22:11:09:216 +0200,-7.6401124,-5.0726514,0.98914313,1.4263276,18.434155,38.349358,0.057694856,-0.11321646,-0.123619,insidethebag,standing
10 May 2022 22:11:09:256 +0200,-7.4652762,-4.854705,1.1687696,1.4263276,18.434155,38.349358,0.057694856,-0.11321646,-0.123619,insidethebag,standing
10 May 2022 22:11:09:297 +0200,-8.406519,-4.380491,1.3196558,1.4521087,20.483341,37.60692,-0.13511802,-0.30975774,-0.038397845,insidethebag,standing
10 May 2022 22:11:09:337 +0200,-9.189691,-3.278782,1.1280543,1.4521087,20.483341,37.60692,-0.13511802,-0.30975774,-0.038397845,insidethebag,standing
10 May 2022 22:11:09:376 +0200,-9.333391,-2.6249416,0.6730005,1.4521087,20.483341,37.60692,-0.13511802,-0.30975774,-0.038397845,insidethebag,standing
10 May 2022 22:11:09:417 +0200,-9.513018,-2.9171338,1.5112574,1.4521087,20.483341,37.60692,-0.13511802,-0.30975774,-0.038397845,insidethebag,standing
10 May 2022 22:11:09:457 +0200,-9.038804,-3.8416114,1.8824854,1.691748,19.639893,37.625587,0.12427388,0.026333185,0.06067175,insidethebag,standing
10 May 2022 22:11:09:497 +0200,-7.8652444,-4.7229786,1.6789087,1.691748,19.639893,37.625587,0.12427388,0.026333185,0.06067175,insidethebag,standing
10 May 2022 22:11:09:537 +0200,-7.32397,-5.029541,1.6166383,1.691748,19.639893,37.625587,0.12427388,0.026333185,0.06067175,insidethebag,standing
