date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:32:35:086 +0200,9.481883,-7.719148,-4.29427,-54.74496,-0.1615305,-36.680737,-0.6772102,1.6419559,0.20618726,insidethebag,walking
10 May 2022 22:32:35:093 +0200,4.864285,-3.6739602,5.000801,-54.16049,-5.542964,-38.328804,-0.6772102,1.6419559,0.20618726,insidethebag,walking
10 May 2022 22:32:35:255 +0200,7.0221977,-4.0667434,4.8427296,-48.773968,-0.15861034,-39.762993,-0.78586715,0.26936257,-0.08516257,insidethebag,walking
10 May 2022 22:32:35:410 +0200,8.993299,-7.053333,7.062913,-48.136753,1.3873224,-40.18758,0.87488014,-0.0033451356,0.7031331,insidethebag,walking
10 May 2022 22:32:35:564 +0200,5.9875493,-6.1719656,0.5125342,-47.492092,2.4500475,-41.904182,1.6365442,0.07228864,0.091671325,insidethebag,walking
10 May 2022 22:32:35:726 +0200,5.621111,-3.3482375,4.1314087,-49.863087,3.1987572,-39.121696,1.2322763,-0.5791206,0.12149873,insidethebag,walking
10 May 2022 22:32:35:889 +0200,5.621111,-3.3482375,4.1314087,-49.863087,3.1987572,-39.121696,0.6399893,-0.6355796,-0.27531227,insidethebag,walking
10 May 2022 22:32:35:896 +0200,5.010381,-7.5299416,6.0593996,-50.78494,-0.7570257,-37.09576,0.6399893,-0.6355796,-0.27531227,insidethebag,walking
10 May 2022 22:32:36:050 +0200,9.496253,-5.7791824,1.9016455,-52.336246,-1.5870428,-30.803452,-0.035920978,-0.017726205,-0.9687994,insidethebag,walking
10 May 2022 22:32:36:206 +0200,9.496253,-5.7791824,1.9016455,-52.336246,-1.5870428,-30.803452,0.24104778,0.16762981,0.30312634,insidethebag,walking
10 May 2022 22:32:36:214 +0200,7.6161623,-4.641548,4.140989,-50.877377,-5.1072917,-31.428473,0.24104778,0.16762981,0.30312634,insidethebag,walking
10 May 2022 22:32:36:359 +0200,5.836663,-3.2117214,5.5468655,-49.6355,-4.078807,-30.814411,-0.8162272,0.1990551,-0.2444196,insidethebag,walking
10 May 2022 22:32:36:514 +0200,5.836663,-3.2117214,5.5468655,-49.6355,-4.078807,-30.814411,-0.26548547,0.5660387,0.009645966,insidethebag,walking
10 May 2022 22:32:36:520 +0200,8.705896,-2.8740237,7.048543,-49.219646,-2.1499271,-33.702957,-0.26548547,0.5660387,0.009645966,insidethebag,walking
10 May 2022 22:32:36:681 +0200,7.194639,-5.7911572,-1.5304176,-45.839855,-0.18162632,-35.754906,-1.6279588,-0.7266597,-0.26519227,insidethebag,walking
10 May 2022 22:32:36:844 +0200,7.685618,-5.6426663,3.271597,-49.07909,1.2127495,-32.148453,-0.19251485,0.0014485549,-0.09208679,insidethebag,walking
10 May 2022 22:32:36:997 +0200,5.822293,-3.779341,5.3121533,-46.202396,-0.6686964,-37.20556,0.22560145,-0.051814668,-0.18955848,insidethebag,walking
10 May 2022 22:32:37:161 +0200,6.361172,-6.167176,6.744375,-46.34493,-1.5415506,-36.048096,0.42746904,0.32528895,-0.012191955,insidethebag,walking
10 May 2022 22:32:37:314 +0200,9.445957,-6.334827,-0.88376224,-44.116272,-3.9940014,-38.529057,-1.2300824,-2.265967,-0.18902585,insidethebag,walking
10 May 2022 22:32:37:473 +0200,6.7539554,-3.8128712,5.8510327,-47.239635,-2.4476757,-33.91047,-0.37414247,0.073886536,0.15185878,insidethebag,walking
10 May 2022 22:32:37:642 +0200,6.4258375,-3.2692018,4.905,-44.008984,-4.19257,-36.93668,-0.0577589,-0.3330445,0.24666733,insidethebag,walking
10 May 2022 22:32:37:796 +0200,6.758745,-4.629573,7.4054008,-45.115055,-2.3671274,-35.99083,0.6841978,0.39506376,0.54973507,insidethebag,walking
10 May 2022 22:32:37:949 +0200,11.096126,-7.3575,-2.1004322,-43.86755,-2.1581764,-36.809338,-1.41171,-1.2118876,-0.22684273,insidethebag,walking
10 May 2022 22:32:38:114 +0200,5.3313136,-1.5495777,4.648733,-48.736935,-1.3356485,-31.530289,1.0991182,1.2291659,-0.031899348,insidethebag,walking
10 May 2022 22:32:38:263 +0200,5.606741,-6.0498195,6.9216065,-47.314953,-9.089799,-32.398537,0.8690212,-0.2803139,0.17156617,insidethebag,walking
10 May 2022 22:32:38:432 +0200,8.286768,-5.0989966,8.978929,-48.1236,-10.904045,-27.075571,0.65703356,0.18201087,-0.12457736,insidethebag,walking
10 May 2022 22:32:38:589 +0200,7.661668,-0.56522465,1.5232325,-48.377018,-10.255723,-25.795004,0.6469135,1.61852,-0.22151642,insidethebag,walking
10 May 2022 22:32:38:735 +0200,6.4833183,-1.8920655,3.542234,-51.23881,-8.343059,-22.323645,0.5068312,-0.5913711,0.6184446,insidethebag,walking
10 May 2022 22:32:38:895 +0200,6.4833183,-1.8920655,3.542234,-51.23881,-8.343059,-22.323645,0.15635926,0.6805546,0.17849039,insidethebag,walking
10 May 2022 22:32:38:897 +0200,7.434141,-2.4764502,7.077283,-50.016346,-6.6901655,-18.977776,0.15635926,0.6805546,0.17849039,insidethebag,walking
10 May 2022 22:32:39:057 +0200,10.868599,-4.366121,5.374424,-50.843906,-3.9640908,-20.481998,-0.40077406,-0.6009585,-0.542161,insidethebag,walking
10 May 2022 22:32:39:216 +0200,6.6174393,-3.1326857,4.6271777,-51.469578,-3.989451,-19.785326,0.5702145,1.6392927,0.344139,insidethebag,walking
10 May 2022 22:32:39:382 +0200,5.357659,-2.4956105,5.8270826,-48.601414,-3.2285194,-21.267319,-0.08385788,0.19958773,-0.040954094,insidethebag,walking
10 May 2022 22:32:39:535 +0200,5.7552323,-3.9350173,7.8915896,-48.202503,-1.8339338,-22.853022,-0.22021173,0.546864,-0.3504134,insidethebag,walking
10 May 2022 22:32:39:700 +0200,12.063714,-5.367239,0.33530274,-47.58475,-2.656489,-23.540674,-1.1443287,-2.6265588,-0.22151642,insidethebag,walking
10 May 2022 22:32:39:855 +0200,12.063714,-5.367239,0.33530274,-47.58475,-2.656489,-23.540674,-0.37254456,0.19479404,0.13481455,insidethebag,walking
10 May 2022 22:32:39:863 +0200,5.7312818,-2.3830445,5.247488,-49.23817,-4.440962,-20.558023,-0.37254456,0.19479404,0.13481455,insidethebag,walking
10 May 2022 22:32:40:020 +0200,6.7707205,-1.9902613,6.2941117,-47.223583,-3.169889,-22.944153,-0.3304666,-0.52212894,0.38888013,insidethebag,walking
10 May 2022 22:32:40:171 +0200,6.7707205,-1.9902613,6.2941117,-47.223583,-3.169889,-22.944153,0.386989,1.5183852,0.04959338,insidethebag,walking
10 May 2022 22:32:40:179 +0200,9.381292,-1.9806812,7.1251836,-49.297245,2.342968,-20.779152,0.386989,1.5183852,0.04959338,insidethebag,walking
10 May 2022 22:32:40:326 +0200,7.814949,-8.272398,-1.3675562,-45.6661,2.162242,-25.392868,-1.2465941,-0.8108156,-0.029768817,insidethebag,walking
10 May 2022 22:32:40:492 +0200,7.173084,-2.5938063,3.5134938,-49.315105,1.141695,-20.04573,0.41468588,0.087734975,0.12735769,insidethebag,walking
10 May 2022 22:32:40:650 +0200,6.6749196,-1.8944606,5.599556,-48.087734,-0.52044487,-20.556082,0.98300445,-0.39696035,0.39527172,insidethebag,walking
10 May 2022 22:32:40:804 +0200,6.8042507,-5.2355127,7.680828,-49.096455,0.75307274,-17.293453,-0.051899947,0.7460684,-0.8649362,insidethebag,walking
10 May 2022 22:32:40:963 +0200,6.8042507,-5.2355127,7.680828,-49.096455,0.75307274,-17.293453,-0.12167476,-0.9727358,-0.010061426,insidethebag,walking
10 May 2022 22:32:40:970 +0200,11.191927,-5.704937,-0.244292,-45.238113,-1.4610205,-21.73172,-0.12167476,-0.9727358,-0.010061426,insidethebag,walking
10 May 2022 22:32:41:127 +0200,6.1073003,0.30416748,8.981323,-48.86861,-2.7753243,-18.68752,-0.690526,0.32901737,-0.17624268,insidethebag,walking
10 May 2022 22:32:41:275 +0200,8.313113,-2.198628,5.4462748,-42.310753,1.0865622,-27.844833,0.08871496,-0.41879827,0.2663747,insidethebag,walking
10 May 2022 22:32:41:444 +0200,9.410032,-6.6653395,-1.7651294,-44.179848,1.8583975,-25.76384,-1.0053116,-2.4614427,-0.37384924,insidethebag,walking
10 May 2022 22:32:41:596 +0200,7.7550735,-2.3303542,3.8128712,-47.31792,1.5449848,-21.41373,0.87061906,-0.5748595,0.24719995,insidethebag,walking
10 May 2022 22:32:41:761 +0200,6.9862723,-4.4499464,5.616321,-46.079227,1.2366714,-21.794352,1.1204236,-0.71813756,0.22802518,insidethebag,walking
10 May 2022 22:32:41:907 +0200,6.9862723,-4.4499464,5.616321,-46.079227,1.2366714,-21.794352,-0.01461569,1.5498105,-1.1387091,insidethebag,walking
10 May 2022 22:32:41:913 +0200,7.201824,-5.4271145,8.737032,-47.11352,-0.3698864,-18.645222,-0.01461569,1.5498105,-1.1387091,insidethebag,walking
10 May 2022 22:32:42:074 +0200,7.201824,-5.4271145,8.737032,-47.11352,-0.3698864,-18.645222,-0.27347496,0.7817548,-0.036160406,insidethebag,walking
10 May 2022 22:32:42:083 +0200,10.696157,-1.83219,-4.0427933,-41.55555,-7.1115823,-23.976355,-0.27347496,0.7817548,-0.036160406,insidethebag,walking
10 May 2022 22:32:42:236 +0200,7.4772515,-0.5125342,4.976851,-43.809994,-6.7083206,-20.752956,-0.035920978,1.604139,0.22110097,insidethebag,walking
10 May 2022 22:32:42:398 +0200,6.485713,-0.67539555,5.709727,-40.534576,-5.366661,-25.54154,0.6096293,0.08720235,0.5593224,insidethebag,walking
10 May 2022 22:32:42:552 +0200,12.674444,-3.9493873,6.6916847,-43.126213,-2.7371383,-23.797653,0.017342243,-0.80335873,-0.6987549,insidethebag,walking
10 May 2022 22:32:42:711 +0200,7.7239385,-2.1219873,2.9722195,-43.060066,-5.3496046,-20.1618,0.49404806,3.5487792,-0.51233363,insidethebag,walking
10 May 2022 22:32:42:859 +0200,7.7239385,-2.1219873,2.9722195,-43.060066,-5.3496046,-20.1618,0.52174497,-0.31759816,0.060246028,insidethebag,walking
10 May 2022 22:32:42:865 +0200,7.3718705,-1.707649,4.5577226,-41.71166,-9.01045,-22.375591,0.52174497,-0.31759816,0.060246028,insidethebag,walking
