date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:20:56:437 +0200,9.557945,-4.680807,5.377541,-34.98,7.68,9.42,0.033006273,-0.0018038851,0.4131361,insidethebag,walking
10 May 2022 15:20:56:474 +0200,6.5746784,-6.284971,-0.50758624,-34.98,7.68,9.42,0.033006273,-0.0018038851,0.4131361,insidethebag,walking
10 May 2022 15:20:56:493 +0200,6.5746784,-6.284971,-0.50758624,-34.98,7.68,9.42,0.7880357,-0.54913914,0.3166194,insidethebag,walking
10 May 2022 15:20:56:637 +0200,6.5746784,-6.284971,-0.50758624,-34.559998,6.8999996,6.3599997,0.7880357,-0.54913914,0.3166194,insidethebag,walking
10 May 2022 15:20:56:655 +0200,5.4948606,-4.7981267,4.0319586,-34.559998,6.8999996,6.3599997,0.7880357,-0.54913914,0.3166194,insidethebag,walking
10 May 2022 15:20:56:675 +0200,5.4948606,-4.7981267,4.0319586,-34.559998,6.8999996,6.3599997,0.14723806,-0.6786426,0.39175582,insidethebag,walking
10 May 2022 15:20:56:838 +0200,5.619363,-5.312896,3.972102,-34.92,8.5199995,6.54,0.14723806,-0.6786426,0.39175582,insidethebag,walking
10 May 2022 15:20:56:844 +0200,7.266624,-5.3464155,4.786155,-34.92,8.5199995,6.54,0.14723806,-0.6786426,0.39175582,insidethebag,walking
10 May 2022 15:20:56:856 +0200,7.266624,-5.3464155,4.786155,-34.92,8.5199995,6.54,-0.26387423,-0.24126306,0.014851967,insidethebag,walking
10 May 2022 15:20:57:014 +0200,8.492493,-6.3735595,5.212336,-34.92,8.5199995,6.54,-0.26387423,-0.24126306,0.014851967,insidethebag,walking
10 May 2022 15:20:57:017 +0200,5.774991,-4.1540666,3.2346652,-34.92,8.5199995,6.54,-0.26387423,-0.24126306,0.014851967,insidethebag,walking
