date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:11:00:193 +0200,-10.815908,-3.6500099,0.038320314,42.645668,-0.13099766,-5.182802,0.3454437,0.09412656,0.0027217483,insidethebag,standing
10 May 2022 22:11:00:234 +0200,-11.115286,-4.1242237,-0.45984375,42.645668,-0.13099766,-5.182802,0.3454437,0.09412656,0.0027217483,insidethebag,standing
10 May 2022 22:11:00:273 +0200,-10.327325,-2.3926246,-0.5508545,42.645668,-0.13099766,-5.182802,0.3454437,0.09412656,0.0027217483,insidethebag,standing
10 May 2022 22:11:00:313 +0200,-10.327325,-2.3926246,-0.5508545,42.645668,-0.13099766,-5.182802,-0.41568777,0.47282806,0.100726075,insidethebag,standing
10 May 2022 22:11:00:318 +0200,-9.354947,-0.55803955,0.07424561,42.908237,5.890481,-0.7691536,-0.41568777,0.47282806,0.100726075,insidethebag,standing
10 May 2022 22:11:00:352 +0200,-9.577683,0.62749517,0.33530274,42.908237,5.890481,-0.7691536,-0.41568777,0.47282806,0.100726075,insidethebag,standing
10 May 2022 22:11:00:393 +0200,-9.881851,1.1879297,-0.019160157,42.908237,5.890481,-0.7691536,-0.41568777,0.47282806,0.100726075,insidethebag,standing
10 May 2022 22:11:00:433 +0200,-10.162068,0.6179151,-0.5460645,42.908237,5.890481,-0.7691536,-0.41568777,0.47282806,0.100726075,insidethebag,standing
10 May 2022 22:11:00:470 +0200,-10.162068,0.6179151,-0.5460645,42.908237,5.890481,-0.7691536,-0.14564322,0.2698952,0.24666733,insidethebag,standing
10 May 2022 22:11:00:473 +0200,-9.75731,-0.55803955,-0.7664063,41.65306,5.9979906,1.1990166,-0.14564322,0.2698952,0.24666733,insidethebag,standing
10 May 2022 22:11:00:512 +0200,-9.319021,-0.9484278,-0.8214917,41.65306,5.9979906,1.1990166,-0.14564322,0.2698952,0.24666733,insidethebag,standing
10 May 2022 22:11:00:550 +0200,-9.302257,-0.5843848,-0.8669971,41.65306,5.9979906,1.1990166,-0.14564322,0.2698952,0.24666733,insidethebag,standing
10 May 2022 22:11:00:589 +0200,-9.644744,-0.033530276,-0.9412427,41.65306,5.9979906,1.1990166,-0.14564322,0.2698952,0.24666733,insidethebag,standing
10 May 2022 22:11:00:630 +0200,-9.644744,-0.033530276,-0.9412427,41.65306,5.9979906,1.1990166,-0.27507287,0.13247608,0.18434934,insidethebag,standing
10 May 2022 22:11:00:634 +0200,-9.932146,0.22513184,-1.099314,41.49493,4.5936823,3.5151653,-0.27507287,0.13247608,0.18434934,insidethebag,standing
10 May 2022 22:11:00:670 +0200,-9.592053,0.15088624,-0.9651929,41.49493,4.5936823,3.5151653,-0.27507287,0.13247608,0.18434934,insidethebag,standing
10 May 2022 22:11:00:709 +0200,-9.570498,0.12693603,-1.0777588,41.49493,4.5936823,3.5151653,-0.27507287,0.13247608,0.18434934,insidethebag,standing
10 May 2022 22:11:00:750 +0200,-9.592053,0.23231691,-1.2789404,41.49493,4.5936823,3.5151653,-0.27507287,0.13247608,0.18434934,insidethebag,standing
10 May 2022 22:11:00:789 +0200,-9.592053,0.23231691,-1.2789404,41.49493,4.5936823,3.5151653,-0.41675302,0.06536442,0.13161875,insidethebag,standing
10 May 2022 22:11:00:793 +0200,-9.855506,0.55803955,-1.0394385,41.111378,3.5638056,3.7998295,-0.41675302,0.06536442,0.13161875,insidethebag,standing
10 May 2022 22:11:00:828 +0200,-10.2315235,1.0633887,-0.5628296,41.111378,3.5638056,3.7998295,-0.41675302,0.06536442,0.13161875,insidethebag,standing
10 May 2022 22:11:00:869 +0200,-10.159674,1.5615528,-0.51732427,41.111378,3.5638056,3.7998295,-0.41675302,0.06536442,0.13161875,insidethebag,standing
10 May 2022 22:11:00:908 +0200,-9.599238,1.7914747,-0.7592212,41.111378,3.5638056,3.7998295,-0.41675302,0.06536442,0.13161875,insidethebag,standing
10 May 2022 22:11:00:948 +0200,-9.271121,1.5208374,-0.68976563,41.329056,-0.48469353,2.987814,-0.089184195,0.21077302,0.20725253,insidethebag,standing
10 May 2022 22:11:00:987 +0200,-9.448353,1.2406201,-1.1232642,41.329056,-0.48469353,2.987814,-0.089184195,0.21077302,0.20725253,insidethebag,standing
10 May 2022 22:11:01:027 +0200,-9.582474,1.0825489,-1.223855,41.329056,-0.48469353,2.987814,-0.089184195,0.21077302,0.20725253,insidethebag,standing
10 May 2022 22:11:01:066 +0200,-9.457932,0.90052736,-0.98914313,41.329056,-0.48469353,2.987814,-0.089184195,0.21077302,0.20725253,insidethebag,standing
10 May 2022 22:11:01:105 +0200,-9.457932,0.90052736,-0.98914313,41.329056,-0.48469353,2.987814,0.029060151,0.041928604,0.060246028,insidethebag,standing
10 May 2022 22:11:01:108 +0200,-9.501043,0.9029224,-0.88376224,41.311195,-1.6859665,3.7212334,0.029060151,0.041928604,0.060246028,insidethebag,standing
10 May 2022 22:11:01:146 +0200,-9.711804,1.0753639,-1.0681788,41.311195,-1.6859665,3.7212334,0.029060151,0.041928604,0.060246028,insidethebag,standing
10 May 2022 22:11:01:184 +0200,-9.726174,1.2525953,-1.2765454,41.311195,-1.6859665,3.7212334,0.029060151,0.041928604,0.060246028,insidethebag,standing
10 May 2022 22:11:01:224 +0200,-9.596844,1.101709,-1.2741505,41.311195,-1.6859665,3.7212334,0.029060151,0.041928604,0.060246028,insidethebag,standing
10 May 2022 22:11:01:265 +0200,-9.453142,1.0825489,-1.0394385,41.310753,-1.0218248,4.4348145,0.034386475,-1.4934316E-4,-0.005800368,insidethebag,standing
10 May 2022 22:11:01:304 +0200,-9.74294,1.1783496,-1.1208692,41.310753,-1.0218248,4.4348145,0.034386475,-1.4934316E-4,-0.005800368,insidethebag,standing
10 May 2022 22:11:01:344 +0200,-9.845925,0.9963282,-1.0466236,41.310753,-1.0218248,4.4348145,0.034386475,-1.4934316E-4,-0.005800368,insidethebag,standing
10 May 2022 22:11:01:384 +0200,-9.704619,0.9627979,-1.2454102,41.310753,-1.0218248,4.4348145,0.034386475,-1.4934316E-4,-0.005800368,insidethebag,standing
10 May 2022 22:11:01:424 +0200,-9.666299,0.9388477,-1.3915064,41.42932,-1.8618298,4.1603355,0.031190682,0.0019811857,-0.037758302,insidethebag,standing
10 May 2022 22:11:01:465 +0200,-9.793235,0.94603276,-1.1448194,41.42932,-1.8618298,4.1603355,0.031190682,0.0019811857,-0.037758302,insidethebag,standing
10 May 2022 22:11:01:502 +0200,-9.817185,1.0226734,-1.0178833,41.42932,-1.8618298,4.1603355,0.031190682,0.0019811857,-0.037758302,insidethebag,standing
10 May 2022 22:11:01:542 +0200,-9.704619,1.0681788,-0.98195803,41.42932,-1.8618298,4.1603355,0.031190682,0.0019811857,-0.037758302,insidethebag,standing
10 May 2022 22:11:01:581 +0200,-9.704619,1.0681788,-0.98195803,41.42932,-1.8618298,4.1603355,-0.020474644,-0.027846219,-0.0856952,insidethebag,standing
10 May 2022 22:11:01:583 +0200,-9.273516,1.096919,-1.0298585,41.060257,-1.1987123,4.571125,-0.020474644,-0.027846219,-0.0856952,insidethebag,standing
10 May 2022 22:11:01:621 +0200,-9.074729,1.1711646,-0.86939216,41.060257,-1.1987123,4.571125,-0.020474644,-0.027846219,-0.0856952,insidethebag,standing
10 May 2022 22:11:01:662 +0200,-9.129815,1.2478052,-0.8167017,41.060257,-1.1987123,4.571125,-0.020474644,-0.027846219,-0.0856952,insidethebag,standing
