date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:04:05:526 +0200,-3.100586,-13.755109,1.7166951,13.92,25.56,22.859999,0.010278419,0.78831184,0.13595723,insidethepantpocket,walking
10 May 2022 15:04:05:543 +0200,-0.28731298,-8.291373,-0.3423813,13.92,25.56,22.859999,0.010278419,0.78831184,0.13595723,insidethepantpocket,walking
10 May 2022 15:04:05:581 +0200,-0.28731298,-8.291373,-0.3423813,13.92,25.56,22.859999,0.4097843,-1.8652867,-0.014926492,insidethepantpocket,walking
10 May 2022 15:04:05:725 +0200,-4.149278,-8.521224,-2.0351336,12.0,24.779999,27.42,0.4097843,-1.8652867,-0.014926492,insidethepantpocket,walking
10 May 2022 15:04:05:761 +0200,-4.149278,-8.521224,-2.0351336,12.0,24.779999,27.42,0.88931346,-1.5848997,0.038218785,insidethepantpocket,walking
10 May 2022 15:04:05:905 +0200,-5.025583,-10.45101,-1.4940275,12.0,24.779999,27.42,0.88931346,-1.5848997,0.038218785,insidethepantpocket,walking
10 May 2022 15:04:05:911 +0200,-5.95935,-9.98652,-1.9728824,12.0,24.779999,27.42,0.88931346,-1.5848997,0.038218785,insidethepantpocket,walking
10 May 2022 15:04:05:923 +0200,-5.95935,-9.98652,-1.9728824,13.74,25.26,26.16,0.88931346,-1.5848997,0.038218785,insidethepantpocket,walking
10 May 2022 15:04:05:941 +0200,-5.95935,-9.98652,-1.9728824,13.74,25.26,26.16,0.08113879,-0.6679909,-0.37655872,insidethepantpocket,walking
10 May 2022 15:04:06:084 +0200,-6.342434,-12.4909315,-1.3934679,13.74,25.26,26.16,0.08113879,-0.6679909,-0.37655872,insidethepantpocket,walking
10 May 2022 15:04:06:089 +0200,-0.9313729,-13.656943,-0.7302538,13.74,25.26,26.16,0.08113879,-0.6679909,-0.37655872,insidethepantpocket,walking
10 May 2022 15:04:06:122 +0200,-0.9313729,-13.656943,-0.7302538,17.22,27.84,20.16,-1.6213427,2.1535957,-0.09556071,insidethepantpocket,walking
10 May 2022 15:04:06:263 +0200,0.4932206,-6.4860907,-0.34716985,17.22,27.84,20.16,-1.6213427,2.1535957,-0.09556071,insidethepantpocket,walking
10 May 2022 15:04:06:301 +0200,0.4932206,-6.4860907,-0.34716985,17.22,27.84,20.16,-1.0837812,2.5573776,0.12373992,insidethepantpocket,walking
10 May 2022 15:04:06:324 +0200,0.4932206,-6.4860907,-0.34716985,18.24,28.56,19.14,-1.0837812,2.5573776,0.12373992,insidethepantpocket,walking
10 May 2022 15:04:06:442 +0200,-2.2266755,-12.390372,-6.9457912,18.24,28.56,19.14,-1.0837812,2.5573776,0.12373992,insidethepantpocket,walking
10 May 2022 15:04:06:479 +0200,-2.2266755,-12.390372,-6.9457912,18.24,28.56,19.14,0.9656717,-1.2867974,0.61548644,insidethepantpocket,walking
10 May 2022 15:04:06:522 +0200,-2.2266755,-12.390372,-6.9457912,15.599999,27.48,21.0,0.9656717,-1.2867974,0.61548644,insidethepantpocket,walking
10 May 2022 15:04:06:621 +0200,0.3902668,-8.178843,-5.087834,15.599999,27.48,21.0,0.9656717,-1.2867974,0.61548644,insidethepantpocket,walking
10 May 2022 15:04:06:659 +0200,0.3902668,-8.178843,-5.087834,15.599999,27.48,21.0,0.4116169,-0.30819127,-0.1694754,insidethepantpocket,walking
10 May 2022 15:04:06:723 +0200,0.3902668,-8.178843,-5.087834,13.0199995,27.06,23.58,0.4116169,-0.30819127,-0.1694754,insidethepantpocket,walking
10 May 2022 15:04:06:803 +0200,-4.7957325,-7.649708,-0.9194015,13.0199995,27.06,23.58,0.4116169,-0.30819127,-0.1694754,insidethepantpocket,walking
10 May 2022 15:04:06:841 +0200,-4.7957325,-7.649708,-0.9194015,13.0199995,27.06,23.58,1.0053779,-1.6508731,0.10358137,insidethepantpocket,walking
10 May 2022 15:04:06:928 +0200,-4.7957325,-7.649708,-0.9194015,12.3,26.699999,27.18,1.0053779,-1.6508731,0.10358137,insidethepantpocket,walking
10 May 2022 15:04:06:983 +0200,-3.4190245,-8.475733,-0.81644773,12.3,26.699999,27.18,1.0053779,-1.6508731,0.10358137,insidethepantpocket,walking
10 May 2022 15:04:07:024 +0200,-3.4190245,-8.475733,-0.81644773,12.3,26.699999,27.18,0.31571102,-0.63561505,-0.17436232,insidethepantpocket,walking
10 May 2022 15:04:07:123 +0200,-3.4190245,-8.475733,-0.81644773,14.28,28.199999,24.9,0.31571102,-0.63561505,-0.17436232,insidethepantpocket,walking
10 May 2022 15:04:07:164 +0200,-4.1851926,-10.884374,-0.94095,14.28,28.199999,24.9,0.31571102,-0.63561505,-0.17436232,insidethepantpocket,walking
10 May 2022 15:04:07:202 +0200,-4.1851926,-10.884374,-0.94095,14.28,28.199999,24.9,0.29127643,-0.5739177,-0.407102,insidethepantpocket,walking
10 May 2022 15:04:07:325 +0200,-4.1851926,-10.884374,-0.94095,18.119999,31.08,20.039999,0.29127643,-0.5739177,-0.407102,insidethepantpocket,walking
10 May 2022 15:04:07:345 +0200,0.41181526,-8.169266,0.5554718,18.119999,31.08,20.039999,0.29127643,-0.5739177,-0.407102,insidethepantpocket,walking
10 May 2022 15:04:07:350 +0200,0.36392978,-8.351231,-0.8571504,18.119999,31.08,20.039999,0.29127643,-0.5739177,-0.407102,insidethepantpocket,walking
10 May 2022 15:04:07:382 +0200,0.36392978,-8.351231,-0.8571504,18.119999,31.08,20.039999,-0.65861905,0.9556889,0.02233629,insidethepantpocket,walking
10 May 2022 15:04:07:527 +0200,0.36392978,-8.351231,-0.8571504,19.619999,32.46,17.4,-0.65861905,0.9556889,0.02233629,insidethepantpocket,walking
10 May 2022 15:04:07:538 +0200,-1.8603516,-8.327288,-1.3048798,19.619999,32.46,17.4,-0.65861905,0.9556889,0.02233629,insidethepantpocket,walking
10 May 2022 15:04:07:562 +0200,-1.8603516,-8.327288,-1.3048798,19.619999,32.46,17.4,-0.87425447,1.6612383,0.3766381,insidethepantpocket,walking
10 May 2022 15:04:07:707 +0200,-0.7134939,-8.3129225,-2.5020173,19.619999,32.46,17.4,-0.87425447,1.6612383,0.3766381,insidethepantpocket,walking
10 May 2022 15:04:07:713 +0200,-0.7709565,-7.755056,-2.5858169,19.619999,32.46,17.4,-0.87425447,1.6612383,0.3766381,insidethepantpocket,walking
10 May 2022 15:04:07:728 +0200,-0.7709565,-7.755056,-2.5858169,17.88,31.32,19.859999,-0.87425447,1.6612383,0.3766381,insidethepantpocket,walking
10 May 2022 15:04:07:741 +0200,-0.7709565,-7.755056,-2.5858169,17.88,31.32,19.859999,0.11168205,0.45172507,0.32715806,insidethepantpocket,walking
10 May 2022 15:04:07:886 +0200,-1.2617828,-8.2578535,-2.9665065,17.88,31.32,19.859999,0.11168205,0.45172507,0.32715806,insidethepantpocket,walking
10 May 2022 15:04:07:891 +0200,-1.5395187,-8.827691,-4.6760187,17.88,31.32,19.859999,0.11168205,0.45172507,0.32715806,insidethepantpocket,walking
10 May 2022 15:04:07:923 +0200,-1.5395187,-8.827691,-4.6760187,15.36,29.46,24.359999,0.11168205,0.45172507,0.32715806,insidethepantpocket,walking
10 May 2022 15:04:07:927 +0200,-1.5395187,-8.827691,-4.6760187,15.36,29.46,24.359999,0.21736173,-0.37294298,0.4474985,insidethepantpocket,walking
10 May 2022 15:04:08:065 +0200,-4.4246197,-10.336084,-0.10055954,15.36,29.46,24.359999,0.21736173,-0.37294298,0.4474985,insidethepantpocket,walking
10 May 2022 15:04:08:102 +0200,-4.4246197,-10.336084,-0.10055954,15.36,29.46,24.359999,0.34747604,-1.542139,-0.2733225,insidethepantpocket,walking
10 May 2022 15:04:08:125 +0200,-4.4246197,-10.336084,-0.10055954,13.86,27.06,28.619999,0.34747604,-1.542139,-0.2733225,insidethepantpocket,walking
10 May 2022 15:04:08:244 +0200,-3.624932,-8.93304,0.36871833,13.86,27.06,28.619999,0.34747604,-1.542139,-0.2733225,insidethepantpocket,walking
10 May 2022 15:04:08:247 +0200,-3.3256476,-8.190814,-0.083799616,13.86,27.06,28.619999,0.34747604,-1.542139,-0.2733225,insidethepantpocket,walking
10 May 2022 15:04:08:282 +0200,-3.3256476,-8.190814,-0.083799616,13.86,27.06,28.619999,0.09396695,-0.6985342,0.10052704,insidethepantpocket,walking
10 May 2022 15:04:08:326 +0200,-3.3256476,-8.190814,-0.083799616,14.5199995,25.98,30.359999,0.09396695,-0.6985342,0.10052704,insidethepantpocket,walking
10 May 2022 15:04:08:426 +0200,-3.0622776,-8.078283,0.22027329,14.5199995,25.98,30.359999,0.09396695,-0.6985342,0.10052704,insidethepantpocket,walking
10 May 2022 15:04:08:431 +0200,-3.5507095,-8.988108,-1.6544439,14.5199995,25.98,30.359999,0.09396695,-0.6985342,0.10052704,insidethepantpocket,walking
10 May 2022 15:04:08:461 +0200,-3.5507095,-8.988108,-1.6544439,14.5199995,25.98,30.359999,0.43971667,-0.50855505,-0.15053858,insidethepantpocket,walking
10 May 2022 15:04:08:523 +0200,-3.5507095,-8.988108,-1.6544439,17.4,26.88,27.539999,0.43971667,-0.50855505,-0.15053858,insidethepantpocket,walking
10 May 2022 15:04:08:603 +0200,-3.8475995,-9.134158,-1.1468576,17.4,26.88,27.539999,0.43971667,-0.50855505,-0.15053858,insidethepantpocket,walking
10 May 2022 15:04:08:604 +0200,-4.381523,-9.265843,-0.67757976,17.4,26.88,27.539999,0.43971667,-0.50855505,-0.15053858,insidethepantpocket,walking
10 May 2022 15:04:08:641 +0200,-4.381523,-9.265843,-0.67757976,17.4,26.88,27.539999,-0.07768618,-0.21106373,-0.010650435,insidethepantpocket,walking
10 May 2022 15:04:08:723 +0200,-4.381523,-9.265843,-0.67757976,20.88,28.5,23.88,-0.07768618,-0.21106373,-0.010650435,insidethepantpocket,walking
10 May 2022 15:04:08:783 +0200,-0.05985687,-8.195602,0.3232271,20.88,28.5,23.88,-0.07768618,-0.21106373,-0.010650435,insidethepantpocket,walking
10 May 2022 15:04:08:821 +0200,-0.05985687,-8.195602,0.3232271,20.88,28.5,23.88,-0.85226333,0.74921644,-0.24461183,insidethepantpocket,walking
10 May 2022 15:04:08:924 +0200,-0.05985687,-8.195602,0.3232271,23.4,30.179998,21.9,-0.85226333,0.74921644,-0.24461183,insidethepantpocket,walking
10 May 2022 15:04:08:963 +0200,-1.1540405,-7.8292785,-1.9106313,23.4,30.179998,21.9,-0.85226333,0.74921644,-0.24461183,insidethepantpocket,walking
10 May 2022 15:04:09:001 +0200,-1.1540405,-7.8292785,-1.9106313,23.4,30.179998,21.9,-0.97504723,1.5922104,0.0021777346,insidethepantpocket,walking
10 May 2022 15:04:09:126 +0200,-1.1540405,-7.8292785,-1.9106313,21.96,29.46,24.84,-0.97504723,1.5922104,0.0021777346,insidethepantpocket,walking
10 May 2022 15:04:09:142 +0200,-1.4509305,-8.152506,-2.5403256,21.96,29.46,24.84,-0.97504723,1.5922104,0.0021777346,insidethepantpocket,walking
10 May 2022 15:04:09:144 +0200,-1.1779832,-7.7766047,-2.8827069,21.96,29.46,24.84,-0.97504723,1.5922104,0.0021777346,insidethepantpocket,walking
10 May 2022 15:04:09:182 +0200,-1.1779832,-7.7766047,-2.8827069,21.96,29.46,24.84,0.34014565,0.0021282544,0.071205504,insidethepantpocket,walking
10 May 2022 15:04:09:330 +0200,-1.333611,-7.7095647,-3.4142358,18.6,27.42,29.82,0.34014565,0.0021282544,0.071205504,insidethepantpocket,walking
10 May 2022 15:04:09:335 +0200,-0.20111908,-8.152506,-6.186806,18.6,27.42,29.82,0.34014565,0.0021282544,0.071205504,insidethepantpocket,walking
10 May 2022 15:04:09:365 +0200,-0.20111908,-8.152506,-6.186806,18.6,27.42,29.82,-0.10273165,-0.45479894,0.16344616,insidethepantpocket,walking
10 May 2022 15:04:09:505 +0200,-0.5123748,-7.884347,-0.6105401,18.6,27.42,29.82,-0.10273165,-0.45479894,0.16344616,insidethepantpocket,walking
10 May 2022 15:04:09:524 +0200,-0.5123748,-7.884347,-0.6105401,16.26,25.08,35.399998,-0.10273165,-0.45479894,0.16344616,insidethepantpocket,walking
10 May 2022 15:04:09:543 +0200,-0.5123748,-7.884347,-0.6105401,16.26,25.08,35.399998,0.50202495,-0.61973256,0.051046956,insidethepantpocket,walking
10 May 2022 15:04:09:686 +0200,-0.5219519,-5.4948606,2.918621,16.26,25.08,35.399998,0.50202495,-0.61973256,0.051046956,insidethepantpocket,walking
10 May 2022 15:04:09:690 +0200,-1.3407938,-10.230737,-1.9633054,16.26,25.08,35.399998,0.50202495,-0.61973256,0.051046956,insidethepantpocket,walking
10 May 2022 15:04:09:726 +0200,-1.3407938,-10.230737,-1.9633054,15.599999,22.5,40.02,0.82334006,-1.1786743,0.09686185,insidethepantpocket,walking
10 May 2022 15:04:09:864 +0200,-2.588211,-9.644139,-0.019154198,15.599999,22.5,40.02,0.82334006,-1.1786743,0.09686185,insidethepantpocket,walking
10 May 2022 15:04:09:868 +0200,-3.5004299,-8.679246,-1.4078336,15.599999,22.5,40.02,0.82334006,-1.1786743,0.09686185,insidethepantpocket,walking
10 May 2022 15:04:09:902 +0200,-3.5004299,-8.679246,-1.4078336,15.599999,22.5,40.02,0.30410463,-0.9795322,-0.07967821,insidethepantpocket,walking
10 May 2022 15:04:09:925 +0200,-3.5004299,-8.679246,-1.4078336,20.1,22.32,38.46,0.30410463,-0.9795322,-0.07967821,insidethepantpocket,walking
10 May 2022 15:04:10:046 +0200,-3.5411325,-8.837268,-1.489239,20.1,22.32,38.46,0.30410463,-0.9795322,-0.07967821,insidethepantpocket,walking
