date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:42:46:995 +0200,-0.76137936,2.2745612,9.584282,-221.87999,-100.14,-257.4,0.002320677,7.7396625E-4,0.0015259414,insidethepantpocket,sitting
10 May 2022 14:42:47:035 +0200,-0.7302538,2.2242813,9.581888,-221.87999,-100.14,-257.4,0.002320677,7.7396625E-4,0.0015259414,insidethepantpocket,sitting
10 May 2022 14:42:47:038 +0200,-0.7039168,2.3751206,9.526819,-221.87999,-100.14,-257.4,0.002320677,7.7396625E-4,0.0015259414,insidethepantpocket,sitting
10 May 2022 14:42:47:054 +0200,-0.7039168,2.3751206,9.526819,-221.87999,-100.14,-257.4,-1.2278391E-4,-0.002891225,0.0064128633,insidethepantpocket,sitting
10 May 2022 14:42:47:198 +0200,-0.7039168,2.3751206,9.526819,-222.12,-100.32,-257.52,-1.2278391E-4,-0.002891225,0.0064128633,insidethepantpocket,sitting
10 May 2022 14:42:47:217 +0200,-0.8571504,2.1740015,9.5244255,-222.12,-100.32,-257.52,-1.2278391E-4,-0.002891225,0.0064128633,insidethepantpocket,sitting
10 May 2022 14:42:47:235 +0200,-0.8571504,2.1740015,9.5244255,-222.12,-100.32,-257.52,-0.01600528,-0.007167282,9.150761E-4,insidethepantpocket,sitting
10 May 2022 14:42:47:399 +0200,-0.8571504,2.1740015,9.5244255,-221.81999,-100.38,-258.06,-0.01600528,-0.007167282,9.150761E-4,insidethepantpocket,sitting
10 May 2022 14:42:47:404 +0200,-0.5985687,2.3392065,9.574705,-221.81999,-100.38,-258.06,-0.01600528,-0.007167282,9.150761E-4,insidethepantpocket,sitting
10 May 2022 14:42:47:416 +0200,-0.5985687,2.3392065,9.574705,-221.81999,-100.38,-258.06,0.002320677,-0.011443338,0.003358537,insidethepantpocket,sitting
10 May 2022 14:42:47:577 +0200,-0.6105401,2.3559663,9.500483,-221.81999,-100.38,-258.06,0.002320677,-0.011443338,0.003358537,insidethepantpocket,sitting
