date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:34:45:339 +0200,5.6282964,-5.716912,0.009580079,-28.811813,39.510296,-3.2279491,1.1710236,0.55325556,0.97104716,insidethepantpocket,walking
10 May 2022 22:34:45:344 +0200,5.6282964,-5.716912,0.009580079,-26.867226,42.554432,-9.673392,1.5028535,5.2990084,-1.0124753,insidethepantpocket,walking
10 May 2022 22:34:45:504 +0200,4.0835085,-8.581355,1.1543995,-23.584877,40.0865,-19.033577,0.48179755,1.0597888,0.33295372,insidethepantpocket,walking
10 May 2022 22:34:45:664 +0200,4.5816727,-9.74294,-0.62510014,-21.947063,40.341885,-21.855837,0.032255948,0.3710953,0.59128034,insidethepantpocket,walking
10 May 2022 22:34:45:815 +0200,5.350474,-10.92608,-0.64186525,-21.947063,40.341885,-21.855837,0.032255948,0.3710953,0.59128034,insidethepantpocket,walking
10 May 2022 22:34:45:821 +0200,5.350474,-10.92608,-0.64186525,-16.849709,42.974384,-21.540915,-1.9555275,-2.9882162,-0.9256562,insidethepantpocket,walking
10 May 2022 22:34:45:980 +0200,1.3196558,-8.890313,-2.1674929,-24.410416,40.730858,-9.412894,-0.5349974,-3.5341642,-0.03562777,insidethepantpocket,walking
10 May 2022 22:34:46:145 +0200,-0.11256592,-4.998406,-2.2201831,-26.111668,41.506454,1.3254814,0.32520366,0.0030464511,-0.27691016,insidethepantpocket,walking
10 May 2022 22:34:46:301 +0200,4.9576907,-10.602752,-8.583751,-29.86304,38.367073,2.222313,0.20269826,0.53248286,-0.5863695,insidethepantpocket,walking
10 May 2022 22:34:46:452 +0200,0.23710695,-13.618082,-1.0250684,-29.86304,38.367073,2.222313,0.20269826,0.53248286,-0.5863695,insidethepantpocket,walking
10 May 2022 22:34:46:458 +0200,0.23710695,-13.618082,-1.0250684,-32.08046,38.182823,0.839838,0.11960764,-1.4877911,0.7526679,insidethepantpocket,walking
10 May 2022 22:34:46:617 +0200,6.119275,-9.0891,-0.18920656,-26.052048,41.631332,-5.0175133,1.3222911,5.156263,-1.0454985,insidethepantpocket,walking
10 May 2022 22:34:46:768 +0200,4.2990603,-7.903565,1.2166699,-23.342525,39.248726,-19.30323,0.42107746,1.0347551,0.078888156,insidethepantpocket,walking
10 May 2022 22:34:46:938 +0200,4.646338,-10.063872,-0.7113208,-22.685444,40.50374,-22.174908,-0.025268335,0.44619647,0.55346346,insidethepantpocket,walking
10 May 2022 22:34:47:091 +0200,4.9864306,-10.585987,-1.8705103,-19.186646,40.967896,-25.214916,-2.1488729,-2.6585166,-0.6103379,insidethepantpocket,walking
10 May 2022 22:34:47:252 +0200,2.323169,-9.759705,-2.5123756,-19.186646,40.967896,-25.214916,-2.1488729,-2.6585166,-0.6103379,insidethepantpocket,walking
10 May 2022 22:34:47:260 +0200,2.323169,-9.759705,-2.5123756,-25.730179,42.622784,-12.080669,-0.6766776,-2.8827548,0.06823551,insidethepantpocket,walking
10 May 2022 22:34:47:407 +0200,0.014370117,-5.4534597,-2.323169,-25.730179,42.622784,-12.080669,-0.6766776,-2.8827548,0.06823551,insidethepantpocket,walking
10 May 2022 22:34:47:414 +0200,0.014370117,-5.4534597,-2.323169,-27.354004,40.144478,0.42670822,0.14251082,0.14738978,-0.20340692,insidethepantpocket,walking
10 May 2022 22:34:47:571 +0200,5.2810183,-9.946517,-7.9873905,-30.224895,38.380238,1.1987267,0.41362062,0.69919676,-0.23962592,insidethepantpocket,walking
10 May 2022 22:34:47:724 +0200,0.48379397,-11.977493,1.3843213,-30.061134,38.965015,-2.5499916,0.112683415,-0.56527215,0.7052637,insidethepantpocket,walking
10 May 2022 22:34:47:878 +0200,5.53489,-9.635164,-3.3314724,-30.061134,38.965015,-2.5499916,0.112683415,-0.56527215,0.7052637,insidethepantpocket,walking
10 May 2022 22:34:47:883 +0200,5.53489,-9.635164,-3.3314724,-25.535938,41.18544,-7.731823,1.5023209,6.239637,-0.6039463,insidethepantpocket,walking
10 May 2022 22:34:48:039 +0200,3.9398074,-7.6257424,1.0849439,-21.202995,42.35339,-19.974466,0.701242,0.7071862,0.22110097,insidethepantpocket,walking
10 May 2022 22:34:48:206 +0200,5.5324955,-9.735755,-1.8154249,-20.35196,39.01142,-21.634527,-0.4061004,0.44459856,0.4197728,insidethepantpocket,walking
10 May 2022 22:34:48:365 +0200,4.0044727,-11.414663,0.6849756,-17.212708,42.153824,-23.27628,-1.7089188,-1.6598313,-0.8612077,insidethepantpocket,walking
10 May 2022 22:34:48:524 +0200,-0.2945874,-7.568262,-2.6345215,-23.753086,43.15025,-11.14393,-0.6633617,-1.1985718,0.46185073,insidethepantpocket,walking
10 May 2022 22:34:48:680 +0200,1.1927198,-5.8031325,-2.7470875,-21.618095,43.328114,-0.8254051,0.6165535,0.6746957,0.18381672,insidethepantpocket,walking
10 May 2022 22:34:48:829 +0200,3.2404616,-10.375225,-7.9538603,-21.618095,43.328114,-0.8254051,0.6165535,0.6746957,0.18381672,insidethepantpocket,walking
10 May 2022 22:34:48:834 +0200,3.2404616,-10.375225,-7.9538603,-23.596119,41.13604,-3.3298569,0.0034938063,1.0304941,-0.3008786,insidethepantpocket,walking
10 May 2022 22:34:48:999 +0200,0.88376224,-9.256751,1.9160157,-25.361301,43.78819,-10.637231,-0.22127698,-0.32718554,0.6765015,insidethepantpocket,walking
10 May 2022 22:34:49:160 +0200,4.2990603,-8.710687,-3.4703834,-21.122765,44.093323,-13.502329,-0.58240163,2.9943092,-0.20500481,insidethepantpocket,walking
10 May 2022 22:34:49:308 +0200,3.8152664,-7.6496925,-0.2203418,-15.601742,43.516827,-22.074713,-0.30490026,1.2078606,0.21044832,insidethepantpocket,walking
10 May 2022 22:34:49:463 +0200,4.351751,-8.811277,-0.60354495,-15.601742,43.516827,-22.074713,-0.30490026,1.2078606,0.21044832,insidethepantpocket,walking
10 May 2022 22:34:49:468 +0200,4.351751,-8.811277,-0.60354495,-11.018074,43.441246,-22.471027,-0.07906419,1.0928121,0.31804004,insidethepantpocket,walking
10 May 2022 22:34:49:634 +0200,5.264253,-12.808565,-3.5134938,-3.4363155,46.635685,-22.497494,-1.9747024,-1.4174837,-0.48144093,insidethepantpocket,walking
10 May 2022 22:34:49:794 +0200,0.38559815,-9.613608,-2.320774,-5.4603176,49.335278,-15.109088,-1.3946658,-2.1344066,0.62749934,insidethepantpocket,walking
10 May 2022 22:34:49:942 +0200,3.3841627,-5.716912,-1.839375,-5.4603176,49.335278,-15.109088,-1.3946658,-2.1344066,0.62749934,insidethepantpocket,walking
10 May 2022 22:34:49:946 +0200,3.3841627,-5.716912,-1.839375,-5.7898426,49.657917,-5.897974,0.21548143,-0.5812511,-0.04201936,insidethepantpocket,walking
10 May 2022 22:34:50:111 +0200,4.2200246,-9.546548,-7.074888,-8.146402,49.106724,-5.984236,0.29697415,0.26297098,-0.26199645,insidethepantpocket,walking
10 May 2022 22:34:50:266 +0200,0.8885523,-9.965676,0.99393314,-8.355333,49.681957,-9.60327,0.5787366,0.7796242,0.6248362,insidethepantpocket,walking
10 May 2022 22:34:50:428 +0200,4.643943,-11.543995,2.1411476,-5.595129,51.138855,-12.106414,0.41042483,0.375889,0.029885992,insidethepantpocket,walking
10 May 2022 22:34:50:584 +0200,3.2093263,-6.991062,-1.1304493,-5.595129,51.138855,-12.106414,0.41042483,0.375889,0.029885992,insidethepantpocket,walking
10 May 2022 22:34:50:592 +0200,3.2093263,-6.991062,-1.1304493,-5.597437,48.473774,-14.528259,-0.14777374,-0.39429718,0.08261658,insidethepantpocket,walking
10 May 2022 22:34:50:745 +0200,3.3793726,-9.383687,-1.0130934,-2.3541164,48.085545,-17.5689,0.057289664,0.3061142,0.3553243,insidethepantpocket,walking
10 May 2022 22:34:50:897 +0200,4.8139896,-9.137,-2.3854396,-2.3541164,48.085545,-17.5689,0.057289664,0.3061142,0.3553243,insidethepantpocket,walking
10 May 2022 22:34:50:905 +0200,4.8139896,-9.137,-2.3854396,1.1426582,49.04426,-19.893524,-0.14777374,0.8701717,0.19553462,insidethepantpocket,walking
10 May 2022 22:34:51:063 +0200,4.129014,-10.518927,1.1975098,5.4681587,49.108253,-19.00386,-1.0820106,-2.406049,-0.8329782,insidethepantpocket,walking
10 May 2022 22:34:51:220 +0200,1.5639478,-8.775352,-1.575923,-3.000534,49.679386,-12.9979725,-0.5435195,-0.9940411,-0.19435216,insidethepantpocket,walking
10 May 2022 22:34:51:381 +0200,0.9244776,-5.6522465,-2.8524685,-2.0847874,51.536423,-3.034048,0.6943178,0.27788466,-0.2524091,insidethepantpocket,walking
10 May 2022 22:34:51:535 +0200,3.8703518,-9.541759,-7.30481,-6.91695,49.94292,-4.2150993,0.16328348,-0.11732843,-0.24548486,insidethepantpocket,walking
10 May 2022 22:34:51:697 +0200,0.6849756,-10.243499,-0.026345216,-7.7599125,50.30902,-6.4148636,-0.1818622,-0.96687686,0.29247367,insidethepantpocket,walking
10 May 2022 22:34:51:853 +0200,5.101392,-9.553733,-1.4250367,-1.2870331,50.335068,-10.198621,1.2695606,5.939765,-0.8644035,insidethepantpocket,walking
10 May 2022 22:34:52:014 +0200,3.788921,-8.250843,0.85741705,2.0965357,49.15224,-15.820279,0.48339543,0.8126474,0.12629244,insidethepantpocket,walking
10 May 2022 22:34:52:168 +0200,4.502637,-9.524993,-0.026345216,2.5837889,51.30616,-12.797088,-0.09344526,1.1423469,0.17156617,insidethepantpocket,walking
10 May 2022 22:34:52:331 +0200,5.5301003,-11.711646,-2.4860303,4.9254065,49.830868,-13.12166,-1.5443355,-1.8148273,-0.3999482,insidethepantpocket,walking
10 May 2022 22:34:52:489 +0200,1.4849122,-9.989627,-0.977168,4.9254065,49.830868,-13.12166,-1.5443355,-1.8148273,-0.3999482,insidethepantpocket,walking
10 May 2022 22:34:52:494 +0200,1.4849122,-9.989627,-0.977168,4.3835506,50.222836,-7.6683292,-1.3936006,-0.6094806,0.1720988,insidethepantpocket,walking
10 May 2022 22:34:52:649 +0200,1.1543995,-5.415139,-1.2693604,4.0361824,50.341835,3.2744923,0.076464415,-0.32931608,-0.2822365,insidethepantpocket,walking
10 May 2022 22:34:52:804 +0200,4.9720607,-9.5489435,-6.8808913,4.0361824,50.341835,3.2744923,0.076464415,-0.32931608,-0.2822365,insidethepantpocket,walking
10 May 2022 22:34:52:812 +0200,4.9720607,-9.5489435,-6.8808913,-0.42575073,49.916573,3.3927212,0.6937852,0.5564513,-0.34881553,insidethepantpocket,walking
10 May 2022 22:34:52:967 +0200,0.7089258,-13.115128,-0.48618898,-2.108984,49.65682,-2.293415,0.31028995,1.0874857,1.2416244,insidethepantpocket,walking
10 May 2022 22:34:53:119 +0200,3.9589674,-9.433982,2.2776637,2.3811922,50.97257,-4.58305,0.55956185,0.70878416,0.13747771,insidethepantpocket,walking
10 May 2022 22:34:53:281 +0200,4.045188,-8.53585,-2.2393434,3.7276125,49.801544,-4.084873,-1.3067815,-0.45448464,-0.2097985,insidethepantpocket,walking
10 May 2022 22:34:53:441 +0200,3.894302,-8.873548,-0.19878663,2.3712683,51.61684,-2.8603554,0.50523335,0.8696391,0.46930757,insidethepantpocket,walking
10 May 2022 22:34:53:594 +0200,6.6509695,-10.684182,-2.5099807,2.3712683,51.61684,-2.8603554,0.50523335,0.8696391,0.46930757,insidethepantpocket,walking
10 May 2022 22:34:53:601 +0200,6.6509695,-10.684182,-2.5099807,3.6103973,50.644386,-3.9545593,-0.77468187,-0.63930804,-0.30780283,insidethepantpocket,walking
10 May 2022 22:34:53:758 +0200,1.0753639,-9.572893,0.4526587,5.944379,51.480824,-1.1328831,-1.0543138,-0.28510758,-0.12724051,insidethepantpocket,walking
10 May 2022 22:34:53:913 +0200,2.327959,-7.1563187,-1.4753321,4.467368,49.053,8.928616,-0.01461569,-0.93012524,-0.82392347,insidethepantpocket,walking
10 May 2022 22:34:54:072 +0200,2.555486,-7.5035963,-4.679868,4.467368,49.053,8.928616,-0.01461569,-0.93012524,-0.82392347,insidethepantpocket,walking
10 May 2022 22:34:54:080 +0200,2.555486,-7.5035963,-4.679868,3.199729,46.972958,10.055283,0.8897938,0.26137307,0.3223011,insidethepantpocket,walking
10 May 2022 22:34:54:222 +0200,1.0657837,-13.244458,-1.6453785,3.199729,46.972958,10.055283,0.8897938,0.26137307,0.3223011,insidethepantpocket,walking
10 May 2022 22:34:54:229 +0200,1.0657837,-13.244458,-1.6453785,2.7583895,48.739323,5.981497,0.56808394,1.2893534,1.020582,insidethepantpocket,walking
10 May 2022 22:34:54:389 +0200,2.9937747,-8.351434,1.092129,2.7583895,48.739323,5.981497,0.29857206,0.6347483,0.75799423,insidethepantpocket,walking
10 May 2022 22:34:54:393 +0200,2.9937747,-8.351434,1.092129,3.5146332,49.778736,5.5671444,0.29857206,0.6347483,0.75799423,insidethepantpocket,walking
10 May 2022 22:34:54:544 +0200,4.646338,-7.311995,-2.9698243,4.5019293,49.624187,5.751707,-0.7714861,0.06057073,-0.18955848,insidethepantpocket,walking
10 May 2022 22:34:54:707 +0200,3.4919386,-8.377779,-0.732876,2.4301815,48.656696,1.2115803,0.1984372,0.03926544,0.3574548,insidethepantpocket,walking
10 May 2022 22:34:54:870 +0200,6.330037,-10.336905,-1.9232007,4.1868315,50.234085,0.25378227,0.11321604,0.07548443,0.033614416,insidethepantpocket,walking
10 May 2022 22:34:55:027 +0200,1.8848804,-8.655601,2.203418,4.9369507,49.764282,-1.0092888,-1.077217,-0.75435656,-0.6854391,insidethepantpocket,walking
10 May 2022 22:34:55:174 +0200,1.5615528,-7.551497,-1.839375,4.9369507,49.764282,-1.0092888,-1.077217,-0.75435656,-0.6854391,insidethepantpocket,walking
10 May 2022 22:34:55:182 +0200,1.5615528,-7.551497,-1.839375,3.7190428,48.861496,9.333946,-0.0012998842,-0.16579798,-0.79675925,insidethepantpocket,walking
