date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:46:08:107 +0200,-3.4645157,-2.011191,9.014444,34.5,6.8999996,-14.759999,-7.336491E-4,0.0013848315,0.005191133,insidethepantpocket,sitting
10 May 2022 14:46:08:122 +0200,-3.4956412,-1.9968252,9.024022,34.5,6.8999996,-14.759999,-7.336491E-4,0.0013848315,0.005191133,insidethepantpocket,sitting
10 May 2022 14:46:08:139 +0200,-3.4956412,-1.9968252,9.024022,34.5,6.8999996,-14.759999,0.0010989466,1.6310102E-4,0.005191133,insidethepantpocket,sitting
10 May 2022 14:46:08:306 +0200,-3.4908526,-2.0016139,8.9976845,34.5,7.02,-15.059999,0.0010989466,1.6310102E-4,0.005191133,insidethepantpocket,sitting
10 May 2022 14:46:08:311 +0200,-3.476487,-1.9872481,9.016839,34.5,7.02,-15.059999,0.0010989466,1.6310102E-4,0.005191133,insidethepantpocket,sitting
10 May 2022 14:46:08:322 +0200,-3.476487,-1.9872481,9.016839,34.5,7.02,-15.059999,-7.336491E-4,7.7396625E-4,0.0039694025,insidethepantpocket,sitting
10 May 2022 14:46:08:483 +0200,-3.4860642,-1.9992194,9.014444,34.5,7.02,-15.059999,-7.336491E-4,7.7396625E-4,0.0039694025,insidethepantpocket,sitting
10 May 2022 14:46:08:488 +0200,-3.476487,-1.9680939,9.0288105,34.5,7.02,-15.059999,-7.336491E-4,7.7396625E-4,0.0039694025,insidethepantpocket,sitting
10 May 2022 14:46:08:503 +0200,-3.476487,-1.9680939,9.0288105,34.68,6.96,-14.639999,-1.2278391E-4,1.6310102E-4,0.0039694025,insidethepantpocket,sitting
10 May 2022 14:46:08:664 +0200,-3.4836698,-1.9920366,9.024022,34.68,6.96,-14.639999,-1.2278391E-4,1.6310102E-4,0.0039694025,insidethepantpocket,sitting
