date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:04:03:678 +0200,-4.565882,-1.6544439,8.609812,12.179999,-14.04,-42.78,0.006518543,-0.0031526757,-9.83493E-5,insidethepantpocket,sitting
10 May 2022 22:04:03:734 +0200,-4.592219,-1.6783867,8.576292,12.179999,-14.04,-42.78,0.004075082,0.0017342464,-7.092146E-4,insidethepantpocket,sitting
10 May 2022 22:04:03:877 +0200,-4.592219,-1.6783867,8.576292,12.0,-13.98,-42.84,0.004075082,0.0017342464,-7.092146E-4,insidethepantpocket,sitting
10 May 2022 22:04:03:918 +0200,-4.6065845,-1.6688095,8.573898,12.0,-13.98,-42.84,-0.0014227051,0.0017342464,-9.83493E-5,insidethepantpocket,sitting
10 May 2022 22:04:04:077 +0200,-4.6065845,-1.6688095,8.573898,12.059999,-13.799999,-43.2,-0.0014227051,0.0017342464,-9.83493E-5,insidethepantpocket,sitting
10 May 2022 22:04:04:096 +0200,-4.599402,-1.6616267,8.518829,12.059999,-13.799999,-43.2,-0.003866166,-0.0031526757,-0.0074287322,insidethepantpocket,sitting
10 May 2022 22:04:04:279 +0200,-4.5419393,-1.6520497,8.542772,12.059999,-13.74,-42.78,-8.1183994E-4,-0.010483059,-0.0031526757,insidethepantpocket,sitting
10 May 2022 22:04:04:460 +0200,-4.520391,-1.7023294,8.614601,12.059999,-13.74,-42.78,-0.006309627,-0.008039597,-0.0019309451,insidethepantpocket,sitting
10 May 2022 22:04:04:478 +0200,-4.520391,-1.7023294,8.614601,11.759999,-13.799999,-42.84,-0.006309627,-0.008039597,-0.0019309451,insidethepantpocket,sitting
10 May 2022 22:04:04:636 +0200,-4.5467277,-1.6688095,8.542772,11.759999,-13.799999,-42.84,-0.0020335703,-9.83493E-5,-0.0037635406,insidethepantpocket,sitting
10 May 2022 22:04:04:678 +0200,-4.5467277,-1.6688095,8.542772,11.94,-13.5,-42.84,-0.0020335703,-9.83493E-5,-0.0037635406,insidethepantpocket,sitting
10 May 2022 22:04:04:819 +0200,-4.4749,-1.776552,8.60263,11.94,-13.5,-42.84,4.098906E-4,-0.0031526757,-7.092146E-4,insidethepantpocket,sitting
10 May 2022 22:04:04:879 +0200,-4.4749,-1.776552,8.60263,11.88,-13.44,-43.079998,4.098906E-4,-0.0031526757,-7.092146E-4,insidethepantpocket,sitting
10 May 2022 22:04:04:998 +0200,-4.6041903,-1.6951466,8.590658,11.88,-13.44,-43.079998,0.0022424862,0.003566842,-0.0019309451,insidethepantpocket,sitting
10 May 2022 22:04:05:078 +0200,-4.6041903,-1.6951466,8.590658,11.5199995,-13.5,-43.2,0.0022424862,0.003566842,-0.0019309451,insidethepantpocket,sitting
10 May 2022 22:04:05:177 +0200,-4.494054,-1.7047237,8.56911,11.5199995,-13.5,-43.2,0.0010207557,-0.006207002,0.005399438,insidethepantpocket,sitting
10 May 2022 22:04:05:276 +0200,-4.494054,-1.7047237,8.56911,11.7,-13.74,-43.02,0.0010207557,-0.006207002,0.005399438,insidethepantpocket,sitting
10 May 2022 22:04:05:357 +0200,-4.563488,-1.7550035,8.566715,11.7,-13.74,-43.02,-0.003866166,0.0023451117,-0.0013200798,insidethepantpocket,sitting
10 May 2022 22:04:05:480 +0200,-4.563488,-1.7550035,8.566715,11.5199995,-14.099999,-42.719997,-0.003866166,0.0023451117,-0.0013200798,insidethepantpocket,sitting
10 May 2022 22:04:05:538 +0200,-4.4844766,-1.6855695,8.573898,11.5199995,-14.099999,-42.719997,0.0016316212,-0.0117047895,-0.0031526757,insidethepantpocket,sitting
10 May 2022 22:04:05:676 +0200,-4.4844766,-1.6855695,8.573898,11.34,-14.28,-42.78,0.0016316212,-0.0117047895,-0.0031526757,insidethepantpocket,sitting
10 May 2022 22:04:05:719 +0200,-4.580248,-1.7166951,8.593052,11.34,-14.28,-42.78,-8.1183994E-4,0.01150809,0.0023451117,insidethepantpocket,sitting
10 May 2022 22:04:05:876 +0200,-4.580248,-1.7166951,8.593052,11.7,-14.46,-42.719997,-8.1183994E-4,0.01150809,0.0023451117,insidethepantpocket,sitting
10 May 2022 22:04:05:898 +0200,-4.5084195,-1.6664152,8.56911,11.7,-14.46,-42.719997,0.0028533516,0.0017342464,0.005399438,insidethepantpocket,sitting
10 May 2022 22:04:06:079 +0200,-4.5084195,-1.6664152,8.56911,11.639999,-14.4,-42.78,-0.004477031,0.020060204,-0.0055961367,insidethepantpocket,sitting
10 May 2022 22:04:06:083 +0200,-4.642499,-1.7645805,8.5331955,11.639999,-14.4,-42.78,-0.004477031,0.020060204,-0.0055961367,insidethepantpocket,sitting
10 May 2022 22:04:06:256 +0200,-4.565882,-1.6448668,8.581081,11.639999,-14.4,-42.78,-0.0014227051,-0.0361394,0.012729821,insidethepantpocket,sitting
10 May 2022 22:04:06:276 +0200,-4.565882,-1.6448668,8.581081,11.88,-14.34,-43.02,-0.0014227051,-0.0361394,0.012729821,insidethepantpocket,sitting
10 May 2022 22:04:06:435 +0200,-4.565882,-1.6448668,8.581081,11.88,-14.34,-43.02,4.098906E-4,-0.07034785,0.0017342464,insidethepantpocket,sitting
10 May 2022 22:04:06:438 +0200,-4.146884,-1.8747171,8.652909,11.88,-14.34,-43.02,4.098906E-4,-0.07034785,0.0017342464,insidethepantpocket,sitting
10 May 2022 22:04:06:473 +0200,-4.146884,-1.8747171,8.652909,11.639999,-14.34,-42.84,4.098906E-4,-0.07034785,0.0017342464,insidethepantpocket,sitting
10 May 2022 22:04:06:618 +0200,-4.146884,-1.8747171,8.652909,11.639999,-14.34,-42.84,0.030953154,0.05793385,-0.01292652,insidethepantpocket,sitting
10 May 2022 22:04:06:624 +0200,-4.7598186,-1.6185298,8.638543,11.639999,-14.34,-42.84,0.030953154,0.05793385,-0.01292652,insidethepantpocket,sitting
