date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:04:03:035 +0200,7.7308083,0.39884716,6.0162444,-36.131252,0.91875005,-9.7875,0.0026631588,3.9947382E-4,-0.0010652635,insidethepantpocket,sitting
10 May 2022 22:04:03:043 +0200,7.7308083,0.39884716,6.0162444,-35.71875,1.0875001,-8.606251,0.0026631588,3.9947382E-4,-0.0010652635,insidethepantpocket,sitting
10 May 2022 22:04:03:116 +0200,7.7308083,0.39884716,6.0162444,-35.71875,1.0875001,-8.606251,-0.0014647373,0.0011984215,-5.3263176E-4,insidethepantpocket,sitting
10 May 2022 22:04:03:238 +0200,7.7308083,0.39884716,6.0162444,-36.018753,2.5500002,-9.75,-0.0014647373,0.0011984215,-5.3263176E-4,insidethepantpocket,sitting
10 May 2022 22:04:03:294 +0200,7.723023,0.40483588,6.013849,-36.018753,2.5500002,-9.75,0.0011984215,-0.0017310532,-0.004793686,insidethepantpocket,sitting
10 May 2022 22:04:03:439 +0200,7.723023,0.40483588,6.013849,-36.0,2.0062501,-9.543751,0.0011984215,-0.0017310532,-0.004793686,insidethepantpocket,sitting
10 May 2022 22:04:03:454 +0200,7.722424,0.418011,6.022233,-36.0,2.0062501,-9.543751,0.0011984215,-0.0017310532,-0.004793686,insidethepantpocket,sitting
10 May 2022 22:04:03:476 +0200,7.722424,0.418011,6.022233,-36.0,2.0062501,-9.543751,0.0025300009,-0.008522108,-0.009321056,insidethepantpocket,sitting
10 May 2022 22:04:03:634 +0200,7.748175,0.42759293,5.9916906,-35.287502,1.0875001,-8.681251,0.0025300009,-0.008522108,-0.009321056,insidethepantpocket,sitting
10 May 2022 22:04:03:716 +0200,7.748175,0.42759293,5.9916906,-35.287502,1.0875001,-8.681251,0.0074568447,-0.011584741,-0.005992107,insidethepantpocket,sitting
10 May 2022 22:04:03:833 +0200,7.748175,0.42759293,5.9916906,-35.925003,2.23125,-10.462501,0.0074568447,-0.011584741,-0.005992107,insidethepantpocket,sitting
10 May 2022 22:04:03:893 +0200,7.770932,0.4611296,5.97612,-35.925003,2.23125,-10.462501,0.0011984215,6.657897E-4,-0.005992107,insidethepantpocket,sitting
10 May 2022 22:04:04:034 +0200,7.770932,0.4611296,5.97612,-35.86875,1.9312501,-9.993751,0.0011984215,6.657897E-4,-0.005992107,insidethepantpocket,sitting
10 May 2022 22:04:04:076 +0200,7.772729,0.45693752,5.974922,-35.86875,1.9312501,-9.993751,0.00519316,0.0011984215,-5.3263176E-4,insidethepantpocket,sitting
10 May 2022 22:04:04:230 +0200,7.772729,0.45693752,5.974922,-35.34375,1.0875001,-9.993751,0.00519316,0.0011984215,-5.3263176E-4,insidethepantpocket,sitting
10 May 2022 22:04:04:237 +0200,7.7421865,0.46232736,6.0036683,-35.34375,1.0875001,-9.993751,0.00519316,0.0011984215,-5.3263176E-4,insidethepantpocket,sitting
