date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:02:19:752 +0200,4.90979,-4.3254056,7.1203933,-18.399246,26.095802,-18.099777,-0.27187708,0.1708256,-0.3189881,insidethepantpocket,sitting
10 May 2022 22:02:19:910 +0200,4.528982,-4.253555,7.36708,-18.680069,22.53009,-18.07155,-0.018876748,0.072821274,-0.20447218,insidethepantpocket,sitting
10 May 2022 22:02:20:066 +0200,4.528982,-4.253555,7.36708,-20.29845,22.647926,-16.982807,-0.018876748,0.072821274,-0.20447218,insidethepantpocket,sitting
10 May 2022 22:02:20:071 +0200,4.9696655,-4.0787187,7.158714,-20.29845,22.647926,-16.982807,-0.13499057,0.10318131,-0.20340692,insidethepantpocket,sitting
10 May 2022 22:02:20:225 +0200,4.806804,-4.2008643,7.175479,-20.297344,21.48639,-18.267612,-0.0939779,0.09572446,-0.12990367,insidethepantpocket,sitting
10 May 2022 22:02:20:390 +0200,4.806804,-4.2008643,7.175479,-22.0144,24.148579,-17.354904,-0.0939779,0.09572446,-0.12990367,insidethepantpocket,sitting
10 May 2022 22:02:20:411 +0200,4.720584,-4.2056546,7.31918,-22.0144,24.148579,-17.354904,-0.049236786,0.04139597,-0.06279202,insidethepantpocket,sitting
10 May 2022 22:02:20:548 +0200,4.6128078,-4.2080493,7.3096,-21.908272,22.118652,-17.472593,0.004026438,-0.05501046,5.858671E-5,insidethepantpocket,sitting
10 May 2022 22:02:20:706 +0200,5.0439115,-4.3254056,7.086863,-21.044525,22.128613,-17.150503,0.046104383,-0.04222729,0.044799693,insidethepantpocket,sitting
10 May 2022 22:02:20:869 +0200,4.90979,-4.140989,7.213799,-21.035042,22.14848,-18.159615,0.12706448,-0.03796623,0.08101869,insidethepantpocket,sitting
10 May 2022 22:02:21:031 +0200,5.0750465,-4.1314087,7.060518,-20.419292,22.818115,-17.133595,0.047169648,-0.05607573,0.06930078,insidethepantpocket,sitting
