date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:40:49:981 +0200,-0.076616794,-0.035914123,9.859624,-1961.82,1952.64,1951.62,1.2400564E-4,1.03847095E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:001 +0200,-0.06943397,-0.03351985,9.859624,-1961.82,1952.64,1951.62,1.2400564E-4,1.03847095E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:003 +0200,-0.05027977,-0.023942748,9.857229,-1961.82,1952.64,1951.62,1.2400564E-4,1.03847095E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:040 +0200,-0.05027977,-0.023942748,9.857229,-1961.82,1952.64,1951.62,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:184 +0200,-0.05027977,-0.023942748,9.857229,-1962.12,1952.1,1951.6799,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:190 +0200,-0.05985687,-0.03351985,9.857229,-1962.12,1952.1,1951.6799,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:363 +0200,-0.062251143,-0.028731298,9.881172,-1962.12,1952.1,1951.6799,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:368 +0200,-0.05985687,-0.04070267,9.859624,-1962.12,1952.1,1951.6799,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:385 +0200,-0.05985687,-0.04070267,9.859624,-1962.2999,1952.2799,1951.5,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:543 +0200,-0.06464542,-0.019154198,9.862018,-1962.2999,1952.2799,1951.5,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:584 +0200,-0.06464542,-0.019154198,9.862018,-1962.4199,1952.46,1951.08,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
10 May 2022 14:40:50:723 +0200,-0.05985687,-0.043096945,9.862018,-1962.4199,1952.46,1951.08,1.2400564E-4,-5.070181E-4,-0.0018521434,lyingonthedesk,sitting
