date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 21:58:27:015 +0200,-0.30646718,0.22027329,9.871595,-25.14,-6.24,-20.58,1.160644E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:041 +0200,-0.28731298,0.22266756,9.845258,-25.14,-6.24,-20.58,-4.9480086E-4,3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:204 +0200,-0.28731298,0.22266756,9.845258,-25.019999,-6.24,-20.58,-4.9480086E-4,3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:224 +0200,-0.29689008,0.22985038,9.8548355,-25.019999,-6.24,-20.58,-4.9480086E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:406 +0200,-0.2944958,0.22745611,9.8548355,-25.08,-5.7599998,-20.699999,-4.9480086E-4,-3.0543262E-4,2.742785E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:585 +0200,-0.30167863,0.21787901,9.859624,-25.08,-5.7599998,-20.699999,1.160644E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:604 +0200,-0.30167863,0.21787901,9.859624,-25.199999,-5.7599998,-20.64,1.160644E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:766 +0200,-0.28013015,0.22985038,9.864412,-25.199999,-5.7599998,-20.64,1.160644E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:804 +0200,-0.28013015,0.22985038,9.864412,-25.019999,-6.06,-20.46,1.160644E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:942 +0200,-0.29210153,0.25379312,9.8548355,-25.019999,-6.06,-20.46,1.160644E-4,-3.0543262E-4,-3.3658673E-4,lyingonthedesk,sitting
