date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 21:57:25:918 +0200,-0.038320314,0.24908204,9.855506,-49.620934,9.122378,62.62256,0.0029611737,-0.002812503,-0.003669839,lyingonthedesk,sitting
10 May 2022 21:57:26:077 +0200,-0.035925295,0.244292,9.850716,-49.620934,9.122378,62.62256,0.0029611737,-0.002812503,-0.003669839,lyingonthedesk,sitting
10 May 2022 21:57:26:082 +0200,-0.035925295,0.244292,9.850716,-50.49373,8.428409,62.595997,0.0034938063,-0.0033451356,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:26:237 +0200,-0.035925295,0.24908204,9.855506,-50.49373,8.428409,62.595997,0.0034938063,-0.0033451356,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:26:243 +0200,-0.035925295,0.24908204,9.855506,-50.121933,8.7686,62.895184,0.0029611737,-0.002279872,-0.0020719422,lyingonthedesk,sitting
10 May 2022 21:57:26:394 +0200,-0.040715333,0.25147706,9.848321,-50.620445,8.253754,62.737133,0.0029611737,-0.002279872,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:26:552 +0200,-0.033530276,0.24908204,9.848321,-50.620445,8.253754,62.737133,0.0029611737,-0.002279872,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:26:558 +0200,-0.033530276,0.24908204,9.848321,-50.205463,11.510916,61.27575,0.004026438,-0.0033451356,-0.0020719422,lyingonthedesk,sitting
10 May 2022 21:57:26:715 +0200,-0.038320314,0.244292,9.855506,-48.86605,10.158957,62.352367,0.0034938063,-0.0033451356,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:26:880 +0200,-0.028740235,0.24668702,9.848321,-48.86605,10.158957,62.352367,0.0029611737,-0.0017472394,-0.0020719422,lyingonthedesk,sitting
10 May 2022 21:57:26:903 +0200,-0.028740235,0.24668702,9.848321,-50.834305,11.146389,61.97603,0.0029611737,-0.0017472394,-0.0020719422,lyingonthedesk,sitting
10 May 2022 21:57:27:042 +0200,-0.038320314,0.25147706,9.841136,-50.722946,10.956335,63.13593,0.0034938063,-0.0017472394,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:27:199 +0200,-0.040715333,0.244292,9.865086,-50.722946,10.956335,63.13593,0.0034938063,-0.0017472394,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:27:222 +0200,-0.040715333,0.244292,9.865086,-51.82114,11.63443,62.07618,0.0034938063,-0.0033451356,-0.0026045744,lyingonthedesk,sitting
10 May 2022 21:57:27:348 +0200,-0.043110352,0.244292,9.848321,-50.720238,10.962011,62.84761,0.004026438,-0.0017472394,-0.0026045744,lyingonthedesk,sitting
