date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:39:17:486 +0200,0.34967285,0.39278322,9.956097,-5.5646853,1.0898805,-26.470907,7.032065E-4,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:488 +0200,0.39278322,0.4023633,9.941727,-5.5495334,2.285477,-26.916012,7.032065E-4,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:525 +0200,0.38559815,0.40954837,9.927357,-5.5495334,2.285477,-26.916012,7.032065E-4,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:567 +0200,0.34009278,0.39757326,9.936936,-5.5495334,2.285477,-26.916012,7.032065E-4,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:606 +0200,0.3281177,0.4047583,9.929751,-5.5495334,2.285477,-26.916012,7.032065E-4,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:646 +0200,0.364043,0.39517823,9.948912,-5.680774,1.7688172,-26.627108,0.001768471,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:39:17:686 +0200,0.38320315,0.39996827,9.958491,-5.680774,1.7688172,-26.627108,0.001768471,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:39:17:726 +0200,0.364043,0.4167334,9.944121,-5.680774,1.7688172,-26.627108,0.001768471,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:39:17:766 +0200,0.33769777,0.40715334,9.941727,-5.680774,1.7688172,-26.627108,0.001768471,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:39:17:806 +0200,0.33769777,0.40715334,9.941727,-5.680774,1.7688172,-26.627108,0.001768471,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:809 +0200,0.3520679,0.4167334,9.927357,-5.6870914,2.0881164,-25.621603,0.001768471,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:846 +0200,0.3879932,0.39757326,9.956097,-5.6870914,2.0881164,-25.621603,0.001768471,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:886 +0200,0.36883304,0.39517823,9.953702,-5.6870914,2.0881164,-25.621603,0.001768471,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:926 +0200,0.3424878,0.4047583,9.929751,-5.6870914,2.0881164,-25.621603,0.001768471,-2.9842556E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:967 +0200,0.34488282,0.4023633,9.934542,-5.0523744,2.7974854,-26.613804,0.001768471,-0.00136369,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:39:18:006 +0200,0.37362307,0.39757326,9.929751,-5.0523744,2.7974854,-26.613804,0.001768471,-0.00136369,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:39:18:046 +0200,0.38559815,0.39278322,9.948912,-5.0523744,2.7974854,-26.613804,0.001768471,-0.00136369,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:39:18:087 +0200,0.36164796,0.39757326,9.958491,-5.0523744,2.7974854,-26.613804,0.001768471,-0.00136369,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:39:18:126 +0200,0.33530274,0.41194338,9.936936,-5.0523744,2.7974854,-26.613804,7.032065E-4,-0.0018963222,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:128 +0200,0.33530274,0.41194338,9.936936,-5.7837343,4.1379094,-26.513021,7.032065E-4,-0.0018963222,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:166 +0200,0.3520679,0.4143384,9.941727,-5.7837343,4.1379094,-26.513021,7.032065E-4,-0.0018963222,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:207 +0200,0.37601808,0.4047583,9.951306,-5.7837343,4.1379094,-26.513021,7.032065E-4,-0.0018963222,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:248 +0200,0.37601808,0.4047583,9.941727,-5.7837343,4.1379094,-26.513021,7.032065E-4,-0.0018963222,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:291 +0200,0.35685793,0.4023633,9.951306,-5.681461,1.2685821,-27.054174,0.0012358387,-8.310578E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:327 +0200,0.3424878,0.41194338,9.939331,-5.681461,1.2685821,-27.054174,0.0012358387,-8.310578E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:366 +0200,0.37122804,0.4143384,9.941727,-5.681461,1.2685821,-27.054174,0.0012358387,-8.310578E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:407 +0200,0.3879932,0.40954837,9.939331,-5.681461,1.2685821,-27.054174,0.0012358387,-8.310578E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:446 +0200,0.3879932,0.40954837,9.939331,-5.681461,1.2685821,-27.054174,0.001768471,-0.00136369,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:448 +0200,0.37362307,0.4023633,9.932146,-5.814954,1.0797364,-26.19224,0.001768471,-0.00136369,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:487 +0200,0.34727785,0.4023633,9.951306,-5.814954,1.0797364,-26.19224,0.001768471,-0.00136369,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:526 +0200,0.3544629,0.4023633,9.948912,-5.814954,1.0797364,-26.19224,0.001768471,-0.00136369,-5.8095437E-4,lyingonthedesk,sitting
