date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:06:02:793 +0200,2.5123756,-10.676997,2.0980372,-20.219524,27.377918,-7.3716354,-0.31182447,-0.42998356,0.28981054,insidethepantpocket,standing
10 May 2022 22:06:02:798 +0200,2.1483326,-8.911868,-0.16286133,-21.351555,29.98032,-2.8308296,-0.31182447,-0.42998356,0.28981054,insidethepantpocket,standing
10 May 2022 22:06:02:952 +0200,2.1483326,-8.911868,-0.16286133,-21.351555,29.98032,-2.8308296,-0.0577589,-0.31280446,0.19074093,insidethepantpocket,standing
10 May 2022 22:06:02:955 +0200,1.3196558,-9.374106,-0.081430666,-21.120296,27.955467,-3.0878563,-0.0577589,-0.31280446,0.19074093,insidethepantpocket,standing
10 May 2022 22:06:03:114 +0200,0.66342044,-9.637559,-0.39757326,-18.892899,30.488338,-0.43320084,0.06421389,0.003579082,-0.053737268,insidethepantpocket,standing
10 May 2022 22:06:03:269 +0200,1.5711329,-9.364527,0.047900394,-20.98766,30.47023,-1.5243378,0.04503912,0.10904027,-0.052672006,insidethepantpocket,standing
10 May 2022 22:06:03:428 +0200,1.5711329,-9.364527,0.047900394,-20.98766,30.47023,-1.5243378,0.28685415,0.26297098,0.18807776,insidethepantpocket,standing
10 May 2022 22:06:03:432 +0200,1.3507911,-9.707015,0.086220704,-19.739487,30.181782,-2.914072,0.28685415,0.26297098,0.18807776,insidethepantpocket,standing
10 May 2022 22:06:03:588 +0200,1.3507911,-9.707015,0.086220704,-19.739487,30.181782,-2.914072,0.05888756,0.33807212,0.071963936,insidethepantpocket,standing
10 May 2022 22:06:03:591 +0200,0.6227051,-9.766891,1.3268409,-18.002266,31.385948,-2.1383553,0.05888756,0.33807212,0.071963936,insidethepantpocket,standing
10 May 2022 22:06:03:747 +0200,1.4034815,-9.402847,0.15567628,-18.372284,29.386822,-4.2935696,-0.072672606,0.34552896,-0.03562777,insidethepantpocket,standing
10 May 2022 22:06:03:907 +0200,0.61552006,-9.611214,0.60594,-17.657642,27.678848,-2.949154,0.05196334,0.058972836,0.08634501,insidethepantpocket,standing
10 May 2022 22:06:04:065 +0200,0.61552006,-9.611214,0.60594,-17.657642,27.678848,-2.949154,-0.06947681,0.06429916,-0.040421464,insidethepantpocket,standing
10 May 2022 22:06:04:068 +0200,0.859812,-9.472302,-0.019160157,-18.491978,30.390736,-3.7325802,-0.06947681,0.06429916,-0.040421464,insidethepantpocket,standing
10 May 2022 22:06:04:222 +0200,0.8047266,-9.503438,0.5724097,-18.364803,30.89888,-3.5890064,0.036517005,-0.30907604,-0.053204637,insidethepantpocket,standing
10 May 2022 22:06:04:380 +0200,1.7028589,-9.400452,-0.16046631,-17.876251,30.062737,-3.7048473,-0.02207254,-0.42838565,0.03201652,insidethepantpocket,standing
10 May 2022 22:06:04:540 +0200,1.7028589,-9.400452,-0.16046631,-17.876251,30.062737,-3.7048473,0.062083352,-0.96581155,0.033081785,insidethepantpocket,standing
10 May 2022 22:06:04:544 +0200,-0.08861572,-9.697434,0.35925296,-18.887726,29.335312,-2.150486,0.062083352,-0.96581155,0.033081785,insidethepantpocket,standing
10 May 2022 22:06:04:700 +0200,-0.08861572,-9.697434,0.35925296,-18.887726,29.335312,-2.150486,0.038647532,-0.51573735,0.16890301,insidethepantpocket,standing
10 May 2022 22:06:04:703 +0200,1.6262183,-9.582474,-0.4382886,-19.39819,29.959301,0.12954712,0.038647532,-0.51573735,0.16890301,insidethepantpocket,standing
10 May 2022 22:06:04:860 +0200,1.6262183,-9.582474,-0.4382886,-19.39819,29.959301,0.12954712,0.0050917026,-0.09495788,-0.030301452,insidethepantpocket,standing
10 May 2022 22:06:04:862 +0200,2.0070264,-9.493857,-0.38320315,-19.409714,29.436363,0.85575104,0.0050917026,-0.09495788,-0.030301452,insidethepantpocket,standing
10 May 2022 22:06:05:016 +0200,0.8933423,-9.589659,-0.09101075,-17.933846,29.443302,1.92276,-0.023670439,0.10051815,-0.0052677356,insidethepantpocket,standing
10 May 2022 22:06:05:174 +0200,1.1160791,-9.472302,0.1341211,-18.408165,30.80806,1.0240822,0.086584434,0.31783208,-0.04947621,insidethepantpocket,standing
10 May 2022 22:06:05:332 +0200,0.7376661,-9.419612,-0.011975098,-20.028172,28.761051,0.118047714,0.09510654,0.34979004,0.01763545,insidethepantpocket,standing
10 May 2022 22:06:05:491 +0200,0.7783814,-9.544153,0.49576905,-18.765285,30.332344,-1.0032101,0.045571752,0.35298583,-0.004202471,insidethepantpocket,standing
10 May 2022 22:06:05:649 +0200,0.7783814,-9.544153,0.49576905,-18.765285,30.332344,-1.0032101,0.057289664,-0.057673626,-0.072379395,insidethepantpocket,standing
10 May 2022 22:06:05:651 +0200,1.1735597,-9.508228,0.102985844,-17.898827,30.34798,-0.96943665,0.057289664,-0.057673626,-0.072379395,insidethepantpocket,standing
