date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:06:12:530 +0200,1.3268409,-8.008945,1.9184108,-38.371353,53.45033,12.470929,0.20470135,0.32620513,-0.24718966,insidethepantpocket,standing
10 May 2022 22:06:12:561 +0200,0.34488282,-8.691526,2.184258,-38.371353,53.45033,12.470929,0.20470135,0.32620513,-0.24718966,insidethepantpocket,standing
10 May 2022 22:06:12:604 +0200,-0.43589357,-9.769285,3.1997461,-39.95432,51.81344,7.957315,-0.4839921,-1.3089758,-0.40644673,insidethepantpocket,standing
10 May 2022 22:06:12:642 +0200,-0.8167017,-10.035132,3.523074,-39.95432,51.81344,7.957315,-0.4839921,-1.3089758,-0.40644673,insidethepantpocket,standing
10 May 2022 22:06:12:682 +0200,-0.16286133,-10.770403,2.2297633,-39.95432,51.81344,7.957315,-0.4839921,-1.3089758,-0.40644673,insidethepantpocket,standing
10 May 2022 22:06:12:725 +0200,1.334026,-10.92608,2.6345215,-39.95432,51.81344,7.957315,-0.4839921,-1.3089758,-0.40644673,insidethepantpocket,standing
10 May 2022 22:06:12:767 +0200,2.0357666,-9.759705,3.9972878,-44.329727,51.811176,12.543889,-0.071202144,-0.39125046,0.13683817,insidethepantpocket,standing
10 May 2022 22:06:12:806 +0200,2.0501368,-8.907078,2.7542725,-44.329727,51.811176,12.543889,-0.071202144,-0.39125046,0.13683817,insidethepantpocket,standing
10 May 2022 22:06:12:846 +0200,2.8404932,-8.55501,0.07424561,-44.329727,51.811176,12.543889,-0.071202144,-0.39125046,0.13683817,insidethepantpocket,standing
10 May 2022 22:06:12:886 +0200,2.5099807,-8.734636,-0.014370117,-44.329727,51.811176,12.543889,-0.071202144,-0.39125046,0.13683817,insidethepantpocket,standing
10 May 2022 22:06:12:926 +0200,1.583108,-9.13221,0.8646021,-42.253723,50.958668,14.797313,-0.1084864,-0.23678714,-0.14545691,insidethepantpocket,standing
10 May 2022 22:06:12:967 +0200,0.73048097,-9.481883,1.9758912,-42.253723,50.958668,14.797313,-0.1084864,-0.23678714,-0.14545691,insidethepantpocket,standing
10 May 2022 22:06:13:005 +0200,0.7831714,-9.769285,2.675237,-42.253723,50.958668,14.797313,-0.1084864,-0.23678714,-0.14545691,insidethepantpocket,standing
10 May 2022 22:06:13:042 +0200,1.1208692,-9.386082,2.1770728,-42.253723,50.958668,14.797313,-0.1084864,-0.23678714,-0.14545691,insidethepantpocket,standing
10 May 2022 22:06:13:083 +0200,1.4202466,-9.148975,1.8345851,-41.732193,50.524128,11.506367,0.043313786,0.97388595,0.097423375,insidethepantpocket,standing
10 May 2022 22:06:13:122 +0200,1.3555812,-9.438772,2.318379,-41.732193,50.524128,11.506367,0.043313786,0.97388595,0.097423375,insidethepantpocket,standing
10 May 2022 22:06:13:166 +0200,0.9436377,-9.364527,2.191443,-41.732193,50.524128,11.506367,0.043313786,0.97388595,0.097423375,insidethepantpocket,standing
10 May 2022 22:06:13:207 +0200,0.8765772,-9.127419,1.6381935,-41.732193,50.524128,11.506367,0.043313786,0.97388595,0.097423375,insidethepantpocket,standing
10 May 2022 22:06:13:248 +0200,1.0705738,-9.278306,1.7747096,-42.10261,51.184406,12.061313,0.0033663677,0.271344,-0.034136787,insidethepantpocket,standing
10 May 2022 22:06:13:286 +0200,1.1783496,-9.371712,2.0573218,-42.10261,51.184406,12.061313,0.0033663677,0.271344,-0.034136787,insidethepantpocket,standing
10 May 2022 22:06:13:326 +0200,1.2478052,-9.323812,2.0070264,-42.10261,51.184406,12.061313,0.0033663677,0.271344,-0.034136787,insidethepantpocket,standing
10 May 2022 22:06:13:365 +0200,1.2310401,-9.278306,2.0142114,-42.10261,51.184406,12.061313,0.0033663677,0.271344,-0.034136787,insidethepantpocket,standing
10 May 2022 22:06:13:407 +0200,0.9484278,-9.326206,2.1028273,-40.995163,50.359436,11.969596,0.0140190115,0.27880087,-0.05650734,insidethepantpocket,standing
10 May 2022 22:06:13:447 +0200,0.51013917,-9.369317,1.9734962,-40.995163,50.359436,11.969596,0.0140190115,0.27880087,-0.05650734,insidethepantpocket,standing
10 May 2022 22:06:13:486 +0200,0.46463382,-9.290281,1.8034497,-40.995163,50.359436,11.969596,0.0140190115,0.27880087,-0.05650734,insidethepantpocket,standing
10 May 2022 22:06:13:525 +0200,0.5676197,-9.206455,1.9208057,-40.995163,50.359436,11.969596,0.0140190115,0.27880087,-0.05650734,insidethepantpocket,standing
10 May 2022 22:06:13:567 +0200,0.79035646,-9.352551,2.0070264,-40.82324,52.9565,9.352505,-0.024330508,-0.019473186,0.0153980125,insidethepantpocket,standing
10 May 2022 22:06:13:606 +0200,1.1975098,-9.3453665,1.9423609,-40.82324,52.9565,9.352505,-0.024330508,-0.019473186,0.0153980125,insidethepantpocket,standing
10 May 2022 22:06:13:646 +0200,1.3052857,-9.22801,1.9327809,-40.82324,52.9565,9.352505,-0.024330508,-0.019473186,0.0153980125,insidethepantpocket,standing
10 May 2022 22:06:13:687 +0200,1.0825489,-9.314231,1.8872755,-40.82324,52.9565,9.352505,-0.024330508,-0.019473186,0.0153980125,insidethepantpocket,standing
10 May 2022 22:06:13:726 +0200,0.9867481,-9.283096,1.8872755,-40.82324,52.9565,9.352505,-0.024330508,-0.019473186,0.0153980125,insidethepantpocket,standing
10 May 2022 22:06:13:729 +0200,0.9867481,-9.283096,1.8872755,-42.845078,50.34012,11.176429,0.009225322,-0.17766497,-0.010700965,insidethepantpocket,standing
10 May 2022 22:06:13:764 +0200,0.977168,-9.292676,1.9160157,-42.845078,50.34012,11.176429,0.009225322,-0.17766497,-0.010700965,insidethepantpocket,standing
10 May 2022 22:06:13:807 +0200,1.0202783,-9.383687,1.9926564,-42.845078,50.34012,11.176429,0.009225322,-0.17766497,-0.010700965,insidethepantpocket,standing
10 May 2022 22:06:13:846 +0200,1.1543995,-9.326206,1.9878663,-42.845078,50.34012,11.176429,0.009225322,-0.17766497,-0.010700965,insidethepantpocket,standing
10 May 2022 22:06:13:888 +0200,1.336421,-9.223221,1.9016455,-40.97574,50.73266,10.236081,0.03266114,-0.17020811,0.035638038,insidethepantpocket,standing
10 May 2022 22:06:13:925 +0200,1.3555812,-9.285491,1.9351759,-40.97574,50.73266,10.236081,0.03266114,-0.17020811,0.035638038,insidethepantpocket,standing
10 May 2022 22:06:13:962 +0200,1.2645704,-9.292676,1.9447559,-40.97574,50.73266,10.236081,0.03266114,-0.17020811,0.035638038,insidethepantpocket,standing
10 May 2022 22:06:14:003 +0200,1.2166699,-9.273516,1.8896705,-40.97574,50.73266,10.236081,0.03266114,-0.17020811,0.035638038,insidethepantpocket,standing
