date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:05:59:860 +0200,0.10120897,-9.8753605,-0.80967176,-0.76875,43.518753,1.9312501,0.0013315794,0.06484792,-0.013049478,insidethepantpocket,standing
10 May 2022 22:05:59:911 +0200,0.10120897,-9.8753605,-0.80967176,-1.125,42.1875,1.21875,0.0013315794,0.06484792,-0.013049478,insidethepantpocket,standing
10 May 2022 22:06:00:023 +0200,0.10120897,-9.8753605,-0.80967176,-1.125,42.1875,1.21875,-0.013715268,-0.06644581,0.0035952644,insidethepantpocket,standing
10 May 2022 22:06:00:099 +0200,-0.0011977393,-9.846016,-0.7378074,-1.125,42.1875,1.21875,-0.013715268,-0.06644581,0.0035952644,insidethepantpocket,standing
10 May 2022 22:06:00:109 +0200,-0.0011977393,-9.846016,-0.7378074,-0.975,42.35625,1.6125001,-0.013715268,-0.06644581,0.0035952644,insidethepantpocket,standing
10 May 2022 22:06:00:202 +0200,-0.0011977393,-9.846016,-0.7378074,-0.975,42.35625,1.6125001,-0.033955276,-0.29973853,0.024501061,insidethepantpocket,standing
10 May 2022 22:06:00:284 +0200,-0.27667776,-9.7765465,-0.98514056,-0.975,42.35625,1.6125001,-0.033955276,-0.29973853,0.024501061,insidethepantpocket,standing
10 May 2022 22:06:00:313 +0200,-0.27667776,-9.7765465,-0.98514056,-0.4875,42.43125,0.91875005,-0.033955276,-0.29973853,0.024501061,insidethepantpocket,standing
10 May 2022 22:06:00:364 +0200,-0.27667776,-9.7765465,-0.98514056,-0.4875,42.43125,0.91875005,-0.015845794,-0.44634542,0.009986846,insidethepantpocket,standing
10 May 2022 22:06:00:459 +0200,-0.6964854,-9.775349,-1.0929371,-0.4875,42.43125,0.91875005,-0.015845794,-0.44634542,0.009986846,insidethepantpocket,standing
10 May 2022 22:06:00:509 +0200,-0.6964854,-9.775349,-1.0929371,-2.25,42.3375,1.2,-0.015845794,-0.44634542,0.009986846,insidethepantpocket,standing
10 May 2022 22:06:00:623 +0200,-0.6964854,-9.775349,-1.0929371,-2.25,42.3375,1.2,-0.0037284223,0.024234746,0.047137912,insidethepantpocket,standing
10 May 2022 22:06:00:707 +0200,-0.6964854,-9.775349,-1.0929371,-1.7437501,41.9625,1.5187501,-0.0037284223,0.024234746,0.047137912,insidethepantpocket,standing
10 May 2022 22:06:00:720 +0200,-0.24793203,-9.823258,-0.8899203,-1.7437501,41.9625,1.5187501,-0.0037284223,0.024234746,0.047137912,insidethepantpocket,standing
10 May 2022 22:06:00:806 +0200,-0.24793203,-9.823258,-0.8899203,-1.7437501,41.9625,1.5187501,-0.0049268436,-0.057257913,0.020106848,insidethepantpocket,standing
10 May 2022 22:06:00:880 +0200,-0.74080175,-9.747801,-0.9911292,-1.7437501,41.9625,1.5187501,-0.0049268436,-0.057257913,0.020106848,insidethepantpocket,standing
10 May 2022 22:06:00:913 +0200,-0.74080175,-9.747801,-0.9911292,-2.60625,41.943752,1.0500001,-0.0049268436,-0.057257913,0.020106848,insidethepantpocket,standing
10 May 2022 22:06:00:989 +0200,-0.74080175,-9.747801,-0.9911292,-2.60625,41.943752,1.0500001,0.02902843,0.045007385,-0.035819486,insidethepantpocket,standing
10 May 2022 22:06:01:069 +0200,-0.44795448,-9.774151,-0.99951345,-2.60625,41.943752,1.0500001,0.02902843,0.045007385,-0.035819486,insidethepantpocket,standing
10 May 2022 22:06:01:111 +0200,-0.44795448,-9.774151,-0.99951345,-3.0375001,42.412502,0.73125005,0.02902843,0.045007385,-0.035819486,insidethepantpocket,standing
10 May 2022 22:06:01:166 +0200,-0.44795448,-9.774151,-0.99951345,-3.0375001,42.412502,0.73125005,0.046072647,0.10652635,-0.060453705,insidethepantpocket,standing
