date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:27:38:160 +0200,2.7015822,-9.235196,-0.76880133,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:199 +0200,2.7087672,-9.1849,-0.852627,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:206 +0200,2.7111623,-9.177715,-0.8334668,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:210 +0200,2.7015822,-9.204061,-0.87418216,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:218 +0200,2.6967921,-9.220825,-0.86220706,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:228 +0200,2.7135572,-9.239985,-0.8430469,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:239 +0200,2.7327175,-9.254355,-0.83586186,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:248 +0200,2.7590625,-9.254355,-0.8167017,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:260 +0200,2.7662477,-9.22801,-0.79035646,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:272 +0200,2.804568,-9.19927,-0.7879615,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:279 +0200,2.811753,-9.1849,-0.79035646,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:289 +0200,2.806963,-9.17053,-0.7927515,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:303 +0200,2.8692336,-9.137,-0.79754156,1.4898624,35.185097,-4.300106,0.012548555,0.0067748763,-0.0132572185,insidethepantpocket,standing
10 May 2022 22:27:38:314 +0200,2.8572583,-9.153765,-0.7711963,1.729044,34.008156,-4.5661488,-0.018344115,0.031808592,-0.0026045744,insidethepantpocket,standing
