date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:27:44:001 +0200,-0.4981641,-9.237591,-2.5962012,-20.57495,33.066277,49.149246,0.00869269,0.07373746,0.010604322,insidethepantpocket,standing
10 May 2022 22:27:44:041 +0200,-0.58198977,-9.237591,-2.543511,-20.57495,33.066277,49.149246,0.00869269,0.07373746,0.010604322,insidethepantpocket,standing
10 May 2022 22:27:44:081 +0200,-0.6179151,-9.223221,-2.572251,-20.704414,30.890682,47.582115,0.00869269,0.07373746,0.010604322,insidethepantpocket,standing
10 May 2022 22:27:44:084 +0200,-0.6179151,-9.223221,-2.572251,-20.704414,30.890682,47.582115,0.016149541,0.0071584256,0.0020822068,insidethepantpocket,standing
10 May 2022 22:27:44:121 +0200,-0.61073,-9.259146,-2.5698562,-20.704414,30.890682,47.582115,0.016149541,0.0071584256,0.0020822068,insidethepantpocket,standing
10 May 2022 22:27:44:164 +0200,-0.60354495,-9.295072,-2.5578809,-20.704414,30.890682,47.582115,0.016149541,0.0071584256,0.0020822068,insidethepantpocket,standing
10 May 2022 22:27:44:204 +0200,-0.49097902,-9.261541,-2.5842261,-20.704414,30.890682,47.582115,0.016149541,0.0071584256,0.0020822068,insidethepantpocket,standing
10 May 2022 22:27:44:245 +0200,-0.47900394,-9.251961,-2.5027955,-21.303846,33.247997,47.821064,-0.012079966,0.0151479095,-0.0053746444,insidethepantpocket,standing
10 May 2022 22:27:44:284 +0200,-0.5604346,-9.237591,-2.4333398,-21.303846,33.247997,47.821064,-0.012079966,0.0151479095,-0.0053746444,insidethepantpocket,standing
10 May 2022 22:27:44:324 +0200,-0.6514453,-9.285491,-2.3878345,-21.303846,33.247997,47.821064,-0.012079966,0.0151479095,-0.0053746444,insidethepantpocket,standing
10 May 2022 22:27:44:364 +0200,-0.6514453,-9.268726,-2.3902297,-21.303846,33.247997,47.821064,-0.012079966,0.0151479095,-0.0053746444,insidethepantpocket,standing
10 May 2022 22:27:44:405 +0200,-0.5963599,-9.271121,-2.459685,-20.197523,32.586937,48.015858,-0.0040904833,0.067345865,-4.8322137E-5,insidethepantpocket,standing
10 May 2022 22:27:44:444 +0200,-0.55324954,-9.244776,-2.5291407,-20.197523,32.586937,48.015858,-0.0040904833,0.067345865,-4.8322137E-5,insidethepantpocket,standing
10 May 2022 22:27:44:484 +0200,-0.51013917,-9.266331,-2.5818312,-20.197523,32.586937,48.015858,-0.0040904833,0.067345865,-4.8322137E-5,insidethepantpocket,standing
10 May 2022 22:27:44:524 +0200,-0.43110353,-9.251961,-2.6393116,-20.197523,32.586937,48.015858,-0.0040904833,0.067345865,-4.8322137E-5,insidethepantpocket,standing
10 May 2022 22:27:44:562 +0200,-0.43110353,-9.251961,-2.6393116,-21.080256,31.539606,48.713703,-0.0040904833,0.067345865,-4.8322137E-5,insidethepantpocket,standing
10 May 2022 22:27:44:565 +0200,-0.36883304,-9.21364,-2.6536818,-21.080256,31.539606,48.713703,-0.018471554,0.08865116,0.0042127357,insidethepantpocket,standing
10 May 2022 22:27:44:601 +0200,-0.3424878,-9.2256155,-2.6369166,-21.080256,31.539606,48.713703,-0.018471554,0.08865116,0.0042127357,insidethepantpocket,standing
10 May 2022 22:27:44:644 +0200,-0.34009278,-9.235196,-2.6417067,-21.080256,31.539606,48.713703,-0.018471554,0.08865116,0.0042127357,insidethepantpocket,standing
10 May 2022 22:27:44:685 +0200,-0.34967285,-9.230406,-2.5818312,-21.080256,31.539606,48.713703,-0.018471554,0.08865116,0.0042127357,insidethepantpocket,standing
10 May 2022 22:27:44:725 +0200,-0.3424878,-9.2184305,-2.5411158,-21.570164,32.37291,48.9737,-0.019536817,0.027931081,-0.0048420117,insidethepantpocket,standing
10 May 2022 22:27:44:764 +0200,-0.34967285,-9.206455,-2.562671,-21.570164,32.37291,48.9737,-0.019536817,0.027931081,-0.0048420117,insidethepantpocket,standing
10 May 2022 22:27:44:806 +0200,-0.3281177,-9.201666,-2.6009912,-21.570164,32.37291,48.9737,-0.019536817,0.027931081,-0.0048420117,insidethepantpocket,standing
10 May 2022 22:27:44:844 +0200,-0.28979737,-9.261541,-2.6369166,-21.570164,32.37291,48.9737,-0.019536817,0.027931081,-0.0048420117,insidethepantpocket,standing
10 May 2022 22:27:44:887 +0200,-0.32093263,-9.230406,-2.684817,-22.552498,32.205322,47.927795,0.016682174,-0.064746924,-0.011233598,insidethepantpocket,standing
10 May 2022 22:27:44:923 +0200,-0.4143384,-9.208851,-2.6608667,-22.552498,32.205322,47.927795,0.016682174,-0.064746924,-0.011233598,insidethepantpocket,standing
10 May 2022 22:27:44:964 +0200,-0.45984375,-9.263936,-2.6297317,-22.552498,32.205322,47.927795,0.016682174,-0.064746924,-0.011233598,insidethepantpocket,standing
10 May 2022 22:27:45:005 +0200,-0.5628296,-9.299861,-2.5459058,-22.552498,32.205322,47.927795,0.016682174,-0.064746924,-0.011233598,insidethepantpocket,standing
10 May 2022 22:27:45:047 +0200,-0.53169435,-9.2328005,-2.5051906,-21.05245,33.09424,47.255882,-0.02006945,-0.018407922,-0.0075051733,insidethepantpocket,standing
10 May 2022 22:27:45:086 +0200,-0.39278322,-9.211246,-2.5315359,-21.05245,33.09424,47.255882,-0.02006945,-0.018407922,-0.0075051733,insidethepantpocket,standing
10 May 2022 22:27:45:126 +0200,-0.31853762,-9.242381,-2.5985963,-21.05245,33.09424,47.255882,-0.02006945,-0.018407922,-0.0075051733,insidethepantpocket,standing
10 May 2022 22:27:45:165 +0200,-0.3161426,-9.235196,-2.6105714,-21.05245,33.09424,47.255882,-0.02006945,-0.018407922,-0.0075051733,insidethepantpocket,standing
10 May 2022 22:27:45:206 +0200,-0.3544629,-9.206455,-2.6297317,-20.825218,33.056133,49.427914,0.005496897,-0.07326904,-0.0032441155,insidethepantpocket,standing
10 May 2022 22:27:45:245 +0200,-0.39517823,-9.19927,-2.699187,-20.825218,33.056133,49.427914,0.005496897,-0.07326904,-0.0032441155,insidethepantpocket,standing
10 May 2022 22:27:45:286 +0200,-0.44786867,-9.237591,-2.703977,-20.825218,33.056133,49.427914,0.005496897,-0.07326904,-0.0032441155,insidethepantpocket,standing
10 May 2022 22:27:45:325 +0200,-0.5292993,-9.261541,-2.6464968,-20.825218,33.056133,49.427914,0.005496897,-0.07326904,-0.0032441155,insidethepantpocket,standing
10 May 2022 22:27:45:365 +0200,-0.58677983,-9.249566,-2.6273365,-21.564955,33.21515,49.253006,0.0033663677,-0.08818274,-0.009635702,insidethepantpocket,standing
10 May 2022 22:27:45:404 +0200,-0.6442603,-9.235196,-2.565066,-21.564955,33.21515,49.253006,0.0033663677,-0.08818274,-0.009635702,insidethepantpocket,standing
10 May 2022 22:27:45:455 +0200,-0.5484595,-9.216036,-2.5411158,-21.564955,33.21515,49.253006,0.0033663677,-0.08818274,-0.009635702,insidethepantpocket,standing
10 May 2022 22:27:45:482 +0200,-0.51732427,-9.235196,-2.5219557,-21.564955,33.21515,49.253006,0.0033663677,-0.08818274,-0.009635702,insidethepantpocket,standing
10 May 2022 22:27:45:522 +0200,-0.51732427,-9.235196,-2.5219557,-21.435774,32.231106,47.6829,0.0033663677,-0.08818274,-0.009635702,insidethepantpocket,standing
10 May 2022 22:27:45:525 +0200,-0.5221143,-9.235196,-2.5171657,-21.435774,32.231106,47.6829,0.0081600575,-0.010418437,0.009539058,insidethepantpocket,standing
10 May 2022 22:27:45:564 +0200,-0.50774413,-9.24717,-2.5195606,-21.435774,32.231106,47.6829,0.0081600575,-0.010418437,0.009539058,insidethepantpocket,standing
10 May 2022 22:27:45:605 +0200,-0.55324954,-9.237591,-2.5578809,-21.435774,32.231106,47.6829,0.0081600575,-0.010418437,0.009539058,insidethepantpocket,standing
10 May 2022 22:27:45:644 +0200,-0.59156984,-9.256751,-2.562671,-21.435774,32.231106,47.6829,0.0081600575,-0.010418437,0.009539058,insidethepantpocket,standing
10 May 2022 22:27:45:687 +0200,-0.62031007,-9.278306,-2.5363257,-22.428242,33.53868,49.215622,0.0012358387,0.009288955,0.002614839,insidethepantpocket,standing
10 May 2022 22:27:45:726 +0200,-0.6394702,-9.21364,-2.562671,-22.428242,33.53868,49.215622,0.0012358387,0.009288955,0.002614839,insidethepantpocket,standing
10 May 2022 22:27:45:766 +0200,-0.5843848,-9.208851,-2.5890162,-22.428242,33.53868,49.215622,0.0012358387,0.009288955,0.002614839,insidethepantpocket,standing
10 May 2022 22:27:45:805 +0200,-0.57719976,-9.239985,-2.5842261,-22.428242,33.53868,49.215622,0.0012358387,0.009288955,0.002614839,insidethepantpocket,standing
10 May 2022 22:27:45:845 +0200,-0.5364844,-9.235196,-2.6464968,-20.211092,31.56092,48.459156,0.0012358387,0.009288955,0.002614839,insidethepantpocket,standing
10 May 2022 22:27:45:848 +0200,-0.5364844,-9.235196,-2.6464968,-20.211092,31.56092,48.459156,0.010823219,0.02739845,0.009006426,insidethepantpocket,standing
10 May 2022 22:27:45:885 +0200,-0.4622388,-9.2184305,-2.6656568,-20.211092,31.56092,48.459156,0.010823219,0.02739845,0.009006426,insidethepantpocket,standing
10 May 2022 22:27:45:926 +0200,-0.43349856,-9.216036,-2.6488917,-20.211092,31.56092,48.459156,0.010823219,0.02739845,0.009006426,insidethepantpocket,standing
10 May 2022 22:27:45:966 +0200,-0.42870852,-9.256751,-2.6249416,-20.211092,31.56092,48.459156,0.010823219,0.02739845,0.009006426,insidethepantpocket,standing
10 May 2022 22:27:46:007 +0200,-0.52690434,-9.259146,-2.5099807,-20.332619,31.230871,47.881306,-0.009949438,0.0028973678,-0.0037767482,insidethepantpocket,standing
10 May 2022 22:27:46:045 +0200,-0.62749517,-9.256751,-2.4213648,-20.332619,31.230871,47.881306,-0.009949438,0.0028973678,-0.0037767482,insidethepantpocket,standing
10 May 2022 22:27:46:086 +0200,-0.5963599,-9.230406,-2.44771,-20.332619,31.230871,47.881306,-0.009949438,0.0028973678,-0.0037767482,insidethepantpocket,standing
