date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:26:06:950 +0200,2.3327491,-2.2273684,9.139395,-18.345531,10.48858,-26.144278,-0.03805151,-6.8197586E-4,-0.040421464,insidethepantpocket,sitting
10 May 2022 22:26:06:980 +0200,2.2704787,-2.2297633,9.043594,-18.345531,10.48858,-26.144278,-0.03805151,-6.8197586E-4,-0.040421464,insidethepantpocket,sitting
10 May 2022 22:26:06:985 +0200,2.2201831,-2.2393434,9.108259,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:06:991 +0200,2.186653,-2.2177882,9.187295,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:06:999 +0200,2.1746778,-2.198628,9.2184305,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:009 +0200,2.2297633,-2.2129982,9.22801,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:019 +0200,2.318379,-2.2465284,9.22801,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:029 +0200,2.3662794,-2.2776637,9.235196,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:039 +0200,2.3566992,-2.2872438,9.220825,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:049 +0200,2.3471193,-2.3135889,9.196876,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:060 +0200,2.3974147,-2.3135889,9.220825,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
10 May 2022 22:26:07:070 +0200,2.42855,-2.3375392,9.206455,-17.559021,11.923924,-29.445414,-0.017811483,0.015829625,-0.034029875,insidethepantpocket,sitting
