date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:34:51:070 +0200,-0.74724615,-11.58471,-4.8666797,-23.643795,41.586452,7.122162,-2.001994,0.89931744,0.48251647,insidethepantpocket,walking
10 May 2022 22:34:51:098 +0200,0.7831714,-13.37858,2.1698878,-23.643795,41.586452,7.122162,-2.001994,0.89931744,0.48251647,insidethepantpocket,walking
10 May 2022 22:34:51:138 +0200,3.2859669,-17.886007,4.5744877,-23.643795,41.586452,7.122162,-2.001994,0.89931744,0.48251647,insidethepantpocket,walking
10 May 2022 22:34:51:181 +0200,1.1975098,-12.83491,-4.5313773,-23.643795,41.586452,7.122162,-2.001994,0.89931744,0.48251647,insidethepantpocket,walking
10 May 2022 22:34:51:222 +0200,1.4034815,-4.9145803,-1.9040406,-22.84623,40.626457,13.652103,-1.3457911,0.11528277,1.5973157,insidethepantpocket,walking
10 May 2022 22:34:51:261 +0200,4.605623,-4.3349857,1.0083033,-22.84623,40.626457,13.652103,-1.3457911,0.11528277,1.5973157,insidethepantpocket,walking
10 May 2022 22:34:51:301 +0200,3.297942,-7.213799,1.0202783,-22.84623,40.626457,13.652103,-1.3457911,0.11528277,1.5973157,insidethepantpocket,walking
10 May 2022 22:34:51:340 +0200,2.299219,-6.6030693,0.5484595,-22.84623,40.626457,13.652103,-1.3457911,0.11528277,1.5973157,insidethepantpocket,walking
10 May 2022 22:34:51:381 +0200,2.7542725,-4.272715,-1.5495777,-22.84623,40.626457,13.652103,0.10509913,-0.1286628,0.33018366,insidethepantpocket,walking
10 May 2022 22:34:51:385 +0200,2.7542725,-4.272715,-1.5495777,-19.83419,39.67829,21.710484,0.10509913,-0.1286628,0.33018366,insidethepantpocket,walking
10 May 2022 22:34:51:422 +0200,1.587898,-5.8342676,-4.5768824,-19.83419,39.67829,21.710484,0.10509913,-0.1286628,0.33018366,insidethepantpocket,walking
10 May 2022 22:34:51:461 +0200,-1.0681788,-8.370594,-5.721702,-19.83419,39.67829,21.710484,0.10509913,-0.1286628,0.33018366,insidethepantpocket,walking
10 May 2022 22:34:51:500 +0200,-1.1400293,-13.6851425,-8.183782,-19.83419,39.67829,21.710484,0.10509913,-0.1286628,0.33018366,insidethepantpocket,walking
10 May 2022 22:34:51:537 +0200,-0.040715333,-11.840977,-8.653206,-20.221592,37.80901,21.571697,0.39804685,0.58133596,0.20714562,insidethepantpocket,walking
10 May 2022 22:34:51:576 +0200,3.781736,-6.5312185,-4.018843,-20.221592,37.80901,21.571697,0.39804685,0.58133596,0.20714562,insidethepantpocket,walking
10 May 2022 22:34:51:616 +0200,5.9180937,-11.318863,0.85741705,-20.221592,37.80901,21.571697,0.39804685,0.58133596,0.20714562,insidethepantpocket,walking
10 May 2022 22:34:51:659 +0200,4.727769,-16.065792,-1.4202466,-20.221592,37.80901,21.571697,0.39804685,0.58133596,0.20714562,insidethepantpocket,walking
10 May 2022 22:34:51:702 +0200,1.3795313,-7.558682,-1.1711646,-20.130527,41.158806,15.050278,-0.27147186,-1.0858029,-0.7862135,insidethepantpocket,walking
10 May 2022 22:34:51:741 +0200,0.62749517,-4.6846585,2.8788135,-20.130527,41.158806,15.050278,-0.27147186,-1.0858029,-0.7862135,insidethepantpocket,walking
10 May 2022 22:34:51:781 +0200,-0.6610254,-9.939331,1.9399658,-20.130527,41.158806,15.050278,-0.27147186,-1.0858029,-0.7862135,insidethepantpocket,walking
10 May 2022 22:34:51:822 +0200,-1.1807446,-12.612173,1.468147,-20.130527,41.158806,15.050278,-0.27147186,-1.0858029,-0.7862135,insidethepantpocket,walking
10 May 2022 22:34:51:862 +0200,-0.31853762,-9.10347,0.69695073,-20.130527,41.158806,15.050278,0.5775439,-0.16062073,-0.0937916,insidethepantpocket,walking
10 May 2022 22:34:51:865 +0200,-0.31853762,-9.10347,0.69695073,-23.347683,39.939186,13.640018,0.5775439,-0.16062073,-0.0937916,insidethepantpocket,walking
10 May 2022 22:34:51:900 +0200,-1.5950831,-8.279583,-1.2717555,-23.347683,39.939186,13.640018,0.5775439,-0.16062073,-0.0937916,insidethepantpocket,walking
10 May 2022 22:34:51:938 +0200,-0.59156984,-9.625584,-5.43909,-23.347683,39.939186,13.640018,0.5775439,-0.16062073,-0.0937916,insidethepantpocket,walking
10 May 2022 22:34:51:981 +0200,0.5939649,-9.81,-3.03928,-23.347683,39.939186,13.640018,0.5775439,-0.16062073,-0.0937916,insidethepantpocket,walking
10 May 2022 22:34:52:023 +0200,0.6514453,-9.093889,-0.62989014,-23.347683,39.939186,13.640018,-0.05096212,0.5930539,-0.07355157,insidethepantpocket,walking
10 May 2022 22:34:52:026 +0200,0.6514453,-9.093889,-0.62989014,-23.924362,39.185112,8.291035,-0.05096212,0.5930539,-0.07355157,insidethepantpocket,walking
10 May 2022 22:34:52:061 +0200,1.0705738,-9.002879,0.0023950196,-23.924362,39.185112,8.291035,-0.05096212,0.5930539,-0.07355157,insidethepantpocket,walking
10 May 2022 22:34:52:102 +0200,0.95561284,-9.517808,0.4406836,-23.924362,39.185112,8.291035,-0.05096212,0.5930539,-0.07355157,insidethepantpocket,walking
10 May 2022 22:34:52:143 +0200,0.39517823,-10.708133,-0.7711963,-23.924362,39.185112,8.291035,-0.05096212,0.5930539,-0.07355157,insidethepantpocket,walking
10 May 2022 22:34:52:182 +0200,-1.1759547,-10.746453,-2.4692652,-22.202503,40.02457,10.36779,0.46089745,-0.4775369,-0.5172342,insidethepantpocket,walking
10 May 2022 22:34:52:223 +0200,-3.1255007,-10.581197,-4.014053,-22.202503,40.02457,10.36779,0.46089745,-0.4775369,-0.5172342,insidethepantpocket,walking
10 May 2022 22:34:52:261 +0200,-3.5039136,-12.25771,-3.9398074,-22.202503,40.02457,10.36779,0.46089745,-0.4775369,-0.5172342,insidethepantpocket,walking
10 May 2022 22:34:52:301 +0200,-0.69216067,-13.287569,-3.4440382,-22.202503,40.02457,10.36779,0.46089745,-0.4775369,-0.5172342,insidethepantpocket,walking
10 May 2022 22:34:52:344 +0200,1.7244141,-11.524835,0.3305127,-23.064651,41.181824,11.042191,-2.5351586,1.7680405,0.6433714,insidethepantpocket,walking
10 May 2022 22:34:52:383 +0200,2.9003687,-9.74773,4.670288,-23.064651,41.181824,11.042191,-2.5351586,1.7680405,0.6433714,insidethepantpocket,walking
10 May 2022 22:34:52:422 +0200,2.9027638,-12.1235895,-1.9758912,-23.064651,41.181824,11.042191,-2.5351586,1.7680405,0.6433714,insidethepantpocket,walking
10 May 2022 22:34:52:462 +0200,1.219065,-10.626702,-3.9613624,-23.064651,41.181824,11.042191,-2.5351586,1.7680405,0.6433714,insidethepantpocket,walking
10 May 2022 22:34:52:502 +0200,1.22146,-7.6305327,0.63707525,-23.064651,41.181824,11.042191,-2.5351586,1.7680405,0.6433714,insidethepantpocket,walking
10 May 2022 22:34:52:506 +0200,1.22146,-7.6305327,0.63707525,-22.885086,39.88001,17.119137,-1.3628353,3.5848489,0.64709985,insidethepantpocket,walking
10 May 2022 22:34:52:539 +0200,2.6177564,-7.3000197,0.22752686,-22.885086,39.88001,17.119137,-1.3628353,3.5848489,0.64709985,insidethepantpocket,walking
10 May 2022 22:34:52:581 +0200,2.5914114,-7.3718705,-0.19878663,-22.885086,39.88001,17.119137,-1.3628353,3.5848489,0.64709985,insidethepantpocket,walking
10 May 2022 22:34:52:621 +0200,3.2260914,-4.991221,-0.75203615,-22.885086,39.88001,17.119137,-1.3628353,3.5848489,0.64709985,insidethepantpocket,walking
10 May 2022 22:34:52:664 +0200,3.1494508,-3.8511915,-1.947151,-20.215275,37.48971,20.566193,0.24251823,0.23832081,0.14056659,insidethepantpocket,walking
10 May 2022 22:34:52:703 +0200,0.40715334,-6.0378447,-3.319497,-20.215275,37.48971,20.566193,0.24251823,0.23832081,0.14056659,insidethepantpocket,walking
10 May 2022 22:34:52:743 +0200,-1.1735597,-9.5561285,-5.5875807,-20.215275,37.48971,20.566193,0.24251823,0.23832081,0.14056659,insidethepantpocket,walking
10 May 2022 22:34:52:781 +0200,-1.8082398,-14.537769,-8.919053,-20.215275,37.48971,20.566193,0.24251823,0.23832081,0.14056659,insidethepantpocket,walking
10 May 2022 22:34:52:823 +0200,-0.79754156,-11.400293,-8.442444,-20.215275,37.48971,20.566193,0.1013707,-0.089780636,0.32645524,insidethepantpocket,walking
10 May 2022 22:34:52:826 +0200,-0.79754156,-11.400293,-8.442444,-20.709713,37.981014,20.973953,0.1013707,-0.089780636,0.32645524,insidethepantpocket,walking
10 May 2022 22:34:52:864 +0200,3.3793726,-7.350315,-3.2476466,-20.709713,37.981014,20.973953,0.1013707,-0.089780636,0.32645524,insidethepantpocket,walking
