date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:42:42:799 +0200,-1.635513,-1.667253,-9.423813,-25.087502,31.9125,28.2,0.03155843,-0.09494161,0.09787109,insidethepantpocket,sitting
10 May 2022 14:42:42:848 +0200,-1.6133548,-1.9475241,-9.54718,-25.087502,31.9125,28.2,0.058589496,-0.014780532,-0.013448952,insidethepantpocket,sitting
10 May 2022 14:42:42:997 +0200,-1.6133548,-1.9475241,-9.54718,-25.312502,31.893751,28.10625,0.058589496,-0.014780532,-0.013448952,insidethepantpocket,sitting
10 May 2022 14:42:43:085 +0200,-1.3480556,-1.9175806,-9.483101,-25.312502,31.893751,28.10625,0.030226853,0.03542001,-0.005992107,insidethepantpocket,sitting
10 May 2022 14:42:43:195 +0200,-1.3480556,-1.9175806,-9.483101,-25.575,32.4,27.6,0.030226853,0.03542001,-0.005992107,insidethepantpocket,sitting
10 May 2022 14:42:43:251 +0200,-1.5283153,-2.2158177,-9.508253,-25.575,32.4,27.6,-0.007856319,-0.017710006,2.6631588E-4,insidethepantpocket,sitting
10 May 2022 14:42:43:397 +0200,-1.5283153,-2.2158177,-9.508253,-25.725,31.9125,28.0125,-0.007856319,-0.017710006,2.6631588E-4,insidethepantpocket,sitting
10 May 2022 14:42:43:426 +0200,-1.5163379,-1.9918404,-9.473518,-25.725,31.9125,28.0125,-0.007856319,-0.017710006,2.6631588E-4,insidethepantpocket,sitting
10 May 2022 14:42:43:452 +0200,-1.5163379,-1.9918404,-9.473518,-25.725,31.9125,28.0125,-0.017044216,0.040879488,0.02197106,insidethepantpocket,sitting
10 May 2022 14:42:43:592 +0200,-1.5163379,-1.9918404,-9.473518,-25.44375,31.612501,28.35,-0.017044216,0.040879488,0.02197106,insidethepantpocket,sitting
10 May 2022 14:42:43:689 +0200,-1.2558296,-1.9858518,-9.5364,-25.44375,31.612501,28.35,0.008522108,0.054062124,-0.023702113,insidethepantpocket,sitting
