date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:21:45:398 +0200,-0.4047583,3.173401,9.328602,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:414 +0200,-0.37122804,3.187771,9.642349,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:420 +0200,-0.39517823,3.178191,9.730965,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:428 +0200,-0.4406836,3.1853762,9.671089,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:438 +0200,-0.4167334,3.2260914,9.474698,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:448 +0200,-0.3879932,3.2213013,9.22801,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:458 +0200,-0.3903882,3.2284865,9.053174,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:468 +0200,-0.3784131,3.2308815,9.06994,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:478 +0200,-0.364043,3.2739918,9.299861,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:488 +0200,-0.3305127,3.2596216,9.460327,-14.938782,-8.859406,-39.062588,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:498 +0200,-0.3305127,3.2596216,9.460327,-16.06388,-10.066594,-39.093388,0.094573915,-0.26326966,-0.081434146,beingusedinhand,standing
10 May 2022 22:21:45:500 +0200,-0.33530274,3.2236965,9.553733,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:511 +0200,-0.4047583,3.178191,9.575289,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:520 +0200,-0.44547364,3.151846,9.5489435,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:532 +0200,-0.4406836,3.1494508,9.575289,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:542 +0200,-0.3879932,3.180586,9.611214,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:550 +0200,-0.33530274,3.2045362,9.592053,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:559 +0200,-0.28979737,3.1853762,9.513018,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:575 +0200,-0.31374758,3.159031,9.467513,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:579 +0200,-0.3065625,3.1542408,9.522598,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:591 +0200,-0.34488282,3.1207106,9.620794,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:603 +0200,-0.3784131,3.04886,9.692644,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:610 +0200,-0.43349856,2.9889846,9.726174,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:621 +0200,-0.49576905,2.936294,9.7740755,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:634 +0200,-0.5484595,2.9602442,9.857901,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:641 +0200,-0.5412744,2.9530592,9.7812605,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:652 +0200,-0.5340894,2.9051588,9.683064,-16.06388,-10.066594,-39.093388,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:660 +0200,-0.5340894,2.9051588,9.683064,-16.932343,-8.59004,-37.413486,0.021603301,-0.1828422,-0.09847838,beingusedinhand,standing
10 May 2022 22:21:45:663 +0200,-0.5724097,2.9722195,9.5633135,-16.932343,-8.59004,-37.413486,-0.005560942,0.012633832,-0.03562777,beingusedinhand,standing
