date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:21:51:300 +0200,0.4766089,3.6811452,9.726174,-57.593765,-2.9439058,-0.20548081,0.12906757,-0.23785241,0.22578774,beingusedinhand,standing
10 May 2022 22:21:51:341 +0200,0.53169435,3.4967287,9.429193,-57.593765,-2.9439058,-0.20548081,0.12906757,-0.23785241,0.22578774,beingusedinhand,standing
10 May 2022 22:21:51:380 +0200,0.7448511,3.4895437,9.153765,-57.593765,-2.9439058,-0.20548081,0.12906757,-0.23785241,0.22578774,beingusedinhand,standing
10 May 2022 22:21:51:423 +0200,1.710044,3.1374757,8.672366,-57.593765,-2.9439058,-0.20548081,0.005496897,-0.19737236,0.27265936,beingusedinhand,standing
10 May 2022 22:21:51:424 +0200,1.710044,3.1374757,8.672366,-53.170536,-7.0888734,-0.70749223,0.005496897,-0.19737236,0.27265936,beingusedinhand,standing
10 May 2022 22:21:51:463 +0200,1.8058448,3.1350808,8.56459,-53.170536,-7.0888734,-0.70749223,0.005496897,-0.19737236,0.27265936,beingusedinhand,standing
10 May 2022 22:21:51:503 +0200,1.2070899,3.2117214,9.362132,-53.170536,-7.0888734,-0.70749223,0.005496897,-0.19737236,0.27265936,beingusedinhand,standing
10 May 2022 22:21:51:543 +0200,1.3148658,2.794988,10.042317,-53.170536,-7.0888734,-0.70749223,0.005496897,-0.19737236,0.27265936,beingusedinhand,standing
10 May 2022 22:21:51:582 +0200,1.2957057,2.8404932,10.097403,-53.170536,-7.0888734,-0.70749223,-0.2256655,-0.16701232,-0.32655188,beingusedinhand,standing
10 May 2022 22:21:51:584 +0200,1.2957057,2.8404932,10.097403,-55.483204,-3.225229,-1.1289643,-0.2256655,-0.16701232,-0.32655188,beingusedinhand,standing
10 May 2022 22:21:51:623 +0200,1.223855,2.9003687,10.195599,-55.483204,-3.225229,-1.1289643,-0.2256655,-0.16701232,-0.32655188,beingusedinhand,standing
10 May 2022 22:21:51:664 +0200,0.9148975,3.3554225,9.80521,-55.483204,-3.225229,-1.1289643,-0.2256655,-0.16701232,-0.32655188,beingusedinhand,standing
10 May 2022 22:21:51:704 +0200,0.9580079,3.3242872,9.1849,-55.483204,-3.225229,-1.1289643,-0.2256655,-0.16701232,-0.32655188,beingusedinhand,standing
10 May 2022 22:21:51:742 +0200,0.51732427,3.6452198,9.433982,-55.483204,-3.225229,-1.1289643,-0.2256655,-0.16701232,-0.32655188,beingusedinhand,standing
10 May 2022 22:21:51:744 +0200,0.51732427,3.6452198,9.433982,-56.088284,-1.0460083,-0.45574045,-0.012079966,0.05988902,-0.2178949,beingusedinhand,standing
10 May 2022 22:21:51:782 +0200,0.2203418,3.5685792,9.867481,-56.088284,-1.0460083,-0.45574045,-0.012079966,0.05988902,-0.2178949,beingusedinhand,standing
10 May 2022 22:21:51:821 +0200,0.81909674,3.3458424,9.582474,-56.088284,-1.0460083,-0.45574045,-0.012079966,0.05988902,-0.2178949,beingusedinhand,standing
10 May 2022 22:21:51:861 +0200,1.0035132,3.0752053,9.362132,-56.088284,-1.0460083,-0.45574045,-0.012079966,0.05988902,-0.2178949,beingusedinhand,standing
10 May 2022 22:21:51:903 +0200,0.5748047,3.2859669,9.0148535,-55.487957,-3.7339785,-1.1235535,0.21961504,0.3219441,0.041496992,beingusedinhand,standing
10 May 2022 22:21:51:945 +0200,0.20597169,3.4584084,9.572893,-55.487957,-3.7339785,-1.1235535,0.21961504,0.3219441,0.041496992,beingusedinhand,standing
10 May 2022 22:21:51:984 +0200,0.974773,2.9961696,9.522598,-55.487957,-3.7339785,-1.1235535,0.21961504,0.3219441,0.041496992,beingusedinhand,standing
10 May 2022 22:21:52:024 +0200,0.9029224,3.3242872,8.919053,-55.487957,-3.7339785,-1.1235535,0.21961504,0.3219441,0.041496992,beingusedinhand,standing
10 May 2022 22:21:52:063 +0200,0.1101709,3.7146754,9.321417,-55.487957,-3.7339785,-1.1235535,0.06568434,0.13818595,-0.16729483,beingusedinhand,standing
10 May 2022 22:21:52:064 +0200,0.1101709,3.7146754,9.321417,-54.37125,-4.705829,-2.366739,0.06568434,0.13818595,-0.16729483,beingusedinhand,standing
10 May 2022 22:21:52:104 +0200,0.22992188,3.4536183,9.484278,-54.37125,-4.705829,-2.366739,0.06568434,0.13818595,-0.16729483,beingusedinhand,standing
10 May 2022 22:21:52:143 +0200,0.31374758,3.535049,9.5489435,-54.37125,-4.705829,-2.366739,0.06568434,0.13818595,-0.16729483,beingusedinhand,standing
10 May 2022 22:21:52:183 +0200,0.100590825,3.5877395,9.5561285,-54.37125,-4.705829,-2.366739,0.06568434,0.13818595,-0.16729483,beingusedinhand,standing
10 May 2022 22:21:52:223 +0200,0.488584,3.539839,9.038804,-54.37125,-4.705829,-2.366739,0.06728224,-0.064746924,-0.0032441155,beingusedinhand,standing
10 May 2022 22:21:52:224 +0200,0.488584,3.539839,9.038804,-52.406845,-6.532663,-2.413861,0.06728224,-0.064746924,-0.0032441155,beingusedinhand,standing
10 May 2022 22:21:52:265 +0200,0.45026368,3.5781593,9.239985,-52.406845,-6.532663,-2.413861,0.06728224,-0.064746924,-0.0032441155,beingusedinhand,standing
10 May 2022 22:21:52:304 +0200,0.28500733,3.535049,9.393267,-52.406845,-6.532663,-2.413861,0.06728224,-0.064746924,-0.0032441155,beingusedinhand,standing
10 May 2022 22:21:52:343 +0200,0.51971924,3.5039136,9.11784,-52.406845,-6.532663,-2.413861,0.06728224,-0.064746924,-0.0032441155,beingusedinhand,standing
10 May 2022 22:21:52:385 +0200,0.37122804,3.4991236,9.448353,-53.14951,-5.5484347,-1.4445193,-0.13671592,-0.1089554,-0.014429392,beingusedinhand,standing
10 May 2022 22:21:52:425 +0200,0.51013917,3.3769777,9.4435625,-53.14951,-5.5484347,-1.4445193,-0.13671592,-0.1089554,-0.014429392,beingusedinhand,standing
10 May 2022 22:21:52:464 +0200,0.60594,3.283572,9.599238,-53.14951,-5.5484347,-1.4445193,-0.13671592,-0.1089554,-0.014429392,beingusedinhand,standing
10 May 2022 22:21:52:503 +0200,0.5005591,3.3290772,9.536968,-53.14951,-5.5484347,-1.4445193,-0.13671592,-0.1089554,-0.014429392,beingusedinhand,standing
10 May 2022 22:21:52:545 +0200,0.34727785,3.4751735,9.405242,-54.634857,-5.5752416,-1.5024171,0.047574844,0.040181626,-0.049583122,beingusedinhand,standing
10 May 2022 22:21:52:584 +0200,0.5221143,3.415298,9.2328005,-54.634857,-5.5752416,-1.5024171,0.047574844,0.040181626,-0.049583122,beingusedinhand,standing
10 May 2022 22:21:52:625 +0200,0.488584,3.4608033,9.290281,-54.634857,-5.5752416,-1.5024171,0.047574844,0.040181626,-0.049583122,beingusedinhand,standing
10 May 2022 22:21:52:665 +0200,0.31374758,3.4775686,9.532178,-54.634857,-5.5752416,-1.5024171,0.047574844,0.040181626,-0.049583122,beingusedinhand,standing
10 May 2022 22:21:52:702 +0200,0.45744875,3.4464333,9.328602,-53.023685,-5.043128,-1.1567873,0.028932715,0.040181626,0.026050657,beingusedinhand,standing
10 May 2022 22:21:52:742 +0200,0.46942386,3.417693,9.314231,-53.023685,-5.043128,-1.1567873,0.028932715,0.040181626,0.026050657,beingusedinhand,standing
10 May 2022 22:21:52:785 +0200,0.41912845,3.3865578,9.479487,-53.023685,-5.043128,-1.1567873,0.028932715,0.040181626,0.026050657,beingusedinhand,standing
10 May 2022 22:21:52:823 +0200,0.4023633,3.3458424,9.632769,-53.023685,-5.043128,-1.1567873,0.028932715,0.040181626,0.026050657,beingusedinhand,standing
10 May 2022 22:21:52:864 +0200,0.2682422,3.3530276,9.520203,-53.023685,-5.043128,-1.1567873,0.028932715,0.040181626,0.026050657,beingusedinhand,standing
10 May 2022 22:21:52:866 +0200,0.2682422,3.3530276,9.520203,-52.875954,-4.3256655,-3.033243,0.043846417,0.06255218,-0.022951508,beingusedinhand,standing
10 May 2022 22:21:52:904 +0200,0.26105714,3.4009278,9.350157,-52.875954,-4.3256655,-3.033243,0.043846417,0.06255218,-0.022951508,beingusedinhand,standing
10 May 2022 22:21:52:944 +0200,0.22273682,3.420088,9.524993,-52.875954,-4.3256655,-3.033243,0.043846417,0.06255218,-0.022951508,beingusedinhand,standing
10 May 2022 22:21:52:984 +0200,0.21555176,3.4488282,9.24717,-52.875954,-4.3256655,-3.033243,0.043846417,0.06255218,-0.022951508,beingusedinhand,standing
10 May 2022 22:21:53:024 +0200,0.1460962,3.4536183,9.445957,-52.02782,-5.844791,-2.55076,-0.0094168065,0.08066168,-0.041593637,beingusedinhand,standing
10 May 2022 22:21:53:065 +0200,0.09101075,3.427273,9.371712,-52.02782,-5.844791,-2.55076,-0.0094168065,0.08066168,-0.041593637,beingusedinhand,standing
10 May 2022 22:21:53:104 +0200,0.17962648,3.415298,8.873548,-52.02782,-5.844791,-2.55076,-0.0094168065,0.08066168,-0.041593637,beingusedinhand,standing
10 May 2022 22:21:53:146 +0200,0.31853762,3.2524366,9.393267,-52.02782,-5.844791,-2.55076,-0.0094168065,0.08066168,-0.041593637,beingusedinhand,standing
10 May 2022 22:21:53:184 +0200,0.26584718,3.1039455,10.056687,-52.02782,-5.844791,-2.55076,-0.28904873,-0.004026851,-0.00430938,beingusedinhand,standing
10 May 2022 22:21:53:185 +0200,0.26584718,3.1039455,10.056687,-52.40118,-5.3569336,-1.8498505,-0.28904873,-0.004026851,-0.00430938,beingusedinhand,standing
10 May 2022 22:21:53:223 +0200,0.21794678,3.0823903,10.063872,-52.40118,-5.3569336,-1.8498505,-0.28904873,-0.004026851,-0.00430938,beingusedinhand,standing
10 May 2022 22:21:53:264 +0200,0.07424561,3.2692018,9.386082,-52.40118,-5.3569336,-1.8498505,-0.28904873,-0.004026851,-0.00430938,beingusedinhand,standing
