date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:36:38:192 +0200,-2.3998096,2.9746144,7.32397,20.790718,5.179491,-46.46808,0.17233823,0.50105757,-0.21832062,beingusedinhand,walking
10 May 2022 22:36:38:338 +0200,-2.3998096,2.9746144,7.32397,20.790718,5.179491,-46.46808,0.3262689,0.5090471,0.96838397,beingusedinhand,walking
10 May 2022 22:36:38:345 +0200,-3.6859353,2.684817,10.197993,22.000513,5.4757195,-43.10778,0.3262689,0.5090471,0.96838397,beingusedinhand,walking
10 May 2022 22:36:38:498 +0200,-3.0249097,2.6129665,10.550061,24.55261,1.599514,-41.811707,-0.8274125,0.4435333,1.548953,beingusedinhand,walking
10 May 2022 22:36:38:663 +0200,-0.51732427,1.5160475,8.495134,27.38797,-0.8673105,-42.97111,0.24264567,-0.9727358,0.7755711,beingusedinhand,walking
10 May 2022 22:36:38:808 +0200,-0.51732427,1.5160475,8.495134,27.38797,-0.8673105,-42.97111,0.10575919,0.0025138184,0.43468648,beingusedinhand,walking
10 May 2022 22:36:38:813 +0200,0.49337405,2.7159522,7.29523,25.70329,-7.7052197,-41.66426,0.10575919,0.0025138184,0.43468648,beingusedinhand,walking
10 May 2022 22:36:38:974 +0200,0.43349856,3.7362306,10.490186,23.075855,-11.46877,-42.446697,-0.7171576,-0.070456795,-0.3637292,beingusedinhand,walking
10 May 2022 22:36:39:129 +0200,-0.014370117,0.9508228,11.385923,22.127699,-7.408131,-42.96106,0.055159133,-0.0821747,-0.80315083,beingusedinhand,walking
10 May 2022 22:36:39:287 +0200,0.14849122,1.7220191,8.871153,18.477638,-2.687086,-45.17453,0.081790745,-0.34369713,-0.87505615,beingusedinhand,walking
10 May 2022 22:36:39:445 +0200,-1.1088941,3.3410523,8.981323,20.366234,0.90483,-44.995876,0.49351543,-0.020389367,-0.40154612,beingusedinhand,walking
