date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:06:26:873 +0200,-0.25092638,3.4255342,7.7433844,-2.5687501,-30.393751,-23.94375,-0.3157175,-0.004660528,-0.034754224,beingusedinhand,walking
10 May 2022 15:06:26:930 +0200,-0.25092638,3.4255342,7.7433844,-5.0062504,-27.093752,-27.656252,-0.3157175,-0.004660528,-0.034754224,beingusedinhand,walking
10 May 2022 15:06:27:035 +0200,-0.25092638,3.4255342,7.7433844,-5.0062504,-27.093752,-27.656252,-0.16231953,0.33928645,0.7167892,beingusedinhand,walking
10 May 2022 15:06:27:074 +0200,-0.46232736,3.6525059,11.098851,-5.0062504,-27.093752,-27.656252,-0.16231953,0.33928645,0.7167892,beingusedinhand,walking
10 May 2022 15:06:27:131 +0200,-0.46232736,3.6525059,11.098851,-8.418751,-26.643751,-26.60625,-0.16231953,0.33928645,0.7167892,beingusedinhand,walking
10 May 2022 15:06:27:239 +0200,-0.46232736,3.6525059,11.098851,-8.418751,-26.643751,-26.60625,0.3713775,0.037683696,0.59761286,beingusedinhand,walking
10 May 2022 15:06:27:275 +0200,-0.006587566,2.2918742,9.0501175,-8.418751,-26.643751,-26.60625,0.3713775,0.037683696,0.59761286,beingusedinhand,walking
10 May 2022 15:06:27:333 +0200,-0.006587566,2.2918742,9.0501175,-9.637501,-26.587502,-24.91875,0.3713775,0.037683696,0.59761286,beingusedinhand,walking
10 May 2022 15:06:27:435 +0200,-0.006587566,2.2918742,9.0501175,-9.637501,-26.587502,-24.91875,-0.2776343,-0.06285055,0.4834965,beingusedinhand,walking
10 May 2022 15:06:27:475 +0200,-0.13893776,2.6128683,8.925553,-9.637501,-26.587502,-24.91875,-0.2776343,-0.06285055,0.4834965,beingusedinhand,walking
10 May 2022 15:06:27:528 +0200,-0.13893776,2.6128683,8.925553,-11.625,-25.837502,-25.406252,-0.2776343,-0.06285055,0.4834965,beingusedinhand,walking
10 May 2022 15:06:27:633 +0200,-0.13893776,2.6128683,8.925553,-11.625,-25.837502,-25.406252,0.2946785,-0.13062795,-0.025965799,beingusedinhand,walking
10 May 2022 15:06:27:674 +0200,0.7198413,4.387319,9.846615,-11.625,-25.837502,-25.406252,0.2946785,-0.13062795,-0.025965799,beingusedinhand,walking
10 May 2022 15:06:27:726 +0200,0.7198413,4.387319,9.846615,-12.31875,-26.7,-24.88125,0.2946785,-0.13062795,-0.025965799,beingusedinhand,walking
10 May 2022 15:06:27:833 +0200,0.7198413,4.387319,9.846615,-12.31875,-26.7,-24.88125,-0.09241161,-0.12357057,-0.11385004,beingusedinhand,walking
10 May 2022 15:06:27:872 +0200,1.24505,2.6038852,8.967474,-12.31875,-26.7,-24.88125,-0.09241161,-0.12357057,-0.11385004,beingusedinhand,walking
10 May 2022 15:06:27:923 +0200,1.24505,2.6038852,8.967474,-10.03125,-28.368752,-24.243752,-0.09241161,-0.12357057,-0.11385004,beingusedinhand,walking
10 May 2022 15:06:28:033 +0200,1.24505,2.6038852,8.967474,-10.03125,-28.368752,-24.243752,0.070041075,0.09494161,-0.46232438,beingusedinhand,walking
10 May 2022 15:06:28:073 +0200,0.122768275,3.1243029,7.996706,-10.03125,-28.368752,-24.243752,0.070041075,0.09494161,-0.46232438,beingusedinhand,walking
10 May 2022 15:06:28:121 +0200,0.122768275,3.1243029,7.996706,-8.26875,-27.975,-24.45,0.070041075,0.09494161,-0.46232438,beingusedinhand,walking
10 May 2022 15:06:28:232 +0200,0.122768275,3.1243029,7.996706,-8.26875,-27.975,-24.45,-0.1884185,0.20652796,0.19760638,beingusedinhand,walking
10 May 2022 15:06:28:272 +0200,0.0125762625,4.165737,10.065801,-8.26875,-27.975,-24.45,-0.1884185,0.20652796,0.19760638,beingusedinhand,walking
10 May 2022 15:06:28:319 +0200,0.0125762625,4.165737,10.065801,-7.275,-27.73125,-24.431252,-0.1884185,0.20652796,0.19760638,beingusedinhand,walking
10 May 2022 15:06:28:439 +0200,0.0125762625,4.165737,10.065801,-7.275,-27.73125,-24.431252,0.19148111,0.21611534,0.5990776,beingusedinhand,walking
10 May 2022 15:06:28:476 +0200,-0.104802184,3.3752294,9.906502,-7.275,-27.73125,-24.431252,0.19148111,0.21611534,0.5990776,beingusedinhand,walking
10 May 2022 15:06:28:516 +0200,-0.104802184,3.3752294,9.906502,-8.8125,-29.5125,-23.081251,0.19148111,0.21611534,0.5990776,beingusedinhand,walking
10 May 2022 15:06:28:594 +0200,-0.104802184,3.3752294,9.906502,-8.8125,-29.5125,-23.081251,-0.058589496,0.19161427,0.52983546,beingusedinhand,walking
10 May 2022 15:06:28:673 +0200,-0.6401916,2.6805406,8.087135,-8.8125,-29.5125,-23.081251,-0.058589496,0.19161427,0.52983546,beingusedinhand,walking
