date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:08:52:849 +0200,0.41181526,2.3487835,9.059936,-13.32,-26.22,-24.84,-0.03370388,0.59039146,-0.21101424,beingusedinhand,walking
10 May 2022 15:08:52:880 +0200,0.90982443,3.3232534,9.804555,-13.32,-26.22,-24.84,-0.03370388,0.59039146,-0.21101424,beingusedinhand,walking
10 May 2022 15:08:52:906 +0200,0.90982443,3.3232534,9.804555,-13.32,-26.22,-24.84,-0.02576263,0.031449787,0.051046956,beingusedinhand,walking
10 May 2022 15:08:53:041 +0200,0.90982443,3.3232534,9.804555,-10.26,-26.4,-24.18,-0.02576263,0.031449787,0.051046956,beingusedinhand,walking
10 May 2022 15:08:53:060 +0200,-0.028731298,4.436591,8.906702,-10.26,-26.4,-24.18,-0.02576263,0.031449787,0.051046956,beingusedinhand,walking
10 May 2022 15:08:53:080 +0200,-0.028731298,4.436591,8.906702,-10.26,-26.4,-24.18,0.5307356,0.33260635,0.27279106,beingusedinhand,walking
10 May 2022 15:08:53:240 +0200,0.8930645,1.0295382,11.22436,-10.26,-26.4,-24.18,0.5307356,0.33260635,0.27279106,beingusedinhand,walking
10 May 2022 15:08:53:242 +0200,-1.0558752,2.291321,8.035186,-5.94,-26.76,-23.16,0.5307356,0.33260635,0.27279106,beingusedinhand,walking
10 May 2022 15:08:53:262 +0200,-1.0558752,2.291321,8.035186,-5.94,-26.76,-23.16,0.023717456,-0.19273776,0.7993569,beingusedinhand,walking
10 May 2022 15:08:53:420 +0200,1.5083932,2.8180614,8.571504,-5.94,-26.76,-23.16,0.023717456,-0.19273776,0.7993569,beingusedinhand,walking
10 May 2022 15:08:53:442 +0200,1.5083932,2.8180614,8.571504,-5.94,-26.76,-23.16,-0.2792717,-0.49572694,0.5983822,beingusedinhand,walking
10 May 2022 15:08:53:446 +0200,1.5083932,2.8180614,8.571504,-0.59999996,-25.68,-22.8,-0.2792717,-0.49572694,0.5983822,beingusedinhand,walking
10 May 2022 15:08:53:603 +0200,2.1213274,3.1652312,10.149331,-0.59999996,-25.68,-22.8,-0.2792717,-0.49572694,0.5983822,beingusedinhand,walking
10 May 2022 15:08:53:624 +0200,2.1213274,3.1652312,10.149331,-0.59999996,-25.68,-22.8,-0.17847894,-0.19090517,-0.27882028,beingusedinhand,walking
10 May 2022 15:08:53:641 +0200,2.1213274,3.1652312,10.149331,1.9799999,-21.96,-23.939999,-0.17847894,-0.19090517,-0.27882028,beingusedinhand,walking
10 May 2022 15:08:53:781 +0200,1.0822122,0.8667275,8.207574,1.9799999,-21.96,-23.939999,-0.17847894,-0.19090517,-0.27882028,beingusedinhand,walking
10 May 2022 15:08:53:801 +0200,1.0822122,0.8667275,8.207574,1.9799999,-21.96,-23.939999,-0.37823188,0.117581785,-0.8579205,beingusedinhand,walking
10 May 2022 15:08:53:840 +0200,1.0822122,0.8667275,8.207574,4.08,-16.32,-24.779999,-0.37823188,0.117581785,-0.8579205,beingusedinhand,walking
10 May 2022 15:08:53:959 +0200,0.5363176,2.2123098,11.626598,4.08,-16.32,-24.779999,-0.37823188,0.117581785,-0.8579205,beingusedinhand,walking
10 May 2022 15:08:53:980 +0200,0.5363176,2.2123098,11.626598,4.08,-16.32,-24.779999,-0.1931397,0.06443651,-1.1199816,beingusedinhand,walking
10 May 2022 15:08:54:041 +0200,0.5363176,2.2123098,11.626598,2.76,-9.179999,-26.22,-0.1931397,0.06443651,-1.1199816,beingusedinhand,walking
10 May 2022 15:08:54:140 +0200,-0.42139238,2.595394,9.349643,2.76,-9.179999,-26.22,-0.1931397,0.06443651,-1.1199816,beingusedinhand,walking
10 May 2022 15:08:54:160 +0200,-0.42139238,2.595394,9.349643,2.76,-9.179999,-26.22,-0.017210517,0.4358426,-0.108999744,beingusedinhand,walking
10 May 2022 15:08:54:239 +0200,-0.42139238,2.595394,9.349643,-0.42,-2.8799999,-27.119999,-0.017210517,0.4358426,-0.108999744,beingusedinhand,walking
10 May 2022 15:08:54:318 +0200,-0.9505271,2.954535,10.082292,-0.42,-2.8799999,-27.119999,-0.017210517,0.4358426,-0.108999744,beingusedinhand,walking
