date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:50:19:826 +0200,0.0011977393,4.071715,8.959089,22.35,3.2812502,-34.818752,0.04593949,-0.006391581,-0.00452737,beingusedinhand,standing
10 May 2022 14:50:19:840 +0200,0.0011977393,4.071715,8.959089,22.462502,2.86875,-34.275,0.04593949,-0.006391581,-0.00452737,beingusedinhand,standing
10 May 2022 14:50:19:849 +0200,0.0011977393,4.071715,8.959089,22.462502,2.86875,-34.275,0.03954791,0.011584741,-0.018375795,beingusedinhand,standing
10 May 2022 14:50:19:999 +0200,-0.053299397,4.0902796,8.830333,22.462502,2.86875,-34.275,0.03954791,0.011584741,-0.018375795,beingusedinhand,standing
10 May 2022 14:50:20:038 +0200,-0.053299397,4.0902796,8.830333,22.21875,2.71875,-34.93125,0.03954791,0.011584741,-0.018375795,beingusedinhand,standing
10 May 2022 14:50:20:085 +0200,-0.053299397,4.0902796,8.830333,22.21875,2.71875,-34.93125,0.019174743,-0.0101200035,-0.008122634,beingusedinhand,standing
10 May 2022 14:50:20:183 +0200,-0.08623723,4.1687317,8.787214,22.21875,2.71875,-34.93125,0.019174743,-0.0101200035,-0.008122634,beingusedinhand,standing
10 May 2022 14:50:20:237 +0200,-0.08623723,4.1687317,8.787214,22.40625,2.6625001,-34.93125,0.019174743,-0.0101200035,-0.008122634,beingusedinhand,standing
10 May 2022 14:50:20:258 +0200,-0.08623723,4.1687317,8.787214,22.40625,2.6625001,-34.93125,0.046605278,-0.020506322,-0.02969422,beingusedinhand,standing
10 May 2022 14:50:20:369 +0200,0.0029943483,4.19089,8.887824,22.40625,2.6625001,-34.93125,0.046605278,-0.020506322,-0.02969422,beingusedinhand,standing
10 May 2022 14:50:20:436 +0200,0.0029943483,4.19089,8.887824,21.91875,2.90625,-35.4,0.046605278,-0.020506322,-0.02969422,beingusedinhand,standing
10 May 2022 14:50:20:454 +0200,0.0029943483,4.19089,8.887824,21.91875,2.90625,-35.4,-0.030226853,-0.0074568447,0.01291632,beingusedinhand,standing
10 May 2022 14:50:20:610 +0200,-0.093423665,4.202867,8.896209,21.91875,2.90625,-35.4,-0.030226853,-0.0074568447,0.01291632,beingusedinhand,standing
