date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:19:12:433 +0200,-0.050295413,4.2439747,7.94428,-11.083012,-17.48775,-36.22135,0.4184143,0.0083727725,0.060778663,beingusedinhand,sitting
10 May 2022 22:19:12:443 +0200,-0.07424561,4.3134303,8.080796,-11.083012,-17.48775,-36.22135,0.4184143,0.0083727725,0.060778663,beingusedinhand,sitting
10 May 2022 22:19:12:451 +0200,-0.050295413,4.423601,8.384964,-11.083012,-17.48775,-36.22135,0.4184143,0.0083727725,0.060778663,beingusedinhand,sitting
10 May 2022 22:19:12:462 +0200,0.021555176,4.524192,8.693921,-11.083012,-17.48775,-36.22135,0.4184143,0.0083727725,0.060778663,beingusedinhand,sitting
10 May 2022 22:19:12:471 +0200,0.100590825,4.6199927,9.053174,-11.083012,-17.48775,-36.22135,0.4184143,0.0083727725,0.060778663,beingusedinhand,sitting
10 May 2022 22:19:12:481 +0200,0.100590825,4.6199927,9.053174,-11.083012,-17.48775,-36.22135,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:483 +0200,0.19639161,4.6846585,9.271121,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:491 +0200,0.20118165,4.5409575,9.144185,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:500 +0200,0.100590825,4.4571314,8.868757,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:510 +0200,-0.119750984,4.5649076,8.789722,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:522 +0200,-0.22752686,4.6128078,8.744217,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:533 +0200,-0.16046631,4.634363,8.686736,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:543 +0200,-0.05508545,4.6894484,8.50711,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:553 +0200,0.033530276,4.7062135,8.341853,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:563 +0200,-0.0071850587,4.6654983,8.181387,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:573 +0200,-0.17244141,4.617598,8.3179035,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:583 +0200,-0.3065625,4.629573,8.904683,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:594 +0200,-0.4167334,4.5960426,9.352551,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:603 +0200,-0.31135255,4.5313773,9.376502,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:613 +0200,-0.12933107,4.600833,9.105865,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:623 +0200,-0.026345216,4.766089,8.643626,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:632 +0200,-0.014370117,4.87147,8.284373,-13.732811,-21.796944,-35.12431,0.2564941,0.08347392,0.14014088,beingusedinhand,sitting
10 May 2022 22:19:12:642 +0200,-0.014370117,4.87147,8.284373,-13.732811,-21.796944,-35.12431,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:645 +0200,-0.086220704,4.8163843,8.152647,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:652 +0200,-0.18920656,4.8044095,8.188572,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:663 +0200,-0.1580713,4.864285,8.258028,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:673 +0200,-0.09580079,4.88584,8.480764,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:683 +0200,-0.10777588,4.88105,8.943004,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:692 +0200,-0.083825685,4.799619,9.127419,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:702 +0200,-0.019160157,4.7397437,9.144185,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:713 +0200,0.035925295,4.7469287,8.995694,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:724 +0200,0.035925295,4.7469287,8.753797,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:732 +0200,0.014370117,4.768484,8.586145,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
10 May 2022 22:19:12:744 +0200,0.040715333,4.7708793,8.502319,-13.240635,-21.96043,-34.95905,0.20269826,-0.123187385,-0.021246701,beingusedinhand,sitting
