date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:52:14:757 +0200,-0.75659084,3.79732,8.775017,52.62,35.219997,4.44,0.10435167,0.019232482,0.027834075,beingusedinhand,standing
10 May 2022 14:52:14:774 +0200,-0.46209505,3.9744961,9.208381,52.62,35.219997,4.44,0.10435167,0.019232482,0.027834075,beingusedinhand,standing
10 May 2022 14:52:14:794 +0200,-0.46209505,3.9744961,9.208381,52.62,35.219997,4.44,-0.036758207,-0.043075774,0.007675522,beingusedinhand,standing
10 May 2022 14:52:14:959 +0200,-0.69912827,3.7230973,8.985713,52.5,35.1,4.2599998,-0.036758207,-0.043075774,0.007675522,beingusedinhand,standing
10 May 2022 14:52:14:964 +0200,-0.87630457,3.7757714,8.968953,52.5,35.1,4.2599998,-0.036758207,-0.043075774,0.007675522,beingusedinhand,standing
10 May 2022 14:52:14:976 +0200,-0.87630457,3.7757714,8.968953,52.5,35.1,4.2599998,0.018830532,-9.260717E-4,-0.028976392,beingusedinhand,standing
10 May 2022 14:52:15:136 +0200,-0.0071828244,4.0582957,9.680053,52.5,35.1,4.2599998,0.018830532,-9.260717E-4,-0.028976392,beingusedinhand,standing
10 May 2022 14:52:15:158 +0200,-0.0071828244,4.0582957,9.680053,52.559998,35.16,3.9599998,0.059758503,-0.04368664,0.16955481,beingusedinhand,standing
10 May 2022 14:52:15:315 +0200,-0.76616794,3.6273263,8.954588,52.559998,35.16,3.9599998,0.059758503,-0.04368664,0.16955481,beingusedinhand,standing
10 May 2022 14:52:15:335 +0200,-0.76616794,3.6273263,8.954588,52.559998,35.16,3.9599998,-0.027595226,-0.021695489,-0.024700336,beingusedinhand,standing
10 May 2022 14:52:15:359 +0200,-0.76616794,3.6273263,8.954588,51.899998,35.28,3.48,-0.027595226,-0.021695489,-0.024700336,beingusedinhand,standing
10 May 2022 14:52:15:494 +0200,-0.27055305,4.3623686,8.470944,51.899998,35.28,3.48,-0.027595226,-0.021695489,-0.024700336,beingusedinhand,standing
