date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:48:46:878 +0200,0.25092638,4.966426,8.557847,12.562501,-1.95,-29.306252,-0.0030626326,-0.044874225,0.08215845,beingusedinhand,sitting
10 May 2022 14:48:47:014 +0200,0.25092638,4.966426,8.557847,14.925,-1.7062501,-29.587502,-0.0030626326,-0.044874225,0.08215845,beingusedinhand,sitting
10 May 2022 14:48:47:053 +0200,0.6833103,5.129917,8.357824,14.925,-1.7062501,-29.587502,0.03954791,-0.059787914,0.03422159,beingusedinhand,sitting
10 May 2022 14:48:47:212 +0200,0.6833103,5.129917,8.357824,15.075001,-1.9875001,-29.75625,0.03954791,-0.059787914,0.03422159,beingusedinhand,sitting
10 May 2022 14:48:47:225 +0200,0.6833103,5.129917,8.357824,15.075001,-1.9875001,-29.75625,0.02530001,0.0027963168,0.025433166,beingusedinhand,sitting
10 May 2022 14:48:47:316 +0200,0.5120335,5.0784144,8.36022,15.075001,-1.9875001,-29.75625,0.02530001,0.0027963168,0.025433166,beingusedinhand,sitting
10 May 2022 14:48:47:411 +0200,0.5120335,5.0784144,8.36022,13.875001,-2.1000001,-29.531252,0.02530001,0.0027963168,0.025433166,beingusedinhand,sitting
10 May 2022 14:48:47:419 +0200,0.5120335,5.0784144,8.36022,13.875001,-2.1000001,-29.531252,-0.00519316,-0.027031062,-0.007323687,beingusedinhand,sitting
10 May 2022 14:48:47:485 +0200,0.5976719,5.1143465,8.436276,13.875001,-2.1000001,-29.531252,-0.00519316,-0.027031062,-0.007323687,beingusedinhand,sitting
10 May 2022 14:48:47:607 +0200,0.5976719,5.1143465,8.436276,14.156251,-1.7625,-29.868752,-0.00519316,-0.027031062,-0.007323687,beingusedinhand,sitting
10 May 2022 14:48:47:656 +0200,0.5976719,5.1143465,8.436276,14.156251,-1.7625,-29.868752,0.03901528,0.024900535,-0.0013315794,beingusedinhand,sitting
10 May 2022 14:48:47:661 +0200,0.5934798,5.153872,8.293746,14.156251,-1.7625,-29.868752,0.03901528,0.024900535,-0.0013315794,beingusedinhand,sitting
10 May 2022 14:48:47:806 +0200,0.5934798,5.153872,8.293746,14.137501,-2.23125,-30.243752,0.03901528,0.024900535,-0.0013315794,beingusedinhand,sitting
10 May 2022 14:48:47:835 +0200,0.5934798,5.153872,8.293746,14.137501,-2.23125,-30.243752,-0.014780532,-0.019441059,0.012516847,beingusedinhand,sitting
