date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:02:10:262 +0200,-9.024022,-1.7717633,2.6097596,39.48,-1.0799999,-5.46,-0.8388243,-0.37233216,-1.585461,holdinginhand,walking
10 May 2022 15:02:10:282 +0200,-6.8332605,-4.1588554,1.1947432,39.48,-1.0799999,-5.46,-0.8388243,-0.37233216,-1.585461,holdinginhand,walking
10 May 2022 15:02:10:302 +0200,-6.8332605,-4.1588554,1.1947432,39.48,-1.0799999,-5.46,0.14650138,-0.39982107,0.19398943,holdinginhand,walking
10 May 2022 15:02:10:465 +0200,-6.8332605,-4.1588554,1.1947432,40.32,-3.24,-4.3199997,0.14650138,-0.39982107,0.19398943,holdinginhand,walking
10 May 2022 15:02:10:471 +0200,-10.206794,-5.2075477,0.81165916,40.32,-3.24,-4.3199997,0.14650138,-0.39982107,0.19398943,holdinginhand,walking
10 May 2022 15:02:10:485 +0200,-10.206794,-5.2075477,0.81165916,40.32,-3.24,-4.3199997,-0.5737087,-1.0540577,-0.093117245,holdinginhand,walking
10 May 2022 15:02:10:642 +0200,-11.099858,-5.0591025,1.6257126,40.32,-3.24,-4.3199997,-0.5737087,-1.0540577,-0.093117245,holdinginhand,walking
10 May 2022 15:02:10:647 +0200,-10.774237,-4.0463243,0.9912298,40.32,-3.24,-4.3199997,-0.5737087,-1.0540577,-0.093117245,holdinginhand,walking
10 May 2022 15:02:10:666 +0200,-10.774237,-4.0463243,0.9912298,40.14,-2.7,-7.5,0.22285953,0.13040996,-0.26171607,holdinginhand,walking
10 May 2022 15:02:10:821 +0200,-8.696006,-3.962525,1.9489397,40.14,-2.7,-7.5,0.22285953,0.13040996,-0.26171607,holdinginhand,walking
10 May 2022 15:02:10:827 +0200,-8.142929,-4.37434,2.727079,40.14,-2.7,-7.5,0.22285953,0.13040996,-0.26171607,holdinginhand,walking
10 May 2022 15:02:10:842 +0200,-8.142929,-4.37434,2.727079,40.14,-2.7,-7.5,0.69811267,1.2855562,0.7425464,holdinginhand,walking
10 May 2022 15:02:10:862 +0200,-8.142929,-4.37434,2.727079,39.84,0.48,-11.94,0.69811267,1.2855562,0.7425464,holdinginhand,walking
10 May 2022 15:02:11:000 +0200,-7.4868975,-4.946572,1.7693691,39.84,0.48,-11.94,0.69811267,1.2855562,0.7425464,holdinginhand,walking
10 May 2022 15:02:11:004 +0200,-7.0559278,-5.480495,2.281744,39.84,0.48,-11.94,0.69811267,1.2855562,0.7425464,holdinginhand,walking
10 May 2022 15:02:11:021 +0200,-7.0559278,-5.480495,2.281744,39.84,0.48,-11.94,0.5594463,0.98623216,1.0962374,holdinginhand,walking
10 May 2022 15:02:11:062 +0200,-7.0559278,-5.480495,2.281744,39.3,-1.1999999,-14.7,0.5594463,0.98623216,1.0962374,holdinginhand,walking
10 May 2022 15:02:11:184 +0200,-10.173274,-6.8093176,1.0032011,39.3,-1.1999999,-14.7,0.5594463,0.98623216,1.0962374,holdinginhand,walking
10 May 2022 15:02:11:189 +0200,-10.35045,-7.211556,1.0510867,39.3,-1.1999999,-14.7,0.5594463,0.98623216,1.0962374,holdinginhand,walking
10 May 2022 15:02:11:204 +0200,-10.35045,-7.211556,1.0510867,39.3,-1.1999999,-14.7,-0.5608806,-0.24954823,-0.8884638,holdinginhand,walking
10 May 2022 15:02:11:263 +0200,-10.35045,-7.211556,1.0510867,39.36,-5.46,-15.299999,-0.5608806,-0.24954823,-0.8884638,holdinginhand,walking
10 May 2022 15:02:11:364 +0200,-10.247497,-3.7159145,-0.038308397,39.36,-5.46,-15.299999,-0.5608806,-0.24954823,-0.8884638,holdinginhand,walking
10 May 2022 15:02:11:369 +0200,-9.486116,-3.634509,-1.23784,39.36,-5.46,-15.299999,-0.5608806,-0.24954823,-0.8884638,holdinginhand,walking
10 May 2022 15:02:11:384 +0200,-9.486116,-3.634509,-1.23784,39.36,-5.46,-15.299999,-0.034314744,-0.7150275,-1.3276759,holdinginhand,walking
10 May 2022 15:02:11:463 +0200,-9.486116,-3.634509,-1.23784,40.2,-6.8999996,-15.48,-0.034314744,-0.7150275,-1.3276759,holdinginhand,walking
10 May 2022 15:02:11:543 +0200,-7.355212,-4.3216662,-0.062251143,40.2,-6.8999996,-15.48,-0.034314744,-0.7150275,-1.3276759,holdinginhand,walking
10 May 2022 15:02:11:548 +0200,-7.448589,-4.333637,0.0071828244,40.2,-6.8999996,-15.48,-0.034314744,-0.7150275,-1.3276759,holdinginhand,walking
10 May 2022 15:02:11:562 +0200,-7.448589,-4.333637,0.0071828244,40.2,-6.8999996,-15.48,-0.5016267,-0.61912173,0.19337855,holdinginhand,walking
10 May 2022 15:02:11:662 +0200,-7.448589,-4.333637,0.0071828244,40.26,-7.9199996,-17.94,-0.5016267,-0.61912173,0.19337855,holdinginhand,walking
10 May 2022 15:02:11:720 +0200,-11.233937,-5.1261425,1.7550035,40.26,-7.9199996,-17.94,-0.5016267,-0.61912173,0.19337855,holdinginhand,walking
10 May 2022 15:02:11:741 +0200,-11.233937,-5.1261425,1.7550035,40.26,-7.9199996,-17.94,0.068921484,-0.14936633,-0.4003825,holdinginhand,walking
10 May 2022 15:02:11:863 +0200,-11.233937,-5.1261425,1.7550035,37.559998,-4.62,-23.76,0.068921484,-0.14936633,-0.4003825,holdinginhand,walking
10 May 2022 15:02:11:900 +0200,-10.3193245,-5.0375543,2.1740015,37.559998,-4.62,-23.76,0.068921484,-0.14936633,-0.4003825,holdinginhand,walking
10 May 2022 15:02:11:902 +0200,-9.680053,-4.5491223,1.175589,37.559998,-4.62,-23.76,0.068921484,-0.14936633,-0.4003825,holdinginhand,walking
10 May 2022 15:02:11:920 +0200,-9.680053,-4.5491223,1.175589,37.559998,-4.62,-23.76,0.49164024,0.15545543,0.030277537,holdinginhand,walking
10 May 2022 15:02:12:062 +0200,-9.680053,-4.5491223,1.175589,33.78,2.04,-29.64,0.49164024,0.15545543,0.030277537,holdinginhand,walking
10 May 2022 15:02:12:079 +0200,-7.439012,-4.80531,1.3719195,33.78,2.04,-29.64,0.49164024,0.15545543,0.030277537,holdinginhand,walking
10 May 2022 15:02:12:101 +0200,-7.439012,-4.80531,1.3719195,33.78,2.04,-29.64,0.76836216,1.2244697,1.0424812,holdinginhand,walking
10 May 2022 15:02:12:263 +0200,-7.656891,-6.759038,1.5562786,31.32,3.6599998,-29.519999,0.76836216,1.2244697,1.0424812,holdinginhand,walking
10 May 2022 15:02:12:283 +0200,-7.656891,-6.759038,1.5562786,31.32,3.6599998,-29.519999,-0.11189463,0.4810466,0.4474985,holdinginhand,walking
10 May 2022 15:02:12:441 +0200,-9.404712,-2.205127,4.14449,31.32,3.6599998,-29.519999,-0.11189463,0.4810466,0.4474985,holdinginhand,walking
10 May 2022 15:02:12:464 +0200,-9.404712,-2.205127,4.14449,31.32,3.6599998,-29.519999,-0.6573973,-0.22633535,-1.3117934,holdinginhand,walking
10 May 2022 15:02:12:468 +0200,-9.404712,-2.205127,4.14449,30.3,3.84,-24.539999,-0.6573973,-0.22633535,-1.3117934,holdinginhand,walking
