date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:31:10:403 +0200,10.94045,-3.63564,3.5685792,-45.061016,-1.6041355,-14.225805,0.2948436,0.032341227,0.15931563,holdinginhand,walking
10 May 2022 22:31:10:406 +0200,10.94045,-3.63564,3.5685792,-45.54552,-1.7571115,-15.540732,0.2948436,-0.1333074,0.40326118,holdinginhand,walking
10 May 2022 22:31:10:569 +0200,7.932305,-3.4488282,1.829795,-46.17503,-1.6242409,-14.269229,1.2706258,-0.8070872,0.47303602,holdinginhand,walking
10 May 2022 22:31:10:735 +0200,7.2114043,-3.3841627,2.6608667,-46.733387,-2.4307113,-8.226639,1.0810088,-0.21693066,0.158783,holdinginhand,walking
10 May 2022 22:31:10:887 +0200,10.612332,-3.5613942,-0.50534916,-46.77631,-3.1856732,-4.327135,0.4876565,-0.21799593,0.7883543,holdinginhand,walking
10 May 2022 22:31:11:052 +0200,9.992022,-1.707649,2.1459377,-46.25738,2.3599052,-1.3400116,0.40616375,-0.13384004,-0.87825197,holdinginhand,walking
10 May 2022 22:31:11:199 +0200,5.9180937,-4.7133985,1.8824854,-47.899105,-1.7277784,-1.9360847,-0.09664105,0.643803,-0.36639237,holdinginhand,walking
10 May 2022 22:31:11:369 +0200,9.010064,-0.74006104,1.2070899,-44.96416,-6.071974,-2.3500328,0.63626087,-0.38417718,0.62803197,holdinginhand,walking
10 May 2022 22:31:11:522 +0200,12.082874,-1.7483643,0.2945874,-44.96416,-6.071974,-2.3500328,0.63626087,-0.38417718,0.62803197,holdinginhand,walking
10 May 2022 22:31:11:530 +0200,12.082874,-1.7483643,0.2945874,-47.03265,-1.712141,-1.9023113,-0.035920978,0.04459177,-0.13522999,holdinginhand,walking
10 May 2022 22:31:11:686 +0200,13.266014,-3.5925295,3.0656252,-47.78548,-1.2480145,-0.35092545,1.8527929,-1.1772665,-0.6822433,holdinginhand,walking
10 May 2022 22:31:11:838 +0200,6.318062,-2.0190015,0.28500733,-46.712376,-3.475062,1.8783302,-0.41249198,0.27628678,-1.0747932,holdinginhand,walking
10 May 2022 22:31:12:003 +0200,7.180269,-1.1999048,0.12693603,-44.490604,-13.514653,5.968704,0.17180559,-0.18550536,0.5412129,holdinginhand,walking
10 May 2022 22:31:12:159 +0200,10.835069,-2.9458742,-1.0059083,-44.490604,-13.514653,5.968704,0.17180559,-0.18550536,0.5412129,holdinginhand,walking
10 May 2022 22:31:12:168 +0200,10.835069,-2.9458742,-1.0059083,-43.730717,-10.804948,6.833748,-0.70277655,0.17828245,1.020582,holdinginhand,walking
10 May 2022 22:31:12:321 +0200,11.433824,-1.0370435,1.7387843,-46.01398,-4.219459,5.950941,0.41149008,-0.36340454,0.19393672,holdinginhand,walking
10 May 2022 22:31:12:479 +0200,7.2257743,-2.078877,1.7028589,-45.977097,0.014442444,6.194174,-0.3203466,1.021972,0.28395158,holdinginhand,walking
10 May 2022 22:31:12:639 +0200,10.195599,-1.3292359,0.92208254,-46.93143,-0.42703342,1.836216,-0.060422063,0.26776466,0.04852812,holdinginhand,walking
10 May 2022 22:31:12:794 +0200,11.824212,-3.6404297,-0.728086,-46.27364,2.3258476,0.3898945,-0.2724097,0.21929513,-0.36106604,holdinginhand,walking
10 May 2022 22:31:12:952 +0200,10.078242,-3.7146754,0.6825806,-46.27364,2.3258476,0.3898945,-0.2724097,0.21929513,-0.36106604,holdinginhand,walking
10 May 2022 22:31:12:960 +0200,10.078242,-3.7146754,0.6825806,-47.000988,0.6818905,-2.936676,0.7928548,-1.1106875,-1.1759933,holdinginhand,walking
10 May 2022 22:31:13:101 +0200,6.5072684,-2.3662794,2.2608986,-47.000988,0.6818905,-2.936676,0.7928548,-1.1106875,-1.1759933,holdinginhand,walking
