date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:31:16:133 +0200,-5.5612354,-6.351592,0.7783814,9.21156,-8.734882,39.52998,0.53067225,0.49664745,0.7610831,holdinginhand,walking
10 May 2022 22:31:16:172 +0200,-5.872588,-6.581514,0.8214917,9.21156,-8.734882,39.52998,0.53067225,0.49664745,0.7610831,holdinginhand,walking
10 May 2022 22:31:16:212 +0200,-7.561077,-7.086863,0.41194338,9.21156,-8.734882,39.52998,0.53067225,0.49664745,0.7610831,holdinginhand,walking
10 May 2022 22:31:16:253 +0200,-8.159832,-7.580237,-0.37601808,7.5384245,-14.052219,41.10892,-0.7311335,-0.46528634,-1.6165872,holdinginhand,walking
10 May 2022 22:31:16:295 +0200,-7.053333,-5.853428,1.5040723,7.5384245,-14.052219,41.10892,-0.7311335,-0.46528634,-1.6165872,holdinginhand,walking
10 May 2022 22:31:16:334 +0200,-8.641231,-5.1061816,2.567461,7.5384245,-14.052219,41.10892,-0.7311335,-0.46528634,-1.6165872,holdinginhand,walking
10 May 2022 22:31:16:375 +0200,-9.091495,-6.5144534,1.7148341,7.5384245,-14.052219,41.10892,-0.7311335,-0.46528634,-1.6165872,holdinginhand,walking
10 May 2022 22:31:16:414 +0200,-9.091495,-6.5144534,1.7148341,9.353431,-7.36463,38.943745,-2.1229014,-1.6019236,-2.0570738,holdinginhand,walking
10 May 2022 22:31:16:415 +0200,-9.316627,-5.841453,1.8992506,9.353431,-7.36463,38.943745,-2.1229014,-1.6019236,-2.0570738,holdinginhand,walking
10 May 2022 22:31:16:454 +0200,-9.539363,-4.152964,3.4416432,9.353431,-7.36463,38.943745,-2.1229014,-1.6019236,-2.0570738,holdinginhand,walking
10 May 2022 22:31:16:495 +0200,-8.138277,-4.550537,3.6332448,9.353431,-7.36463,38.943745,-2.1229014,-1.6019236,-2.0570738,holdinginhand,walking
10 May 2022 22:31:16:534 +0200,-7.3646855,-5.1540823,3.2859669,9.353431,-7.36463,38.943745,-2.1229014,-1.6019236,-2.0570738,holdinginhand,walking
10 May 2022 22:31:16:576 +0200,-8.301138,-4.988826,3.0895753,9.827774,8.2450285,29.995571,-1.6994588,-2.1627853,-1.1052603,holdinginhand,walking
10 May 2022 22:31:16:615 +0200,-8.782537,-4.9385304,2.7231374,9.827774,8.2450285,29.995571,-1.6994588,-2.1627853,-1.1052603,holdinginhand,walking
10 May 2022 22:31:16:652 +0200,-9.081915,-4.4403663,1.346001,9.827774,8.2450285,29.995571,-1.6994588,-2.1627853,-1.1052603,holdinginhand,walking
10 May 2022 22:31:16:692 +0200,-10.619517,-4.528982,0.92926764,9.827774,8.2450285,29.995571,-1.6994588,-2.1627853,-1.1052603,holdinginhand,walking
10 May 2022 22:31:16:734 +0200,-11.745176,-5.2738333,1.4226416,6.276279,18.82556,22.963531,-1.2632331,-1.9934082,-0.5129732,holdinginhand,walking
10 May 2022 22:31:16:774 +0200,-11.64219,-5.3384986,2.684817,6.276279,18.82556,22.963531,-1.2632331,-1.9934082,-0.5129732,holdinginhand,walking
10 May 2022 22:31:16:814 +0200,-10.672208,-5.599556,4.112249,6.276279,18.82556,22.963531,-1.2632331,-1.9934082,-0.5129732,holdinginhand,walking
10 May 2022 22:31:16:853 +0200,-9.766891,-3.8464015,5.3935843,6.276279,18.82556,22.963531,-1.2632331,-1.9934082,-0.5129732,holdinginhand,walking
10 May 2022 22:31:16:896 +0200,-9.457932,-2.1531227,3.642825,-0.4264893,23.411993,16.01816,1.0824792,-0.35609674,0.7472347,holdinginhand,walking
10 May 2022 22:31:16:935 +0200,-10.801538,-4.126619,1.6381935,-0.4264893,23.411993,16.01816,1.0824792,-0.35609674,0.7472347,holdinginhand,walking
10 May 2022 22:31:16:975 +0200,-12.674444,-6.8018556,3.1231055,-0.4264893,23.411993,16.01816,1.0824792,-0.35609674,0.7472347,holdinginhand,walking
10 May 2022 22:31:17:015 +0200,-12.427757,-8.044871,3.9709425,-0.4264893,23.411993,16.01816,1.0824792,-0.35609674,0.7472347,holdinginhand,walking
10 May 2022 22:31:17:055 +0200,-12.427757,-8.044871,3.9709425,-0.39852905,21.142841,10.709528,1.4888777,1.0830755,3.1536672,holdinginhand,walking
10 May 2022 22:31:17:057 +0200,-11.199112,-8.152647,2.567461,-0.39852905,21.142841,10.709528,1.4888777,1.0830755,3.1536672,holdinginhand,walking
10 May 2022 22:31:17:096 +0200,-9.3453665,-7.4101906,2.1100123,-0.39852905,21.142841,10.709528,1.4888777,1.0830755,3.1536672,holdinginhand,walking
10 May 2022 22:31:17:135 +0200,-7.6281376,-6.943162,2.4572902,-0.39852905,21.142841,10.709528,1.4888777,1.0830755,3.1536672,holdinginhand,walking
10 May 2022 22:31:17:176 +0200,-6.200706,-6.71324,2.1435425,-0.39852905,21.142841,10.709528,1.4888777,1.0830755,3.1536672,holdinginhand,walking
10 May 2022 22:31:17:216 +0200,-4.6894484,-6.1240654,1.3675562,8.026703,-0.48405764,15.170417,1.3887428,0.7437888,2.0947943,holdinginhand,walking
10 May 2022 22:31:17:255 +0200,-3.5829494,-5.4031644,0.9268726,8.026703,-0.48405764,15.170417,1.3887428,0.7437888,2.0947943,holdinginhand,walking
10 May 2022 22:31:17:296 +0200,-2.9027638,-4.9529004,0.6442603,8.026703,-0.48405764,15.170417,1.3887428,0.7437888,2.0947943,holdinginhand,walking
10 May 2022 22:31:17:339 +0200,-3.1087356,-5.2977834,0.023950197,8.026703,-0.48405764,15.170417,1.3887428,0.7437888,2.0947943,holdinginhand,walking
10 May 2022 22:31:17:376 +0200,-4.126619,-6.119275,-0.035925295,5.525711,-22.211746,22.95305,0.17114551,0.2793335,-1.2048625,holdinginhand,walking
10 May 2022 22:31:17:418 +0200,-6.09293,-6.8832865,0.7783814,5.525711,-22.211746,22.95305,0.17114551,0.2793335,-1.2048625,holdinginhand,walking
10 May 2022 22:31:17:458 +0200,-9.376502,-8.53585,0.6849756,5.525711,-22.211746,22.95305,0.17114551,0.2793335,-1.2048625,holdinginhand,walking
10 May 2022 22:31:17:498 +0200,-11.829002,-8.267608,1.7986598,5.525711,-22.211746,22.95305,0.17114551,0.2793335,-1.2048625,holdinginhand,walking
10 May 2022 22:31:17:544 +0200,-11.821816,-6.375542,3.4344583,6.114359,-21.598873,26.862251,-2.195872,-1.3350748,-2.9993002,holdinginhand,walking
10 May 2022 22:31:17:575 +0200,-10.7943535,-5.7839723,3.9014869,6.114359,-21.598873,26.862251,-2.195872,-1.3350748,-2.9993002,holdinginhand,walking
10 May 2022 22:31:17:614 +0200,-11.076965,-5.199588,5.1157618,6.114359,-21.598873,26.862251,-2.195872,-1.3350748,-2.9993002,holdinginhand,walking
10 May 2022 22:31:17:658 +0200,-11.433824,-3.3386574,4.6918435,6.114359,-21.598873,26.862251,-2.195872,-1.3350748,-2.9993002,holdinginhand,walking
10 May 2022 22:31:17:700 +0200,-9.627979,-3.3218923,2.0429518,8.867029,3.1346924,21.651665,-0.25123182,-0.07060588,-1.0088538,holdinginhand,walking
10 May 2022 22:31:17:738 +0200,-8.684341,-3.8272414,1.695674,8.867029,3.1346924,21.651665,-0.25123182,-0.07060588,-1.0088538,holdinginhand,walking
10 May 2022 22:31:17:779 +0200,-8.262817,-3.7218604,2.2249732,8.867029,3.1346924,21.651665,-0.25123182,-0.07060588,-1.0088538,holdinginhand,walking
10 May 2022 22:31:17:819 +0200,-7.3551054,-3.8272414,2.1052222,8.867029,3.1346924,21.651665,-0.25123182,-0.07060588,-1.0088538,holdinginhand,walking
10 May 2022 22:31:17:859 +0200,-7.414981,-3.803291,2.078877,3.4690707,17.194714,16.960081,-0.7774725,-1.052247,-0.37608668,holdinginhand,walking
10 May 2022 22:31:17:899 +0200,-8.499925,-3.2548318,2.3590944,3.4690707,17.194714,16.960081,-0.7774725,-1.052247,-0.37608668,holdinginhand,walking
10 May 2022 22:31:17:937 +0200,-9.740545,-3.3578174,1.9423609,3.4690707,17.194714,16.960081,-0.7774725,-1.052247,-0.37608668,holdinginhand,walking
10 May 2022 22:31:17:979 +0200,-10.571617,-4.404441,2.2393434,3.4690707,17.194714,16.960081,-0.7774725,-1.052247,-0.37608668,holdinginhand,walking
10 May 2022 22:31:18:019 +0200,-10.571617,-4.404441,2.2393434,-1.2877717,22.243334,14.267102,0.55037963,0.29158404,0.062269647,holdinginhand,walking
10 May 2022 22:31:18:022 +0200,-11.043435,-4.742139,3.4895437,-1.2877717,22.243334,14.267102,0.55037963,0.29158404,0.062269647,holdinginhand,walking
10 May 2022 22:31:18:059 +0200,-11.730806,-5.975574,4.167334,-1.2877717,22.243334,14.267102,0.55037963,0.29158404,0.062269647,holdinginhand,walking
10 May 2022 22:31:18:099 +0200,-10.523716,-5.8031325,4.4427614,-1.2877717,22.243334,14.267102,0.55037963,0.29158404,0.062269647,holdinginhand,walking
10 May 2022 22:31:18:137 +0200,-10.219549,-3.6021094,2.7111623,-1.2877717,22.243334,14.267102,0.55037963,0.29158404,0.062269647,holdinginhand,walking
10 May 2022 22:31:18:180 +0200,-10.219549,-3.6021094,2.7111623,-1.0361481,22.256315,13.844275,2.2755756,1.4740276,1.2558985,holdinginhand,walking
10 May 2022 22:31:18:183 +0200,-12.188255,-4.792434,1.6190332,-1.0361481,22.256315,13.844275,2.2755756,1.4740276,1.2558985,holdinginhand,walking
10 May 2022 22:31:18:218 +0200,-12.669654,-7.6041875,2.4788454,-1.0361481,22.256315,13.844275,2.2755756,1.4740276,1.2558985,holdinginhand,walking
10 May 2022 22:31:18:259 +0200,-10.971585,-8.076006,3.6212697,-1.0361481,22.256315,13.844275,2.2755756,1.4740276,1.2558985,holdinginhand,walking
10 May 2022 22:31:18:300 +0200,-9.7812605,-7.4197707,4.296665,-1.0361481,22.256315,13.844275,2.2755756,1.4740276,1.2558985,holdinginhand,walking
10 May 2022 22:31:18:337 +0200,-8.48316,-6.241421,3.06323,4.173239,10.809366,14.751022,1.1171004,1.2913347,2.503856,holdinginhand,walking
10 May 2022 22:31:18:379 +0200,-7.1299734,-5.865403,2.3854396,4.173239,10.809366,14.751022,1.1171004,1.2913347,2.503856,holdinginhand,walking
10 May 2022 22:31:18:418 +0200,-5.910908,-5.9204884,2.44771,4.173239,10.809366,14.751022,1.1171004,1.2913347,2.503856,holdinginhand,walking
