date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:15:06:805 +0200,-7.6113725,1.5974782,5.965994,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:840 +0200,-7.6305327,1.6214283,6.1480155,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:845 +0200,-7.6185575,1.6214283,6.1240654,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:850 +0200,-7.589817,1.6262183,6.0522146,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:854 +0200,-7.575447,1.6549586,5.992339,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:865 +0200,-7.6041875,1.6501685,5.999524,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:874 +0200,-7.6089773,1.6453785,6.0258694,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:884 +0200,-7.6017923,1.6621436,6.0091043,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:894 +0200,-7.6089773,1.6453785,5.973179,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:904 +0200,-7.582632,1.6381935,5.982759,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:918 +0200,-7.558682,1.6094532,5.997129,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:924 +0200,-7.573052,1.6310084,5.999524,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
10 May 2022 22:15:06:936 +0200,-7.5970025,1.6262183,6.023474,21.17727,-5.604469,-32.0604,0.014679082,-0.0113346195,0.004852277,holdinginhand,sitting
