date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:17:35:797 +0200,-7.434141,0.011975098,5.846243,22.137878,5.914441,-30.70768,-0.03432308,-0.118926324,0.02722283,holdinginhand,sitting
10 May 2022 22:17:35:799 +0200,-7.434141,0.011975098,5.846243,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:803 +0200,-7.424561,0.023950197,5.774392,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:813 +0200,-7.4030056,0.040715333,5.7480474,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:823 +0200,-7.472461,0.028740235,5.6977515,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:832 +0200,-7.5083866,0.081430666,5.702542,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:844 +0200,-7.5323367,0.09340577,5.752837,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:853 +0200,-7.5874224,0.10777588,5.8821683,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:864 +0200,-7.664063,0.15088624,5.980364,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:874 +0200,-7.7143583,0.17244141,6.0330544,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:884 +0200,-7.790999,0.21555176,6.0498195,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:900 +0200,-7.8700347,0.25147706,6.0450296,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:908 +0200,-7.941885,0.28979737,6.0402393,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:919 +0200,-8.011341,0.33290774,5.9372535,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:927 +0200,-8.0305,0.32093263,5.8821683,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:939 +0200,-8.025711,0.3161426,5.863008,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:947 +0200,-8.032896,0.31374758,5.879773,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:958 +0200,-8.059241,0.33769777,5.886958,22.61941,3.8997307,-31.243372,0.023733832,-0.053412564,0.035744946,holdinginhand,sitting
10 May 2022 22:17:35:964 +0200,-8.059241,0.33769777,5.886958,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:35:971 +0200,-8.087981,0.3424878,5.8510327,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:35:975 +0200,-8.044871,0.34488282,5.8198977,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:35:984 +0200,-8.044871,0.33530274,5.7815776,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:35:994 +0200,-7.9849954,0.32332766,5.752837,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:005 +0200,-7.94428,0.33769777,5.7719975,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:018 +0200,-7.913145,0.32093263,5.8270826,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:025 +0200,-7.8987746,0.3281177,5.8677983,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:033 +0200,-7.8580594,0.3065625,5.949229,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:045 +0200,-7.7790236,0.2921924,5.9875493,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:054 +0200,-7.726333,0.25387207,5.968389,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:064 +0200,-7.654483,0.23471193,5.961204,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:075 +0200,-7.6113725,0.19639161,5.975574,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:085 +0200,-7.5874224,0.18681154,5.997129,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:095 +0200,-7.549102,0.22513184,6.0450296,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:104 +0200,-7.4820414,0.21794678,6.0402393,22.014769,5.414809,-31.283728,0.06687704,0.06909285,-0.050008845,holdinginhand,sitting
10 May 2022 22:17:36:120 +0200,-7.448511,0.21555176,6.0402393,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:128 +0200,-7.398216,0.23950197,6.119275,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:137 +0200,-7.3527102,0.21794678,6.1767554,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:144 +0200,-7.3814507,0.22752686,6.2893214,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:152 +0200,-7.417376,0.25147706,6.368357,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:163 +0200,-7.462881,0.2562671,6.4042826,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:173 +0200,-7.534732,0.22992188,6.365962,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:183 +0200,-7.580237,0.22992188,6.2581863,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:196 +0200,-7.582632,0.20357667,6.10251,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
10 May 2022 22:17:36:203 +0200,-7.565867,0.122146,5.9013286,22.010017,4.90606,-31.278316,-0.044975728,0.0014485549,0.04959338,holdinginhand,sitting
