date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:12:42:632 +0200,9.004603,-0.5503612,3.8657036,-136.55626,2367.6,-1801.5001,0.0011984215,5.3263176E-4,-6.657897E-4,insidethebag,sitting
10 May 2022 15:12:42:640 +0200,9.004603,-0.5503612,3.8657036,-135.5625,2367.675,-1802.6626,0.0011984215,5.3263176E-4,-6.657897E-4,insidethebag,sitting
10 May 2022 15:12:42:735 +0200,9.004603,-0.5503612,3.8657036,-135.5625,2367.675,-1802.6626,0.0011984215,-2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:42:813 +0200,9.014186,-0.54557025,3.8567204,-135.5625,2367.675,-1802.6626,0.0011984215,-2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:42:834 +0200,9.014186,-0.54557025,3.8567204,-135.20625,2366.8313,-1801.8,0.0011984215,-2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:42:970 +0200,9.014186,-0.54557025,3.8567204,-135.20625,2366.8313,-1801.8,7.9894764E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:033 +0200,9.014186,-0.54557025,3.8567204,-136.40625,2367.75,-1802.1188,7.9894764E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:075 +0200,9.003407,-0.54916346,3.863308,-136.40625,2367.75,-1802.1188,7.9894764E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:150 +0200,9.003407,-0.54916346,3.863308,-136.40625,2367.75,-1802.1188,6.657897E-4,2.6631588E-4,1.3315794E-4,insidethebag,sitting
10 May 2022 15:12:43:230 +0200,9.007598,-0.5461691,3.8555226,-134.70001,2366.1377,-1801.8188,6.657897E-4,2.6631588E-4,1.3315794E-4,insidethebag,sitting
10 May 2022 15:12:43:333 +0200,9.007598,-0.5461691,3.8555226,-134.70001,2366.1377,-1801.8188,6.657897E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:415 +0200,9.000412,-0.5533555,3.8603137,-134.70001,2366.1377,-1801.8188,6.657897E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:428 +0200,9.000412,-0.5533555,3.8603137,-135.90001,2367.0564,-1802.2688,6.657897E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:589 +0200,9.000412,-0.5533555,3.8603137,-135.90001,2367.0564,-1802.2688,9.321056E-4,2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:632 +0200,9.000412,-0.5533555,3.8603137,-135.13126,2366.6064,-1801.9689,9.321056E-4,2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:668 +0200,9.005801,-0.5515589,3.8621104,-135.13126,2366.6064,-1801.9689,9.321056E-4,2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:43:766 +0200,9.005801,-0.5515589,3.8621104,-135.13126,2366.6064,-1801.9689,0.0011984215,6.657897E-4,0.0,insidethebag,sitting
10 May 2022 15:12:43:830 +0200,9.005801,-0.5515589,3.8621104,-135.84375,2367.675,-1801.65,0.0011984215,6.657897E-4,0.0,insidethebag,sitting
10 May 2022 15:12:43:846 +0200,9.00161,-0.5479657,3.862709,-135.84375,2367.675,-1801.65,0.0011984215,6.657897E-4,0.0,insidethebag,sitting
10 May 2022 15:12:43:931 +0200,9.00161,-0.5479657,3.862709,-135.84375,2367.675,-1801.65,0.0017310532,3.9947382E-4,7.9894764E-4,insidethebag,sitting
10 May 2022 15:12:44:029 +0200,9.006999,-0.54736686,3.8591158,-135.69376,2366.9062,-1801.8188,0.0017310532,3.9947382E-4,7.9894764E-4,insidethebag,sitting
10 May 2022 15:12:44:186 +0200,9.006999,-0.54736686,3.8591158,-135.69376,2366.9062,-1801.8188,5.3263176E-4,5.3263176E-4,1.3315794E-4,insidethebag,sitting
10 May 2022 15:12:44:212 +0200,9.005202,-0.54736686,3.872291,-135.69376,2366.9062,-1801.8188,5.3263176E-4,5.3263176E-4,1.3315794E-4,insidethebag,sitting
10 May 2022 15:12:44:220 +0200,9.005202,-0.54736686,3.872291,-135.4875,2366.6064,-1802.1188,5.3263176E-4,5.3263176E-4,1.3315794E-4,insidethebag,sitting
10 May 2022 15:12:44:373 +0200,9.005202,-0.54736686,3.872291,-135.4875,2366.6064,-1802.1188,7.9894764E-4,6.657897E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:426 +0200,9.005202,-0.54736686,3.872291,-136.20001,2367.3564,-1800.8813,7.9894764E-4,6.657897E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:446 +0200,9.005202,-0.5533555,3.8639069,-136.20001,2367.3564,-1800.8813,7.9894764E-4,6.657897E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:548 +0200,9.005202,-0.5533555,3.8639069,-136.20001,2367.3564,-1800.8813,7.9894764E-4,7.9894764E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:626 +0200,9.00161,-0.5539544,3.8716922,-134.85,2367.1501,-1801.3313,7.9894764E-4,7.9894764E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:728 +0200,9.00161,-0.5539544,3.8716922,-134.85,2367.1501,-1801.3313,6.657897E-4,2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:805 +0200,9.00161,-0.5503612,3.868698,-134.85,2367.1501,-1801.3313,6.657897E-4,2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:817 +0200,9.00161,-0.5503612,3.868698,-135.61876,2366.2876,-1801.3501,6.657897E-4,2.6631588E-4,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:44:968 +0200,9.00161,-0.5503612,3.868698,-135.61876,2366.2876,-1801.3501,9.321056E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:45:019 +0200,9.00161,-0.5503612,3.868698,-135.84375,2366.6814,-1801.65,9.321056E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:45:068 +0200,9.001011,-0.5485646,3.862709,-135.84375,2366.6814,-1801.65,9.321056E-4,0.0,-2.6631588E-4,insidethebag,sitting
10 May 2022 15:12:45:148 +0200,9.001011,-0.5485646,3.862709,-135.84375,2366.6814,-1801.65,0.0011984215,1.3315794E-4,-3.9947382E-4,insidethebag,sitting
10 May 2022 15:12:45:213 +0200,9.001011,-0.5485646,3.862709,-135.84375,2367.375,-1802.8126,0.0011984215,1.3315794E-4,-3.9947382E-4,insidethebag,sitting
