date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:15:25:210 +0200,-0.9960183,-0.28970724,9.80695,59.219997,14.58,-12.719999,0.0011942416,-3.2375858E-5,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:228 +0200,-0.9960183,-0.28013015,9.797373,59.219997,14.58,-12.719999,0.0011942416,-3.2375858E-5,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:269 +0200,-0.9960183,-0.28013015,9.797373,59.219997,14.58,-12.719999,0.0011942416,-0.0024758368,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:413 +0200,-0.9696813,-0.28252444,9.799767,59.16,13.98,-12.3,0.0011942416,-0.0024758368,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:418 +0200,-0.9864412,-0.2849187,9.816526,59.16,13.98,-12.3,0.0011942416,-0.0024758368,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:453 +0200,-0.9864412,-0.2849187,9.816526,59.16,13.98,-12.3,-2.7488935E-5,-0.0012541064,-4.147775E-4,insidethebag,sitting
10 May 2022 15:15:25:592 +0200,-0.967287,-0.26337022,9.780613,59.16,13.98,-12.3,-2.7488935E-5,-0.0012541064,-4.147775E-4,insidethebag,sitting
10 May 2022 15:15:25:611 +0200,-0.967287,-0.26337022,9.780613,59.039997,13.62,-12.54,-2.7488935E-5,-0.0012541064,-4.147775E-4,insidethebag,sitting
10 May 2022 15:15:25:631 +0200,-0.967287,-0.26337022,9.780613,59.039997,13.62,-12.54,5.8337627E-4,-0.0012541064,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:770 +0200,-0.9864412,-0.28970724,9.787795,59.039997,13.62,-12.54,5.8337627E-4,-0.0012541064,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:779 +0200,-1.2713599,-0.40223816,9.783007,59.039997,13.62,-12.54,5.8337627E-4,-0.0012541064,1.9608774E-4,insidethebag,sitting
10 May 2022 15:15:25:813 +0200,-1.2713599,-0.40223816,9.783007,59.039997,13.679999,-11.759999,0.0042485674,0.0042436807,-0.0138538135,insidethebag,sitting
10 May 2022 15:15:25:950 +0200,-1.5227587,-0.24900457,9.862018,59.039997,13.679999,-11.759999,0.0042485674,0.0042436807,-0.0138538135,insidethebag,sitting
10 May 2022 15:15:25:955 +0200,-2.4517374,0.05506832,8.882759,59.039997,13.679999,-11.759999,0.0042485674,0.0042436807,-0.0138538135,insidethebag,sitting
10 May 2022 15:15:25:990 +0200,-2.4517374,0.05506832,8.882759,59.039997,13.679999,-11.759999,-0.007357872,0.030510888,-0.025460253,insidethebag,sitting
10 May 2022 15:15:26:010 +0200,-2.4517374,0.05506832,8.882759,59.34,13.62,-12.0,-0.007357872,0.030510888,-0.025460253,insidethebag,sitting
10 May 2022 15:15:26:131 +0200,0.05506832,0.27294734,10.312141,59.34,13.62,-12.0,-0.007357872,0.030510888,-0.025460253,insidethebag,sitting
10 May 2022 15:15:26:136 +0200,-0.4860378,-0.18914771,10.063137,59.34,13.62,-12.0,-0.007357872,0.030510888,-0.025460253,insidethebag,sitting
10 May 2022 15:15:26:171 +0200,-0.4860378,-0.18914771,10.063137,59.34,13.62,-12.0,-0.0043035457,-0.41358814,0.44551685,insidethebag,sitting
10 May 2022 15:15:26:211 +0200,-0.4860378,-0.18914771,10.063137,59.16,13.98,-12.599999,-0.0043035457,-0.41358814,0.44551685,insidethebag,sitting
10 May 2022 15:15:26:310 +0200,1.7741576,-1.4772675,11.037607,59.16,13.98,-12.599999,-0.0043035457,-0.41358814,0.44551685,insidethebag,sitting
10 May 2022 15:15:26:315 +0200,0.27055305,0.45251793,11.897152,59.16,13.98,-12.599999,-0.0043035457,-0.41358814,0.44551685,insidethebag,sitting
10 May 2022 15:15:26:351 +0200,0.27055305,0.45251793,11.897152,59.16,13.98,-12.599999,0.11298258,-0.37815797,0.81020343,insidethebag,sitting
10 May 2022 15:15:26:413 +0200,0.27055305,0.45251793,11.897152,57.48,14.28,-12.42,0.11298258,-0.37815797,0.81020343,insidethebag,sitting
10 May 2022 15:15:26:495 +0200,2.5092,0.11253092,7.4246464,57.48,14.28,-12.42,0.11298258,-0.37815797,0.81020343,insidethebag,sitting
10 May 2022 15:15:26:534 +0200,2.5092,0.11253092,7.4246464,57.48,14.28,-12.42,0.89061403,-1.0867616,1.759488,insidethebag,sitting
10 May 2022 15:15:26:609 +0200,2.5092,0.11253092,7.4246464,54.18,13.38,-14.639999,0.89061403,-1.0867616,1.759488,insidethebag,sitting
10 May 2022 15:15:26:668 +0200,-2.3248408,-0.22506183,8.978531,54.18,13.38,-14.639999,0.89061403,-1.0867616,1.759488,insidethebag,sitting
10 May 2022 15:15:26:670 +0200,-2.7031362,-0.21548474,9.481328,54.18,13.38,-14.639999,0.89061403,-1.0867616,1.759488,insidethebag,sitting
10 May 2022 15:15:26:710 +0200,-2.7031362,-0.21548474,9.481328,54.18,13.38,-14.639999,-0.74406135,2.396392,-0.8715086,insidethebag,sitting
10 May 2022 15:15:26:811 +0200,-2.7031362,-0.21548474,9.481328,49.98,12.179999,-17.46,-0.74406135,2.396392,-0.8715086,insidethebag,sitting
10 May 2022 15:15:26:852 +0200,-2.2123098,-1.3383996,8.770228,49.98,12.179999,-17.46,-0.74406135,2.396392,-0.8715086,insidethebag,sitting
10 May 2022 15:15:26:857 +0200,-0.86193895,0.21548474,11.3656225,49.98,12.179999,-17.46,-0.74406135,2.396392,-0.8715086,insidethebag,sitting
10 May 2022 15:15:26:896 +0200,-0.86193895,0.21548474,11.3656225,49.98,12.179999,-17.46,0.019520199,0.039673865,-1.3797486,insidethebag,sitting
10 May 2022 15:15:27:014 +0200,-0.86193895,0.21548474,11.3656225,49.2,12.24,-19.02,0.019520199,0.039673865,-1.3797486,insidethebag,sitting
10 May 2022 15:15:27:032 +0200,-0.08858817,-0.43336374,9.761458,49.2,12.24,-19.02,0.019520199,0.039673865,-1.3797486,insidethebag,sitting
10 May 2022 15:15:27:035 +0200,-0.40463245,-0.098165266,10.010463,49.2,12.24,-19.02,0.019520199,0.039673865,-1.3797486,insidethebag,sitting
10 May 2022 15:15:27:071 +0200,-0.40463245,-0.098165266,10.010463,49.2,12.24,-19.02,0.039678752,0.07815838,-0.6949686,insidethebag,sitting
10 May 2022 15:15:27:214 +0200,-1.175589,-0.47885495,9.766247,48.84,13.44,-20.88,0.039678752,0.07815838,-0.6949686,insidethebag,sitting
10 May 2022 15:15:27:219 +0200,-1.2330515,-0.4668836,9.792584,48.84,13.44,-20.88,0.039678752,0.07815838,-0.6949686,insidethebag,sitting
