date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:10:59:706 +0200,-8.751282,-0.5210166,0.65216905,37.6875,-12.918751,-2.71875,1.4064142,0.7664571,0.29680905,insidethebag,standing
10 May 2022 22:10:59:820 +0200,-9.518434,-1.8708687,-0.18744619,37.6875,-12.918751,-2.71875,1.4064142,0.7664571,0.29680905,insidethebag,standing
10 May 2022 22:10:59:908 +0200,-9.518434,-1.8708687,-0.18744619,37.6875,-12.918751,-2.71875,3.0221527,1.4639384,-0.29241484,insidethebag,standing
10 May 2022 22:10:59:920 +0200,-9.518434,-1.8708687,-0.18744619,37.893753,-4.9500003,12.750001,3.0221527,1.4639384,-0.29241484,insidethebag,standing
10 May 2022 22:11:00:060 +0200,-9.11779,-1.9032077,-1.8451173,37.893753,-4.9500003,12.750001,2.3298645,0.56339127,-1.3153341,insidethebag,standing
10 May 2022 22:11:00:107 +0200,-9.11779,-1.9032077,-1.8451173,34.2,11.775001,17.1,2.3298645,0.56339127,-1.3153341,insidethebag,standing
10 May 2022 22:11:00:252 +0200,-10.52753,-3.786054,2.5002806,34.2,11.775001,17.1,2.3298645,0.56339127,-1.3153341,insidethebag,standing
10 May 2022 22:11:00:275 +0200,-10.52753,-3.786054,2.5002806,34.2,11.775001,17.1,2.0686085,-1.9741997,-0.4561991,insidethebag,standing
10 May 2022 22:11:00:305 +0200,-10.52753,-3.786054,2.5002806,36.675003,16.518751,-1.5187501,2.0686085,-1.9741997,-0.4561991,insidethebag,standing
10 May 2022 22:11:00:429 +0200,-8.316503,-6.6636224,2.430213,36.675003,16.518751,-1.5187501,2.0686085,-1.9741997,-0.4561991,insidethebag,standing
10 May 2022 22:11:00:516 +0200,-8.316503,-6.6636224,2.430213,33.018753,21.88125,-4.6687503,3.2714243,0.87458134,-0.9454214,insidethebag,standing
10 May 2022 22:11:00:689 +0200,-7.6691246,-3.5860314,4.0076356,33.018753,21.88125,-4.6687503,2.7304037,2.5803347,-2.4671502,insidethebag,standing
10 May 2022 22:11:00:710 +0200,-7.6691246,-3.5860314,4.0076356,22.237501,34.29375,-4.2000003,2.7304037,2.5803347,-2.4671502,insidethebag,standing
10 May 2022 22:11:00:875 +0200,-6.7774076,-2.2301905,6.3605943,22.237501,34.29375,-4.2000003,2.1234696,1.2563452,-0.93596715,insidethebag,standing
10 May 2022 22:11:00:901 +0200,-6.7774076,-2.2301905,6.3605943,20.53125,31.500002,-12.225,2.1234696,1.2563452,-0.93596715,insidethebag,standing
10 May 2022 22:11:01:014 +0200,-7.7332034,-7.387057,0.89590895,20.53125,31.500002,-12.225,2.1234696,1.2563452,-0.93596715,insidethebag,standing
10 May 2022 22:11:01:032 +0200,-7.7332034,-7.387057,0.89590895,20.53125,31.500002,-12.225,0.2498043,1.185372,1.37672,insidethebag,standing
10 May 2022 22:11:01:097 +0200,-7.7332034,-7.387057,0.89590895,29.681252,24.862501,-11.8125,0.2498043,1.185372,1.37672,insidethebag,standing
10 May 2022 22:11:01:273 +0200,-9.715462,-6.597148,0.54736686,29.681252,24.862501,-11.8125,0.27856642,-0.056592125,0.08775108,insidethebag,standing
