date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:00:23:134 +0200,-5.455855,0.15328126,-8.097562,-7.955127,2.7496216,59.92566,-3.6205794E-4,-0.0072226445,-5.8095437E-4,insidethepantpocket,sitting
10 May 2022 22:00:23:146 +0200,-5.4822,0.19639161,-8.087981,-7.955127,2.7496216,59.92566,-3.6205794E-4,-0.0072226445,-5.8095437E-4,insidethepantpocket,sitting
10 May 2022 22:00:23:188 +0200,-5.527705,0.17244141,-8.049661,-7.955127,2.7496216,59.92566,-3.6205794E-4,-0.0072226445,-5.8095437E-4,insidethepantpocket,sitting
10 May 2022 22:00:23:233 +0200,-5.5324955,0.12693603,-8.066426,-6.5985355,2.0987,59.841793,-0.0040904833,0.00822369,-0.0032441155,insidethepantpocket,sitting
10 May 2022 22:00:23:271 +0200,-5.518125,0.20597169,-8.090376,-6.5985355,2.0987,59.841793,-0.0040904833,0.00822369,-0.0032441155,insidethepantpocket,sitting
10 May 2022 22:00:23:311 +0200,-5.46304,0.26105714,-8.111932,-6.5985355,2.0987,59.841793,-0.0040904833,0.00822369,-0.0032441155,insidethepantpocket,sitting
10 May 2022 22:00:23:352 +0200,-5.3073635,0.2562671,-8.176597,-6.5985355,2.0987,59.841793,-0.0040904833,0.00822369,-0.0032441155,insidethepantpocket,sitting
10 May 2022 22:00:23:393 +0200,-5.2929935,0.27303225,-8.152647,-6.591321,1.4487488,58.407417,0.009757955,-0.0120163355,0.015930645,insidethepantpocket,sitting
10 May 2022 22:00:23:431 +0200,-5.3025737,0.1820215,-8.044871,-6.591321,1.4487488,58.407417,0.009757955,-0.0120163355,0.015930645,insidethepantpocket,sitting
10 May 2022 22:00:23:470 +0200,-5.5564456,0.0071850587,-8.121511,-6.591321,1.4487488,58.407417,0.009757955,-0.0120163355,0.015930645,insidethepantpocket,sitting
10 May 2022 22:00:23:507 +0200,-5.704937,-0.05508545,-8.116721,-6.591321,1.4487488,58.407417,0.009757955,-0.0120163355,0.015930645,insidethepantpocket,sitting
10 May 2022 22:00:23:552 +0200,-5.5061502,-0.07664063,-8.145462,-6.591321,1.4487488,58.407417,-0.015275761,-0.007755277,0.038301196,insidethepantpocket,sitting
10 May 2022 22:00:23:555 +0200,-5.5061502,-0.07664063,-8.145462,-6.601703,1.7595338,59.8454,-0.015275761,-0.007755277,0.038301196,insidethepantpocket,sitting
10 May 2022 22:00:23:591 +0200,-5.3384986,0.06466553,-8.217313,-6.601703,1.7595338,59.8454,-0.015275761,-0.007755277,0.038301196,insidethepantpocket,sitting
10 May 2022 22:00:23:638 +0200,-5.364844,0.2945874,-8.131092,-6.601703,1.7595338,59.8454,-0.015275761,-0.007755277,0.038301196,insidethepantpocket,sitting
10 May 2022 22:00:23:668 +0200,-5.3959794,0.2802173,-8.1071415,-6.601703,1.7595338,59.8454,-0.015275761,-0.007755277,0.038301196,insidethepantpocket,sitting
10 May 2022 22:00:23:709 +0200,-5.4534597,0.34009278,-8.123906,-7.2348547,0.2221161,59.83751,-0.047233693,-0.039713208,0.047355946,insidethepantpocket,sitting
10 May 2022 22:00:23:752 +0200,-5.599556,0.2682422,-7.9730206,-7.2348547,0.2221161,59.83751,-0.047233693,-0.039713208,0.047355946,insidethepantpocket,sitting
10 May 2022 22:00:23:793 +0200,-5.724097,0.102985844,-8.035291,-7.2348547,0.2221161,59.83751,-0.047233693,-0.039713208,0.047355946,insidethepantpocket,sitting
10 May 2022 22:00:23:831 +0200,-5.601951,0.05508545,-8.037686,-7.2348547,0.2221161,59.83751,-0.047233693,-0.039713208,0.047355946,insidethepantpocket,sitting
10 May 2022 22:00:23:873 +0200,-5.4510646,0.30416748,-8.056846,-6.8454256,1.5968356,59.26091,-0.08718111,0.035387933,-0.031473625,insidethepantpocket,sitting
10 May 2022 22:00:23:911 +0200,-5.345684,0.2682422,-8.095166,-6.8454256,1.5968356,59.26091,-0.08718111,0.035387933,-0.031473625,insidethepantpocket,sitting
