date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 15:04:05:852 +0200,-0.48628214,-10.225699,-0.629412,9.46875,25.518751,27.843752,-1.2901673,-1.7391759,-0.031158958,insidethepantpocket,walking
10 May 2022 15:04:05:913 +0200,-1.1312647,-6.6456566,-2.7098851,9.46875,25.518751,27.843752,-1.2901673,-1.7391759,-0.031158958,insidethepantpocket,walking
10 May 2022 15:04:05:954 +0200,-1.1312647,-6.6456566,-2.7098851,9.46875,25.518751,27.843752,0.25712797,0.01358211,-0.40959382,insidethepantpocket,walking
10 May 2022 15:04:06:053 +0200,-1.1312647,-6.6456566,-2.7098851,6.80625,28.35,28.85625,0.25712797,0.01358211,-0.40959382,insidethepantpocket,walking
10 May 2022 15:04:06:117 +0200,-1.800801,-11.565969,-4.2292175,6.80625,28.35,28.85625,0.25712797,0.01358211,-0.40959382,insidethepantpocket,walking
10 May 2022 15:04:06:155 +0200,-1.800801,-11.565969,-4.2292175,6.80625,28.35,28.85625,0.27044377,0.5367597,-0.006391581,insidethepantpocket,walking
10 May 2022 15:04:06:251 +0200,-1.800801,-11.565969,-4.2292175,1.9687501,31.312502,25.81875,0.27044377,0.5367597,-0.006391581,insidethepantpocket,walking
10 May 2022 15:04:06:317 +0200,1.3025415,-8.8387165,-0.34674552,1.9687501,31.312502,25.81875,0.27044377,0.5367597,-0.006391581,insidethepantpocket,walking
10 May 2022 15:04:06:357 +0200,1.3025415,-8.8387165,-0.34674552,1.9687501,31.312502,25.81875,0.8317045,1.5028205,-0.08468845,insidethepantpocket,walking
10 May 2022 15:04:06:451 +0200,1.3025415,-8.8387165,-0.34674552,-3.3000002,34.66875,20.4375,0.8317045,1.5028205,-0.08468845,insidethepantpocket,walking
10 May 2022 15:04:06:515 +0200,1.5414904,-9.229779,-1.2007337,-3.3000002,34.66875,20.4375,0.8317045,1.5028205,-0.08468845,insidethepantpocket,walking
10 May 2022 15:04:06:554 +0200,1.5414904,-9.229779,-1.2007337,-3.3000002,34.66875,20.4375,0.6528734,0.62517655,0.3922833,insidethepantpocket,walking
10 May 2022 15:04:06:651 +0200,1.5414904,-9.229779,-1.2007337,-2.2687502,36.99375,18.46875,0.6528734,0.62517655,0.3922833,insidethepantpocket,walking
10 May 2022 15:04:06:717 +0200,1.1881573,-11.119212,-0.6365984,-2.2687502,36.99375,18.46875,0.6528734,0.62517655,0.3922833,insidethepantpocket,walking
10 May 2022 15:04:06:755 +0200,1.1881573,-11.119212,-0.6365984,-2.2687502,36.99375,18.46875,-0.9772461,0.05419528,0.2229064,insidethepantpocket,walking
10 May 2022 15:04:06:849 +0200,1.1881573,-11.119212,-0.6365984,0.69375,31.143751,27.187502,-0.9772461,0.05419528,0.2229064,insidethepantpocket,walking
10 May 2022 15:04:06:915 +0200,-0.712056,-10.222106,-0.27667776,0.69375,31.143751,27.187502,-0.9772461,0.05419528,0.2229064,insidethepantpocket,walking
10 May 2022 15:04:06:955 +0200,-0.712056,-10.222106,-0.27667776,0.69375,31.143751,27.187502,-1.161803,-1.4391711,-0.09294424,insidethepantpocket,walking
10 May 2022 15:04:07:047 +0200,-0.712056,-10.222106,-0.27667776,6.4687505,26.268751,32.475002,-1.161803,-1.4391711,-0.09294424,insidethepantpocket,walking
10 May 2022 15:04:07:118 +0200,-1.1091065,-7.7553616,-2.2152188,6.4687505,26.268751,32.475002,-1.161803,-1.4391711,-0.09294424,insidethepantpocket,walking
10 May 2022 15:04:07:155 +0200,-1.1091065,-7.7553616,-2.2152188,6.4687505,26.268751,32.475002,0.38922065,0.050466858,-0.38602486,insidethepantpocket,walking
10 May 2022 15:04:07:247 +0200,-1.1091065,-7.7553616,-2.2152188,5.0062504,31.031252,30.112501,0.38922065,0.050466858,-0.38602486,insidethepantpocket,walking
10 May 2022 15:04:07:315 +0200,-1.4756148,-10.418535,-4.048359,5.0062504,31.031252,30.112501,0.38922065,0.050466858,-0.38602486,insidethepantpocket,walking
10 May 2022 15:04:07:355 +0200,-1.4756148,-10.418535,-4.048359,5.0062504,31.031252,30.112501,0.29654273,-0.25845957,-0.020905796,insidethepantpocket,walking
10 May 2022 15:04:07:440 +0200,-1.4756148,-10.418535,-4.048359,4.7250004,31.031252,27.225,0.29654273,-0.25845957,-0.020905796,insidethepantpocket,walking
10 May 2022 15:04:07:519 +0200,0.5521578,-9.610061,-0.3233896,4.7250004,31.031252,27.225,0.29654273,-0.25845957,-0.020905796,insidethepantpocket,walking
10 May 2022 15:04:07:555 +0200,0.5521578,-9.610061,-0.3233896,4.7250004,31.031252,27.225,0.553937,0.8096003,-0.2162485,insidethepantpocket,walking
10 May 2022 15:04:07:639 +0200,0.5521578,-9.610061,-0.3233896,-0.61875004,34.0875,25.66875,0.553937,0.8096003,-0.2162485,insidethepantpocket,walking
10 May 2022 15:04:07:715 +0200,0.7312198,-9.366322,-0.23116368,-0.61875004,34.0875,25.66875,0.553937,0.8096003,-0.2162485,insidethepantpocket,walking
10 May 2022 15:04:07:756 +0200,0.7312198,-9.366322,-0.23116368,-0.61875004,34.0875,25.66875,0.42757013,0.65234077,-0.023036323,insidethepantpocket,walking
10 May 2022 15:04:07:840 +0200,0.7312198,-9.366322,-0.23116368,-2.1937501,36.0,23.643751,0.42757013,0.65234077,-0.023036323,insidethepantpocket,walking
10 May 2022 15:04:07:914 +0200,1.0354456,-9.771157,-0.8797395,-2.1937501,36.0,23.643751,0.42757013,0.65234077,-0.023036323,insidethepantpocket,walking
10 May 2022 15:04:07:959 +0200,1.0354456,-9.771157,-0.8797395,-2.1937501,36.0,23.643751,0.2810964,0.38535908,0.23941797,insidethepantpocket,walking
10 May 2022 15:04:08:039 +0200,1.0354456,-9.771157,-0.8797395,-2.775,37.068752,23.962502,0.2810964,0.38535908,0.23941797,insidethepantpocket,walking
10 May 2022 15:04:08:119 +0200,1.1342591,-10.897631,-0.8426096,-2.775,37.068752,23.962502,0.2810964,0.38535908,0.23941797,insidethepantpocket,walking
10 May 2022 15:04:08:157 +0200,1.1342591,-10.897631,-0.8426096,-2.775,37.068752,23.962502,-0.8598008,-0.13875057,0.23449114,insidethepantpocket,walking
10 May 2022 15:04:08:234 +0200,1.1342591,-10.897631,-0.8426096,1.81875,30.225,31.237501,-0.8598008,-0.13875057,0.23449114,insidethepantpocket,walking
10 May 2022 15:04:08:314 +0200,-0.5539544,-10.3640375,-0.15211289,1.81875,30.225,31.237501,-0.8598008,-0.13875057,0.23449114,insidethepantpocket,walking
10 May 2022 15:04:08:354 +0200,-0.5539544,-10.3640375,-0.15211289,1.81875,30.225,31.237501,-1.024384,-1.2064109,-0.034621064,insidethepantpocket,walking
10 May 2022 15:04:08:429 +0200,-0.5539544,-10.3640375,-0.15211289,8.1,25.125002,35.193752,-1.024384,-1.2064109,-0.034621064,insidethepantpocket,walking
10 May 2022 15:04:08:517 +0200,-1.0390388,-7.6745143,-2.1786878,8.1,25.125002,35.193752,-1.024384,-1.2064109,-0.034621064,insidethepantpocket,walking
10 May 2022 15:04:08:558 +0200,-1.0390388,-7.6745143,-2.1786878,8.1,25.125002,35.193752,0.28748798,-0.07057371,-0.30626327,insidethepantpocket,walking
10 May 2022 15:04:08:628 +0200,-1.0390388,-7.6745143,-2.1786878,6.9375005,28.275002,32.662502,0.28748798,-0.07057371,-0.30626327,insidethepantpocket,walking
10 May 2022 15:04:08:719 +0200,-1.2276827,-9.642999,-4.390313,6.9375005,28.275002,32.662502,0.28748798,-0.07057371,-0.30626327,insidethepantpocket,walking
10 May 2022 15:04:08:757 +0200,-1.2276827,-9.642999,-4.390313,6.9375005,28.275002,32.662502,-0.016378427,0.04833633,0.057790548,insidethepantpocket,walking
10 May 2022 15:04:08:833 +0200,-1.2276827,-9.642999,-4.390313,4.74375,27.093752,34.48125,-0.016378427,0.04833633,0.057790548,insidethepantpocket,walking
10 May 2022 15:04:08:915 +0200,-0.06348018,-9.748999,-0.6455815,4.74375,27.093752,34.48125,-0.016378427,0.04833633,0.057790548,insidethepantpocket,walking
10 May 2022 15:04:08:956 +0200,-0.06348018,-9.748999,-0.6455815,4.74375,27.093752,34.48125,0.55926335,0.68083656,-0.105327934,insidethepantpocket,walking
10 May 2022 15:04:09:031 +0200,-0.06348018,-9.748999,-0.6455815,0.45000002,31.3875,33.9375,0.55926335,0.68083656,-0.105327934,insidethepantpocket,walking
10 May 2022 15:04:09:119 +0200,0.8210503,-9.758581,-0.9881349,0.45000002,31.3875,33.9375,0.55926335,0.68083656,-0.105327934,insidethepantpocket,walking
10 May 2022 15:04:09:162 +0200,0.8210503,-9.758581,-0.9881349,0.45000002,31.3875,33.9375,0.3780354,0.376837,-0.0636495,insidethepantpocket,walking
10 May 2022 15:04:09:229 +0200,0.8210503,-9.758581,-0.9881349,-1.35,33.99375,32.550003,0.3780354,0.376837,-0.0636495,insidethepantpocket,walking
10 May 2022 15:04:09:319 +0200,0.8384175,-9.3932705,-1.203728,-1.35,33.99375,32.550003,0.3780354,0.376837,-0.0636495,insidethepantpocket,walking
