date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 22:06:04:312 +0200,-4.2570205,9.038387,0.17957062,-5.8799996,-107.399994,-63.96,0.05050084,-0.12838005,0.020671068,insidethepantpocket,standing
10 May 2022 22:06:04:352 +0200,-4.312089,8.796566,0.30167863,-5.8799996,-107.399994,-63.96,0.07371372,-0.1344887,0.06954029,insidethepantpocket,standing
10 May 2022 22:06:04:511 +0200,-4.312089,8.796566,0.30167863,-4.62,-105.84,-63.0,0.07371372,-0.1344887,0.06954029,insidethepantpocket,standing
10 May 2022 22:06:04:532 +0200,-5.2578273,8.502069,0.28252444,-4.62,-105.84,-63.0,-0.085111246,0.07748154,0.030444914,insidethepantpocket,standing
10 May 2022 22:06:04:714 +0200,-3.8715425,8.988108,0.14365649,-3.4199998,-105.119995,-62.699997,-0.027079046,-0.0117047895,-0.036750264,insidethepantpocket,standing
10 May 2022 22:06:04:891 +0200,-3.8715425,8.988108,0.14365649,-3.4199998,-105.119995,-62.699997,-0.06434183,0.058544718,0.07687067,insidethepantpocket,standing
10 May 2022 22:06:04:896 +0200,-4.9202347,8.363202,0.6057515,-3.4199998,-105.119995,-62.699997,-0.06434183,0.058544718,0.07687067,insidethepantpocket,standing
10 May 2022 22:06:04:914 +0200,-4.9202347,8.363202,0.6057515,-2.58,-103.86,-62.34,-0.06434183,0.058544718,0.07687067,insidethepantpocket,standing
10 May 2022 22:06:05:070 +0200,-4.9202347,8.363202,0.6057515,-2.58,-103.86,-62.34,0.12563726,-0.17541668,-0.05568709,insidethepantpocket,standing
10 May 2022 22:06:05:073 +0200,-4.371946,8.875577,0.17238778,-2.58,-103.86,-62.34,0.12563726,-0.17541668,-0.05568709,insidethepantpocket,standing
10 May 2022 22:06:05:111 +0200,-4.371946,8.875577,0.17238778,-2.22,-102.78,-61.559998,0.12563726,-0.17541668,-0.05568709,insidethepantpocket,standing
10 May 2022 22:06:05:251 +0200,-4.371946,8.875577,0.17238778,-2.22,-102.78,-61.559998,0.004075082,-0.11188669,0.05426866,insidethepantpocket,standing
10 May 2022 22:06:05:255 +0200,-3.0550947,9.378374,0.5794145,-2.22,-102.78,-61.559998,0.004075082,-0.11188669,0.05426866,insidethepantpocket,standing
10 May 2022 22:06:05:311 +0200,-3.0550947,9.378374,0.5794145,-1.9799999,-102.24,-61.559998,0.004075082,-0.11188669,0.05426866,insidethepantpocket,standing
10 May 2022 22:06:05:431 +0200,-3.0550947,9.378374,0.5794145,-1.9799999,-102.24,-61.559998,-0.09366336,0.050603464,0.11535518,insidethepantpocket,standing
10 May 2022 22:06:05:436 +0200,-4.6712303,8.535589,0.2849187,-1.9799999,-102.24,-61.559998,-0.09366336,0.050603464,0.11535518,insidethepantpocket,standing
10 May 2022 22:06:05:512 +0200,-4.6712303,8.535589,0.2849187,-1.92,-101.759995,-61.14,-0.09366336,0.050603464,0.11535518,insidethepantpocket,standing
10 May 2022 22:06:05:612 +0200,-4.7191157,8.370385,0.4285752,-1.92,-101.759995,-61.14,-0.053957116,0.09153144,-0.019646037,insidethepantpocket,standing
10 May 2022 22:06:05:710 +0200,-4.7191157,8.370385,0.4285752,-2.22,-101.34,-60.66,-0.053957116,0.09153144,-0.019646037,insidethepantpocket,standing
10 May 2022 22:06:05:789 +0200,-4.2642035,9.026416,0.40223816,-2.22,-101.34,-60.66,-0.053957116,0.09153144,-0.019646037,insidethepantpocket,standing
10 May 2022 22:06:05:791 +0200,-4.2642035,9.026416,0.40223816,-2.22,-101.34,-60.66,0.015681522,-0.07095872,0.04877087,insidethepantpocket,standing
10 May 2022 22:06:05:912 +0200,-4.2642035,9.026416,0.40223816,-2.52,-100.92,-60.539997,0.015681522,-0.07095872,0.04877087,insidethepantpocket,standing
10 May 2022 22:06:05:973 +0200,-4.2642035,9.026416,0.40223816,-2.52,-100.92,-60.539997,0.077378914,-0.26399213,-0.05935228,insidethepantpocket,standing
10 May 2022 22:06:05:979 +0200,-3.9002736,9.057542,0.37111259,-2.52,-100.92,-60.539997,0.077378914,-0.26399213,-0.05935228,insidethepantpocket,standing
10 May 2022 22:06:06:112 +0200,-3.9002736,9.057542,0.37111259,-2.6399999,-101.579994,-60.6,0.077378914,-0.26399213,-0.05935228,insidethepantpocket,standing
10 May 2022 22:06:06:152 +0200,-3.562681,9.435837,-0.20351335,-2.6399999,-101.579994,-60.6,0.05355517,-0.18641225,-0.11738448,insidethepantpocket,standing
10 May 2022 22:06:06:312 +0200,-3.562681,9.435837,-0.20351335,-2.52,-102.0,-60.899998,0.05355517,-0.18641225,-0.11738448,insidethepantpocket,standing
10 May 2022 22:06:06:331 +0200,-4.846012,8.332076,0.023942748,-2.52,-102.0,-60.899998,-0.2036191,0.33221233,-0.15342551,insidethepantpocket,standing
10 May 2022 22:06:06:512 +0200,-5.2410674,8.849239,0.44772938,-2.52,-102.54,-60.6,0.10120266,0.093974896,-0.106388904,insidethepantpocket,standing
10 May 2022 22:06:06:695 +0200,-5.8851275,8.042369,0.49800915,-2.52,-102.54,-60.6,-0.43086097,0.360923,-0.054465353,insidethepantpocket,standing
10 May 2022 22:06:06:715 +0200,-5.8851275,8.042369,0.49800915,-3.24,-104.22,-61.26,-0.43086097,0.360923,-0.054465353,insidethepantpocket,standing
10 May 2022 22:06:06:870 +0200,-5.0854397,8.952193,0.84996754,-3.24,-104.22,-61.26,-0.43086097,0.360923,-0.054465353,insidethepantpocket,standing
10 May 2022 22:06:06:872 +0200,-5.0854397,8.952193,0.84996754,-3.24,-104.22,-61.26,-0.32029438,0.114133455,0.13490286,insidethepantpocket,standing
10 May 2022 22:06:06:912 +0200,-5.0854397,8.952193,0.84996754,-4.02,-104.939995,-61.44,-0.32029438,0.114133455,0.13490286,insidethepantpocket,standing
10 May 2022 22:06:07:053 +0200,-5.0854397,8.952193,0.84996754,-4.02,-104.939995,-61.44,-0.56647307,0.2259218,-0.19924042,insidethepantpocket,standing
