date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:47:12:938 +0200,3.7561104,-0.21439533,9.012389,9.243751,20.962502,-30.91875,0.0033289485,-0.008655266,3.9947382E-4,insidethepantpocket,sitting
10 May 2022 14:47:13:041 +0200,3.7561104,-0.21439533,9.012389,9.58125,21.13125,-30.675001,0.0033289485,-0.008655266,3.9947382E-4,insidethepantpocket,sitting
10 May 2022 14:47:13:116 +0200,3.7561104,-0.21439533,9.012389,9.58125,21.13125,-30.675001,0.0075900024,0.009454214,-0.015712637,insidethepantpocket,sitting
10 May 2022 14:47:13:137 +0200,3.762099,-0.20062132,9.012988,9.58125,21.13125,-30.675001,0.0075900024,0.009454214,-0.015712637,insidethepantpocket,sitting
10 May 2022 14:47:13:244 +0200,3.762099,-0.20062132,9.012988,9.243751,20.925001,-30.431252,0.0075900024,0.009454214,-0.015712637,insidethepantpocket,sitting
10 May 2022 14:47:13:293 +0200,3.762099,-0.20062132,9.012988,9.243751,20.925001,-30.431252,0.0118510565,0.0049268436,-0.0,insidethepantpocket,sitting
10 May 2022 14:47:13:387 +0200,3.7656922,-0.13115245,9.020174,9.243751,20.925001,-30.431252,0.0118510565,0.0049268436,-0.0,insidethepantpocket,sitting
10 May 2022 14:47:13:432 +0200,3.7656922,-0.13115245,9.020174,9.1875,20.85,-30.35625,0.0118510565,0.0049268436,-0.0,insidethepantpocket,sitting
10 May 2022 14:47:13:482 +0200,3.7656922,-0.13115245,9.020174,9.1875,20.85,-30.35625,-0.005992107,0.0014647373,0.0037284223,insidethepantpocket,sitting
10 May 2022 14:47:13:553 +0200,3.7249691,-0.20181906,9.036344,9.1875,20.85,-30.35625,-0.005992107,0.0014647373,0.0037284223,insidethepantpocket,sitting
10 May 2022 14:47:13:636 +0200,3.7249691,-0.20181906,9.036344,9.4875,20.75625,-30.6375,-0.005992107,0.0014647373,0.0037284223,insidethepantpocket,sitting
10 May 2022 14:47:13:721 +0200,3.7249691,-0.20181906,9.036344,9.4875,20.75625,-30.6375,0.0015978953,-0.00905474,-0.010652635,insidethepantpocket,sitting
10 May 2022 14:47:13:747 +0200,3.7722797,-0.16708463,9.021971,9.4875,20.75625,-30.6375,0.0015978953,-0.00905474,-0.010652635,insidethepantpocket,sitting
10 May 2022 14:47:13:830 +0200,3.7722797,-0.16708463,9.021971,9.20625,20.98125,-30.54375,0.0015978953,-0.00905474,-0.010652635,insidethepantpocket,sitting
10 May 2022 14:47:13:894 +0200,3.7722797,-0.16708463,9.021971,9.20625,20.98125,-30.54375,-0.0061252653,-0.007323687,0.0025300009,insidethepantpocket,sitting
10 May 2022 14:47:13:990 +0200,3.7273645,-0.15989819,9.009994,9.20625,20.98125,-30.54375,-0.0061252653,-0.007323687,0.0025300009,insidethepantpocket,sitting
10 May 2022 14:47:14:031 +0200,3.7273645,-0.15989819,9.009994,8.962501,20.5125,-30.16875,-0.0061252653,-0.007323687,0.0025300009,insidethepantpocket,sitting
10 May 2022 14:47:14:092 +0200,3.7273645,-0.15989819,9.009994,8.962501,20.5125,-30.16875,-0.009986846,-0.016511586,-0.0057257917,insidethepantpocket,sitting
10 May 2022 14:47:14:155 +0200,3.8195906,-0.21738967,8.996819,8.962501,20.5125,-30.16875,-0.009986846,-0.016511586,-0.0057257917,insidethepantpocket,sitting
10 May 2022 14:47:14:237 +0200,3.8195906,-0.21738967,8.996819,8.868751,20.85,-30.300001,-0.009986846,-0.016511586,-0.0057257917,insidethepantpocket,sitting
10 May 2022 14:47:14:332 +0200,3.8195906,-0.21738967,8.996819,8.868751,20.85,-30.300001,0.019707374,0.04287686,-0.004660528,insidethepantpocket,sitting
10 May 2022 14:47:14:367 +0200,3.7351499,-0.27308455,8.995022,8.868751,20.85,-30.300001,0.019707374,0.04287686,-0.004660528,insidethepantpocket,sitting
10 May 2022 14:47:14:424 +0200,3.7351499,-0.27308455,8.995022,9.337501,20.625,-30.4125,0.019707374,0.04287686,-0.004660528,insidethepantpocket,sitting
10 May 2022 14:47:14:505 +0200,3.7351499,-0.27308455,8.995022,9.337501,20.625,-30.4125,-0.007190529,0.047404226,0.045673173,insidethepantpocket,sitting
10 May 2022 14:47:14:595 +0200,3.6596923,-0.079050794,9.092039,9.337501,20.625,-30.4125,-0.007190529,0.047404226,0.045673173,insidethepantpocket,sitting
10 May 2022 14:47:14:627 +0200,3.6596923,-0.079050794,9.092039,9.39375,19.63125,-30.487501,-0.007190529,0.047404226,0.045673173,insidethepantpocket,sitting
10 May 2022 14:47:14:699 +0200,3.6596923,-0.079050794,9.092039,9.39375,19.63125,-30.487501,-0.0813595,-0.05313002,0.0864195,insidethepantpocket,sitting
10 May 2022 14:47:14:762 +0200,3.62915,-0.21140099,9.090841,9.39375,19.63125,-30.487501,-0.0813595,-0.05313002,0.0864195,insidethepantpocket,sitting
10 May 2022 14:47:14:833 +0200,3.62915,-0.21140099,9.090841,9.356251,20.625,-30.206251,-0.0813595,-0.05313002,0.0864195,insidethepantpocket,sitting
10 May 2022 14:47:14:938 +0200,3.886065,-0.5048471,8.954299,9.356251,20.625,-30.206251,-0.06498107,-0.12104057,0.004394212,insidethepantpocket,sitting
10 May 2022 14:47:15:018 +0200,3.886065,-0.5048471,8.954299,8.56875,20.962502,-29.98125,-0.06498107,-0.12104057,0.004394212,insidethepantpocket,sitting
10 May 2022 14:47:15:109 +0200,3.886065,-0.5048471,8.954299,8.56875,20.962502,-29.98125,-0.033955276,-0.05832318,-0.0062584234,insidethepantpocket,sitting
10 May 2022 14:47:15:128 +0200,4.0543475,-0.5838979,8.893214,8.56875,20.962502,-29.98125,-0.033955276,-0.05832318,-0.0062584234,insidethepantpocket,sitting
10 May 2022 14:47:15:226 +0200,4.0543475,-0.5838979,8.893214,8.137501,21.45,-29.643751,-0.033955276,-0.05832318,-0.0062584234,insidethepantpocket,sitting
10 May 2022 14:47:15:291 +0200,4.0543475,-0.5838979,8.893214,8.137501,21.45,-29.643751,-0.047137912,-0.03954791,0.023302639,insidethepantpocket,sitting
10 May 2022 14:47:15:375 +0200,4.1489687,-0.64797693,8.828536,8.137501,21.45,-29.643751,-0.047137912,-0.03954791,0.023302639,insidethepantpocket,sitting
10 May 2022 14:47:15:420 +0200,4.1489687,-0.64797693,8.828536,8.15625,21.618752,-29.625002,-0.047137912,-0.03954791,0.023302639,insidethepantpocket,sitting
10 May 2022 14:47:15:490 +0200,4.1489687,-0.64797693,8.828536,8.15625,21.618752,-29.625002,-0.036085803,-0.020373166,-0.0054594753,insidethepantpocket,sitting
10 May 2022 14:47:15:543 +0200,4.1286073,-0.808474,8.827937,8.15625,21.618752,-29.625002,-0.036085803,-0.020373166,-0.0054594753,insidethepantpocket,sitting
10 May 2022 14:47:15:613 +0200,4.1286073,-0.808474,8.827937,7.74375,22.050001,-29.531252,-0.036085803,-0.020373166,-0.0054594753,insidethepantpocket,sitting
