date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 21:58:27:311 +0200,-0.028745743,0.31320882,9.804693,-13.687501,8.775001,-36.506252,-1.3315794E-4,2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:367 +0200,-0.03174009,0.31440654,9.805292,-13.687501,8.775001,-36.506252,-2.6631588E-4,-3.9947382E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:523 +0200,-0.03174009,0.31440654,9.805292,-13.81875,7.9125004,-35.662502,-2.6631588E-4,-3.9947382E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:532 +0200,-0.037129916,0.31021446,9.810682,-13.81875,7.9125004,-35.662502,-2.6631588E-4,-3.9947382E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:577 +0200,-0.037129916,0.31021446,9.810682,-13.81875,7.9125004,-35.662502,2.6631588E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:721 +0200,-0.037129916,0.31021446,9.810682,-13.387501,8.475,-36.2625,2.6631588E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:734 +0200,-0.03293783,0.3174009,9.805891,-13.387501,8.475,-36.2625,2.6631588E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:759 +0200,-0.03293783,0.3174009,9.805891,-13.387501,8.475,-36.2625,0.0,2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:905 +0200,-0.03293783,0.3174009,9.805891,-13.387501,7.6125,-36.131252,0.0,2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:919 +0200,-0.029943481,0.30781898,9.807688,-13.387501,7.6125,-36.131252,0.0,2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 21:58:27:962 +0200,-0.029943481,0.30781898,9.807688,-13.387501,7.6125,-36.131252,0.0,-1.3315794E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 21:58:28:119 +0200,-0.029943481,0.30781898,9.807688,-12.825001,8.231251,-36.3375,0.0,-1.3315794E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 21:58:28:130 +0200,-0.03174009,0.31320882,9.813078,-12.825001,8.231251,-36.3375,0.0,-1.3315794E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 21:58:28:161 +0200,-0.03174009,0.31320882,9.813078,-12.825001,8.231251,-36.3375,2.6631588E-4,-1.3315794E-4,1.3315794E-4,lyingonthedesk,sitting
