date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:40:50:179 +0200,0.010180783,-0.019163828,9.807688,58.050003,12.337501,-68.15625,1.3315794E-4,2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:50:216 +0200,0.010180783,-0.019163828,9.807688,58.875004,13.743751,-67.51875,1.3315794E-4,2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:50:363 +0200,0.010180783,-0.019163828,9.807688,58.875004,13.743751,-67.51875,0.0,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:50:417 +0200,0.010180783,-0.019163828,9.807688,57.975002,12.656251,-67.762505,0.0,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:50:442 +0200,0.008384175,-0.019163828,9.810083,57.975002,12.656251,-67.762505,0.0,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:50:541 +0200,0.008384175,-0.019163828,9.810083,57.975002,12.656251,-67.762505,-0.0,-2.6631588E-4,2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:50:617 +0200,0.008384175,-0.019163828,9.810083,58.237503,13.35,-68.2125,-0.0,-2.6631588E-4,2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:50:623 +0200,0.013175132,-0.019163828,9.807089,58.237503,13.35,-68.2125,-0.0,-2.6631588E-4,2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:50:804 +0200,0.013774002,-0.01676835,9.811281,58.237503,13.35,-68.2125,-3.9947382E-4,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:50:812 +0200,0.013774002,-0.01676835,9.811281,57.412502,12.187501,-68.175,-3.9947382E-4,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:50:960 +0200,0.013774002,-0.01676835,9.811281,57.412502,12.187501,-68.175,0.0,1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:50:979 +0200,0.008384175,-0.021559307,9.8017,57.412502,12.187501,-68.175,0.0,1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:021 +0200,0.008384175,-0.021559307,9.8017,58.256252,12.656251,-68.08125,0.0,1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:142 +0200,0.008384175,-0.021559307,9.8017,58.256252,12.656251,-68.08125,-1.3315794E-4,-2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:211 +0200,0.008384175,-0.021559307,9.8017,59.100002,13.668751,-68.981255,-1.3315794E-4,-2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:219 +0200,0.011977393,-0.020960437,9.807688,59.100002,13.668751,-68.981255,-1.3315794E-4,-2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:406 +0200,0.0125762625,-0.020960437,9.807688,57.206253,12.4125,-69.01875,1.3315794E-4,-2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:579 +0200,0.004790957,-0.023355916,9.8094845,57.206253,12.4125,-69.01875,2.6631588E-4,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:603 +0200,0.004790957,-0.023355916,9.8094845,58.10625,13.81875,-68.606255,2.6631588E-4,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:739 +0200,0.004790957,-0.023355916,9.8094845,58.10625,13.81875,-68.606255,1.3315794E-4,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:773 +0200,0.004790957,-0.01796609,9.807089,58.10625,13.81875,-68.606255,1.3315794E-4,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:799 +0200,0.004790957,-0.01796609,9.807089,57.393753,13.500001,-68.381256,1.3315794E-4,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:983 +0200,0.011378523,-0.020960437,9.799903,57.393753,13.500001,-68.381256,-1.3315794E-4,-2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:51:998 +0200,0.011378523,-0.020960437,9.799903,58.312504,14.2875,-68.512505,-1.3315794E-4,-2.6631588E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:182 +0200,0.011378523,-0.018564958,9.80649,58.312504,14.2875,-68.512505,-2.6631588E-4,-2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:202 +0200,0.011378523,-0.018564958,9.80649,58.593754,14.212501,-68.3625,-2.6631588E-4,-2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:345 +0200,0.011378523,-0.018564958,9.80649,58.593754,14.212501,-68.3625,3.9947382E-4,2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:52:408 +0200,0.011378523,-0.018564958,9.80649,57.675003,12.95625,-68.231255,3.9947382E-4,2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:52:414 +0200,0.011977393,-0.01676835,9.799903,57.675003,12.95625,-68.231255,3.9947382E-4,2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:52:580 +0200,0.011977393,-0.01676835,9.799903,57.675003,12.95625,-68.231255,2.6631588E-4,-2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:52:608 +0200,0.013175132,-0.019163828,9.802897,58.331253,12.731251,-68.775,2.6631588E-4,-2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:40:52:765 +0200,0.013175132,-0.019163828,9.802897,58.331253,12.731251,-68.775,5.3263176E-4,-2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:796 +0200,0.013175132,-0.019163828,9.802897,57.750004,13.031251,-67.6875,5.3263176E-4,-2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:807 +0200,0.0059886966,-0.019762699,9.803496,57.750004,13.031251,-67.6875,5.3263176E-4,-2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:937 +0200,0.0059886966,-0.019762699,9.803496,57.750004,13.031251,-67.6875,-1.3315794E-4,-2.6631588E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:40:52:976 +0200,0.008384175,-0.025751395,9.799304,57.750004,13.031251,-67.6875,-1.3315794E-4,-2.6631588E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:002 +0200,0.008384175,-0.025751395,9.799304,57.750004,13.200001,-68.0625,-1.3315794E-4,-2.6631588E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:138 +0200,0.008384175,-0.025751395,9.799304,57.750004,13.200001,-68.0625,-2.6631588E-4,-1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:173 +0200,0.0041920873,-0.023954786,9.808886,57.750004,13.200001,-68.0625,-2.6631588E-4,-1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:203 +0200,0.0041920873,-0.023954786,9.808886,58.893753,12.431251,-68.68125,-2.6631588E-4,-1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:332 +0200,0.0041920873,-0.023954786,9.808886,58.893753,12.431251,-68.68125,0.0,-1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:376 +0200,0.011977393,-0.022757046,9.805292,58.893753,12.431251,-68.68125,0.0,-1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:401 +0200,0.011977393,-0.022757046,9.805292,57.2625,13.181251,-68.15625,0.0,-1.3315794E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:40:53:538 +0200,0.011977393,-0.022757046,9.805292,57.2625,13.181251,-68.15625,-0.0,0.0,-2.6631588E-4,lyingonthedesk,sitting
