date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:39:16:098 +0200,0.14732192,-0.023954786,9.807089,68.26875,2.775,-80.568756,-5.3263176E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:178 +0200,0.14732192,-0.023954786,9.807089,69.01875,3.4875002,-79.3125,-5.3263176E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:313 +0200,0.15450837,-0.027548004,9.805891,69.01875,3.4875002,-79.3125,1.3315794E-4,2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:383 +0200,0.15450837,-0.027548004,9.805891,68.700005,2.6437502,-80.793755,1.3315794E-4,2.6631588E-4,-2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:506 +0200,0.15510723,-0.025152525,9.803496,68.700005,2.6437502,-80.793755,2.6631588E-4,2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:573 +0200,0.15510723,-0.025152525,9.803496,68.606255,3.4125001,-81.09375,2.6631588E-4,2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:698 +0200,0.1497174,-0.022158176,9.800502,68.606255,3.4125001,-81.09375,0.0,-3.9947382E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:16:772 +0200,0.1497174,-0.022158176,9.800502,68.0625,2.7,-81.975006,0.0,-3.9947382E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:16:906 +0200,0.15271176,-0.024553655,9.8017,68.0625,2.7,-81.975006,0.0,-2.6631588E-4,5.3263176E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:984 +0200,0.15271176,-0.024553655,9.8017,67.74375,3.6375,-79.78125,0.0,-2.6631588E-4,5.3263176E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:115 +0200,0.14911854,-0.020361567,9.799304,67.74375,3.6375,-79.78125,-1.3315794E-4,2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:17:185 +0200,0.14911854,-0.020361567,9.799304,68.34375,2.775,-80.100006,-1.3315794E-4,2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:17:305 +0200,0.15271176,-0.021559307,9.8017,68.34375,2.775,-80.100006,-2.6631588E-4,5.3263176E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:372 +0200,0.15271176,-0.021559307,9.8017,68.625,3.0937502,-81.4875,-2.6631588E-4,5.3263176E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:514 +0200,0.15211289,-0.020960437,9.802897,68.625,3.0937502,-81.4875,-3.9947382E-4,-1.3315794E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:570 +0200,0.15211289,-0.020960437,9.802897,67.818756,3.54375,-80.64375,-3.9947382E-4,-1.3315794E-4,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:709 +0200,0.15510723,-0.023954786,9.805292,67.818756,3.54375,-80.64375,0.0,-3.9947382E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:772 +0200,0.15510723,-0.023954786,9.805292,68.11875,3.16875,-81.412506,0.0,-3.9947382E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:899 +0200,0.14911854,-0.025751395,9.807688,68.11875,3.16875,-81.412506,-0.0,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:17:961 +0200,0.14911854,-0.025751395,9.807688,67.275,2.625,-81.037506,-0.0,0.0,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:102 +0200,0.15271176,-0.020960437,9.808287,67.275,2.625,-81.037506,-0.0,2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:18:166 +0200,0.15271176,-0.020960437,9.808287,67.275,2.775,-80.193756,-0.0,2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:18:303 +0200,0.1497174,-0.030542351,9.805292,67.275,2.775,-80.193756,-1.3315794E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:363 +0200,0.1497174,-0.030542351,9.805292,69.037506,3.3375,-80.793755,-1.3315794E-4,-2.6631588E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:473 +0200,0.14911854,-0.025152525,9.807089,69.037506,3.3375,-80.793755,-1.3315794E-4,0.0,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:567 +0200,0.14911854,-0.025152525,9.807089,67.96875,3.7875001,-79.856255,-1.3315794E-4,0.0,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:18:673 +0200,0.15151402,-0.025751395,9.807089,67.96875,3.7875001,-79.856255,2.6631588E-4,-2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:18:756 +0200,0.15151402,-0.025751395,9.807089,68.25,3.3187501,-80.568756,2.6631588E-4,-2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:18:868 +0200,0.15031628,-0.020960437,9.804095,68.25,3.3187501,-80.568756,-2.6631588E-4,-2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:18:959 +0200,0.15031628,-0.020960437,9.804095,67.96875,3.24375,-80.9625,-2.6631588E-4,-2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:19:068 +0200,0.15151402,-0.019163828,9.810083,67.96875,3.24375,-80.9625,2.6631588E-4,3.9947382E-4,2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:161 +0200,0.15151402,-0.019163828,9.810083,68.043755,2.86875,-79.875,2.6631588E-4,3.9947382E-4,2.6631588E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:259 +0200,0.14911854,-0.020960437,9.795711,68.043755,2.86875,-79.875,-1.3315794E-4,2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:19:351 +0200,0.14911854,-0.020960437,9.795711,67.350006,2.775,-80.49375,-1.3315794E-4,2.6631588E-4,0.0,lyingonthedesk,sitting
10 May 2022 14:39:19:465 +0200,0.15271176,-0.020960437,9.805292,67.350006,2.775,-80.49375,0.0,0.0,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:550 +0200,0.15271176,-0.020960437,9.805292,67.96875,3.7125,-80.943756,0.0,0.0,1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:668 +0200,0.14732192,-0.023954786,9.807089,67.96875,3.7125,-80.943756,-2.6631588E-4,1.3315794E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:747 +0200,0.14732192,-0.023954786,9.807089,67.631256,3.0,-81.43125,-2.6631588E-4,1.3315794E-4,-1.3315794E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:858 +0200,0.15390949,-0.024553655,9.799903,67.631256,3.0,-81.43125,3.9947382E-4,0.0,3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:39:19:960 +0200,0.15390949,-0.024553655,9.799903,67.818756,3.4687502,-80.25,3.9947382E-4,0.0,3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:39:20:070 +0200,0.14552532,-0.023355916,9.798705,67.818756,3.4687502,-80.25,1.3315794E-4,-2.6631588E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:39:20:159 +0200,0.14552532,-0.023355916,9.798705,67.55625,2.5500002,-80.887505,1.3315794E-4,-2.6631588E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:39:20:269 +0200,0.14732192,-0.03174009,9.818468,67.55625,2.5500002,-80.887505,2.6631588E-4,-2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:20:347 +0200,0.14732192,-0.03174009,9.818468,68.193756,2.7,-81.3375,2.6631588E-4,-2.6631588E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:20:475 +0200,0.15331063,-0.026949134,9.795112,68.193756,2.7,-81.3375,-1.3315794E-4,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:20:549 +0200,0.15331063,-0.026949134,9.795112,67.481255,3.0187502,-79.8,-1.3315794E-4,1.3315794E-4,-0.0,lyingonthedesk,sitting
10 May 2022 14:39:20:666 +0200,0.15271176,-0.01796609,9.808287,67.481255,3.0187502,-79.8,3.9947382E-4,-5.3263176E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:39:20:741 +0200,0.15271176,-0.01796609,9.808287,67.481255,2.7,-80.9625,3.9947382E-4,-5.3263176E-4,-3.9947382E-4,lyingonthedesk,sitting
10 May 2022 14:39:20:861 +0200,0.1479208,-0.021559307,9.803496,67.481255,2.7,-80.9625,2.6631588E-4,0.0,-3.9947382E-4,lyingonthedesk,sitting
