date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:40:56:778 +0200,0.9987232,-0.20597169,9.903406,-3.1397736,8.510367,-13.481268,0.0012358387,-8.310578E-4,-5.8095437E-4,lyingonthedesk,sitting
10 May 2022 14:40:56:780 +0200,0.9987232,-0.20597169,9.903406,-4.1282134,7.8311925,-14.377607,0.0023011032,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:40:56:819 +0200,1.0035132,-0.22273682,9.927357,-4.1282134,7.8311925,-14.377607,0.0023011032,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:40:56:859 +0200,1.0202783,-0.20597169,9.8938265,-4.1282134,7.8311925,-14.377607,0.0023011032,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:40:56:899 +0200,1.0106983,-0.21315674,9.884246,-4.1282134,7.8311925,-14.377607,0.0023011032,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:40:56:942 +0200,1.0035132,-0.21315674,9.901011,-4.1282134,7.8311925,-14.377607,0.0023011032,-8.310578E-4,-0.0011135866,lyingonthedesk,sitting
10 May 2022 14:40:56:945 +0200,1.0035132,-0.21315674,9.901011,-4.7324157,8.68213,-15.131544,0.0012358387,-0.0018963222,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:40:56:981 +0200,0.9915381,-0.22273682,9.915381,-4.7324157,8.68213,-15.131544,0.0012358387,-0.0018963222,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:40:57:023 +0200,1.0083033,-0.21555176,9.915381,-4.7324157,8.68213,-15.131544,0.0012358387,-0.0018963222,-4.8322137E-5,lyingonthedesk,sitting
10 May 2022 14:40:57:060 +0200,1.0178833,-0.21076173,9.891431,-4.7324157,8.68213,-15.131544,0.0012358387,-0.0018963222,-4.8322137E-5,lyingonthedesk,sitting
