date,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,labelPhone,labelActivity
10 May 2022 14:39:15:328 +0200,0.0,-0.021548472,9.842864,1907.3999,1965.5399,-1965.7799,-6.6523225E-4,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:350 +0200,0.04070267,0.026337024,9.715967,1907.3999,1965.5399,-1965.7799,-6.6523225E-4,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:368 +0200,0.04070267,0.026337024,9.715967,1907.3999,1965.5399,-1965.7799,-5.4367007E-5,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:535 +0200,-0.016759925,-0.026337024,9.8237095,1907.2799,1965.72,-1965.8999,-5.4367007E-5,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:551 +0200,0.0,-0.026337024,9.871595,1907.2799,1965.72,-1965.8999,-0.0012760975,-8.674286E-5,-2.2968533E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:716 +0200,-0.009577099,-0.035914123,9.866806,1907.2799,1965.72,-1965.8999,-0.0012760975,-8.674286E-5,-2.2968533E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:734 +0200,-0.009577099,-0.035914123,9.866806,1906.98,1965.72,-1965.8999,-6.6523225E-4,-8.674286E-5,-2.2968533E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:891 +0200,0.0047885496,-0.026337024,9.871595,1906.98,1965.72,-1965.8999,-6.6523225E-4,-8.674286E-5,-2.2968533E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:909 +0200,-0.0023942748,-0.028731298,9.842864,1906.98,1965.72,-1965.8999,-6.6523225E-4,-8.674286E-5,-2.2968533E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:921 +0200,-0.0023942748,-0.028731298,9.842864,1906.98,1965.72,-1965.8999,-6.6523225E-4,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
10 May 2022 14:39:15:931 +0200,-0.0023942748,-0.028731298,9.842864,1907.46,1965.4199,-1965.72,-6.6523225E-4,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
10 May 2022 14:39:16:073 +0200,0.011971374,-0.023942748,9.840469,1907.46,1965.4199,-1965.72,-6.6523225E-4,-6.976081E-4,-8.405506E-4,lyingonthedesk,sitting
